Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.13278954074280924,0.022862496746125005,0.01208734326116224,0.2644935494472294,0.02450543899431623,0.012915767377942838
1,0.13478954074280924,0.020576332895184086,0.010916440588084862,0.2795181406261663,0.02423778618055546,0.012660297195564031
2,0.13478954074281038,0.022707554743077115,0.01198015952456494,0.30638912211004365,0.02391484569307449,0.012872149863471086
3,0.1407895407428132,0.020448103892616785,0.010933666895986585,0.3306200601840087,0.023102178221386712,0.012157072420149875
4,0.13478954074280924,0.021091817346386994,0.011200921273598192,0.25329473076420306,0.023030545803203066,0.011979810444839785
5,0.1407895407428132,0.022883198640708074,0.012017312551904429,0.3783360850865193,0.023149845248656868,0.012370210242578367
6,0.13078954074281232,0.022074934924957556,0.011734740806663048,0.2687795848230653,0.024679562363633858,0.012748123353069461
7,0.13478954074280924,0.020812912040596224,0.011030482910764668,0.34052813860358266,0.0236769205138694,0.012668548741504864
8,0.1367895407428076,0.021961984431421583,0.011596439003653213,0.277316608174379,0.02415760744777163,0.012743917870647516
9,0.114789540742991,0.019244052804828927,0.010341889798449591,0.225530284546535,0.023030429005229988,0.0114358118764144
10,0.14478954074281325,0.02132249223645379,0.011313603771367774,0.31998595851599615,0.024018931751725467,0.012975051221105182
11,0.13278954074280763,0.021517875048680784,0.011500718559185885,0.3079292567794709,0.025319110142070785,0.01318390912172012
12,0.12678954074280807,0.020245592506995095,0.010680894731177998,0.2575616334348836,0.022792251884139397,0.01165782111314571
13,0.13878954074281322,0.02132544688646125,0.01126032590532387,0.30121825302754957,0.022920259394853735,0.012240832804995747
14,0.13678954074282063,0.021934824640732122,0.011642110266146206,0.31167806078192345,0.023269046561411544,0.012507886761049785
15,0.12678954074280452,0.019430668735633018,0.010278604307940017,0.2269286783185374,0.02375927330873468,0.01181086475307667
16,0.12878954074280516,0.01957712038116371,0.01040638478513843,0.3016949835439907,0.02306251653835841,0.011948118648238871
