Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.10273601755426122,0.01566204654780307,0.008221960983320176,0.17061532730986892,0.015952840999502414,0.008288289100933443
1,0.11673601755674325,0.018425528096705238,0.009657310638209918,0.20237719115930375,0.016706627286938863,0.009420475755132784
2,0.10673601755375155,0.018607230120199086,0.009790807227097664,0.18237585703625328,0.01784499684660032,0.009679003163338896
3,0.0947360175535239,0.016005168559493854,0.008418228114750492,0.16220888644480028,0.016397515108743897,0.00838236181397422
4,0.10073601755556627,0.015930548504236686,0.008412071452022517,0.1846858752444764,0.016032203567434136,0.008543923863335563
5,0.09473601769077701,0.016890353920548357,0.008932919162078517,0.17521832120727748,0.016770601360923863,0.008787155691282873
6,0.11473601755602061,0.019553100851439513,0.0103643461369715,0.20624230324697018,0.018118628476580828,0.01021510671129907
7,0.11473602420769531,0.01862359378873217,0.009761400869807443,0.19030273298013922,0.017270810082844104,0.009584750158761356
8,0.09873601755593141,0.017062802190510228,0.00908387575807661,0.17294377575602385,0.017964647389220503,0.009343131792251576
9,0.11473601755352268,0.018316424013235345,0.009578087402550365,0.21580780261982374,0.016300923818571907,0.00922072940786479
