Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.14757908291346125,0.013926416573244855,0.007533275127845043,0.27141473369958613,0.011219175750544524,0.006835462927229448
1,0.15357908148563637,0.013666636056675133,0.008759594991310052,0.259993592627156,0.01159999710378377,0.007488429125646702
2,0.14557908186586554,0.015043665351604547,0.00915544024869869,0.2649666354601298,0.012450851552858248,0.008129627008011828
3,0.14557908148556678,0.014546506728697462,0.007753939505651481,0.27141468756990594,0.01141803356621009,0.0071196372830941304
4,0.1535790817133417,0.014291949344595802,0.007713849971254774,0.2706222508744497,0.011421449697779813,0.00692241175706728
5,0.1535790814912482,0.015729450056570667,0.00828753979762407,0.2710721959748,0.012089108695246882,0.007403553165734851
6,0.15557908148563143,0.014140388509684708,0.009565265082791973,0.25358602421253296,0.01291079496573814,0.008248834969049563
7,0.15357908148561816,0.014264394989013827,0.0089294571979779,0.26219753006337265,0.011777487598649952,0.007799420826654754
8,0.14757909744803305,0.01574852458385636,0.008639736916303228,0.2705468418995648,0.013246218305608693,0.008018470515261063
9,0.147579081485658,0.014294748021734716,0.008633343651378361,0.25948105934869675,0.011715595087464769,0.0072561300042941635
