Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.1555790814917051,0.02529703382709908,0.014235177075215712,0.37894887517458237,0.02652231066756209,0.014406582703734017
1,0.15157908148557986,0.02346421655557512,0.012970904627408292,0.3764897004313617,0.026188648828637553,0.013948969245016775
2,0.15157908148895313,0.02488702850771261,0.013879038754660233,0.3743831587880118,0.026480284482392626,0.014035934807604592
3,0.14757908148753837,0.022510578892641707,0.012841263332284884,0.37416063150455064,0.026238271606957044,0.013256521785187485
4,0.1495790814855925,0.023554964506988473,0.013125562342430818,0.37967996534025483,0.02431887174538853,0.013525779154779928
5,0.1555790814862759,0.023569406367718787,0.013901492052821924,0.37552681556396844,0.02753706839387633,0.013320762129694212
6,0.14757908148556953,0.025068004147592197,0.01382534610345127,0.37789513021235765,0.02648710208317412,0.013928293457235893
7,0.14957908148556093,0.022955846499780157,0.01282610073751072,0.37362166602007985,0.02688116715725546,0.01365946821525919
8,0.14757908168476777,0.025143462384812125,0.013557943171553975,0.37704068425144033,0.026042679632580862,0.014090941732452218
9,0.14878954074282608,0.023567780418165842,0.012702748900186045,0.37808881078749523,0.025363398328662252,0.013735091349594223
