Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.06273601757928579,0.045041507478212166,0.032495632039359686,0.06772802777478279,0.03158969938156292,0.022126484259869388
1,0.07073601758952193,0.04712952771637903,0.03250078955095406,0.08227392213717155,0.039393212899931807,0.027635468429184525
2,0.07073601758952193,0.049641661951396875,0.03424872251743721,0.09644412298233497,0.04703164827092459,0.032830798297332084
3,0.07273601758240492,0.04929700728251287,0.03418968355007284,0.1457384337839831,0.07263081022756021,0.05065089449004906
4,0.06273601755351092,0.04894747369404891,0.033947409385985054,0.028644141942948897,0.012852653106585798,0.010524804606172226
5,0.0827360175680654,0.05478678194862458,0.03787136977863647,0.39477143195065,0.17028005668123608,0.03752984502005807
6,0.06873601760177597,0.048393493029009305,0.03322526521014176,0.07221618163283691,0.033614659498718336,0.023552303858629994
7,0.07873601757066961,0.050622702863739176,0.03439420796043253,0.1500169565899045,0.07478656088326291,0.052051196846856246
8,0.07273601758240492,0.04461381914359503,0.03113378937047582,0.07818509296462946,0.037050789242272744,0.025942887399791538
9,0.06273601755351092,0.04341698169580289,0.029541881678268322,0.02626450101136526,0.011931300299850437,0.009827690102027463
