Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.06301603790121613,0.031268436014413634,0.019493194886949124,0.20366625242886263,0.07999092082003906,0.020065388874169147
1,0.06676603787129193,0.03704235720397143,0.023279742080735993,0.32215026296585847,0.08679491614683069,0.035104238088889544
2,0.05801603786927162,0.03446651882862604,0.021656670415357907,0.08674645840361721,0.0276662695767842,0.015788744214369467
3,0.0617660379274023,0.03077733248698103,0.01936598298749416,0.13100228943503014,0.05272103412838834,0.016941109163139144
4,0.07301603787026385,0.03402730910407495,0.021120407417134564,0.21204277313873765,0.08150879244364838,0.027598780632307595
5,0.06426608402118486,0.03223290358759422,0.019866985716074786,0.14406286142457653,0.03256488865753274,0.018852466701741167
6,0.0692660379065689,0.036998094767097825,0.022975722718285168,0.15531883630939303,0.03803746692218224,0.021950185229953158
7,0.0655160378703197,0.03586810618923169,0.022031389525071426,0.13257996981928194,0.034762545250895685,0.019970781833202327
8,0.06801603787100312,0.03210012012531299,0.020015147972132653,0.15153128514352815,0.036157020618215456,0.02077880172770337
9,0.06801607010045159,0.035439443933934826,0.02274294869878379,0.3231782839756992,0.08528031156167097,0.03433198743784388
