Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.07254518464622661,0.03345435758912475,0.020988661823629455,0.22462261270755898,0.08737684055230713,0.0216510757049213
1,0.07629518464732014,0.0393994104514994,0.024826429581339224,0.4073545558474576,0.1087680931225084,0.03826168346537266
2,0.06754518464624588,0.03674764577093927,0.023174288788405384,0.09594414044248203,0.03090659096587317,0.017896769216819805
3,0.07129518464622142,0.033091250222276,0.020773896131445993,0.1456377837233683,0.056446187139675155,0.018233318963010215
4,0.08254518464742772,0.036192546929892266,-0.02227091567192474,0.23128396985292995,0.08937806059272785,-0.0004659201327730164
5,0.07379518464725365,0.034424683028208156,0.021190651673176637,0.15796998380832095,0.06101126836754413,0.020067440380630394
6,0.07879518464623528,0.03923732127573662,0.024419063157114014,0.17047439903212497,0.06608233970530969,0.02365752707115237
7,0.07504518464699768,0.03796227949569258,0.023398382440105,0.14560235201937788,0.05598567467814824,0.02155624212690642
8,0.07754518464668654,0.03431277796675219,0.021509964961607137,0.16724869851640176,0.06470544650486065,0.022428527699507535
9,0.07754518464622953,0.03791730756438982,0.024487746937615486,0.4109500606740776,0.09946647109784632,0.04034022510932818
