Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,13.04504190033026,10.437022530264231,10.082956950255268
1,13.145427610196206,10.488963758004648,10.105092765309577
2,13.366519057859302,10.730233683277303,10.354936269595537
3,15.03558246360236,11.866153381467395,11.39733789262456
4,13.020214863092015,10.380180118759727,10.020262401620881
5,15.935703752035728,12.444807179299538,11.899653467940738
6,12.599500383372266,10.150431228338496,9.787272689418046
7,15.38251464483511,12.109513260228024,11.625172187340116
8,13.944293936236857,11.099104549814045,10.694907794327094
9,13.242087400100539,10.521820809309364,10.126465521947953
