Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,13.586095240163749,11.261877811201149,10.946571840586303
1,13.42516330722623,11.090239373545366,10.752597425404641
2,13.21938908720291,10.964639556690011,10.63545950653798
3,14.64022191131701,11.972321550045883,11.572204312336178
4,13.427573471437412,11.142516092673947,10.812616824673327
5,16.04132423566334,12.825648778423453,12.232799969845892
6,12.656803313053537,10.563512319516391,10.268405506517734
7,14.948190311915262,12.185640875749929,11.77139427888148
8,14.13202643823755,11.66224438829478,11.296760945926568
9,12.933052320390992,10.720819686639903,10.393368003089332
