Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,13.075781245311944,9.537444702630776,9.038466749042549
1,15.106415235502563,10.905791537905854,10.303683295921939
2,16.734737682742313,12.020686359676215,11.35303102207458
3,22.03430950544869,15.486069798172316,14.321212526886242
4,11.667890958428758,8.524357229337518,8.08153347716414
5,38.65578156175978,23.53307456516331,20.911957301246815
6,13.884052767342748,10.10201148953871,9.56430191718664
7,22.358154842011977,15.69327401485911,14.511517834582424
8,14.46638333017501,10.474144109414048,9.910679027088243
9,11.06837175141604,8.106232974401992,7.6918405030062456
