Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,39.954834243416784,28.150939807017956,26.408361366495107
1,20.435997193029955,14.361933792162041,13.382963866747431
2,28.75372265642225,20.188069294988054,18.84443739515524
3,28.64025944994637,20.18903534996219,18.908546849964587
4,18.61185229995224,12.930553840776447,11.942944610417932
5,50.35722248716776,35.317649328248535,33.078611751218425
6,20.97365439428431,14.769682674294328,13.74743733406871
7,48.82968339877059,34.24006854111538,32.05903758271408
8,24.38825460568345,17.110381606501377,15.952280130812497
9,22.292168209488054,15.697319509781225,14.650831542462477
