Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,58.68777023154796,34.69957146933564,32.681837469075674
1,61.25234147092371,36.70467498195077,34.54788965843923
2,42.65181834029177,30.236883637340775,28.69375931816257
3,40.63790858422128,28.421788860912873,26.906846005049616
4,65.2431340945534,38.14453452444181,35.7842222311982
5,58.1619259880041,34.843305731798615,32.769044412164305
6,60.647375799673725,36.53707864001884,34.3575318576718
7,42.78988928863507,31.195602653464213,29.453384308814172
8,56.95715595383542,34.279324254992886,32.215276232442875
9,96.01834773415217,54.31863138967289,50.28033496681238
