Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,60.61898107139731,36.67269433961111,34.3872287454426
1,81.56447056064246,47.74369144185227,44.59157447018242
2,40.403413359038154,29.834921167379914,28.32290295390549
3,50.55903048218458,31.457992296303715,29.59166448946783
4,68.46366743764139,40.53457461142489,37.90283619955354
5,56.070790802930155,34.32986126532522,32.227968609312356
6,58.72189767006233,36.62011406624261,34.301478684036965
7,54.057555428767046,33.99254566537428,31.9311550143909
8,56.41572697969042,34.661312509401625,32.623360535381174
9,80.83460447275598,47.66135016596456,44.44956502331111
