Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.15478954074280643,0.01692153744781821,0.009643070490719457,0.2712978958197187,0.013485151062648632,0.0087723825600302
1,0.14078954074280625,0.01606881166012288,0.00835408247419646,0.24844601857232224,0.014068530644354585,0.008107198833221297
2,0.14957908148791363,0.018402438745406025,0.009652924576971924,0.2688496708359113,0.014598453019330831,0.008915707492803022
3,0.14557908148535717,0.01670488288506859,0.009137948880627637,0.2714147319428482,0.014065132619676636,0.008521620055866886
4,0.14557908148535717,0.016970901557191106,0.009033313239509295,0.26733460375367835,0.013608884320955094,0.0084866807492488
5,0.12878954074280471,0.01424667871853763,0.008294365344857812,0.2708710011202003,0.01321877412257412,0.007838096631633977
6,0.1387895407428036,0.015985617384141847,0.008307674835770218,0.23562204997446967,0.014146664414225539,0.008104588281127551
7,0.1495790833439849,0.016940653899650764,0.009076024889307348,0.27094556462337754,0.013377030363285598,0.008212920883006162
8,0.1515790885991354,0.017058041750036827,0.009739940454103226,0.27141472814143014,0.01501585778857384,0.009113463551492295
9,0.1307895407428022,0.015400766523984161,0.008125827927190821,0.24052058973614243,0.01390788766600039,0.007936710678574769
