Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.09926603786926481,0.018463912156622582,0.0096793175646214,0.20707248935692363,0.021161040763530547,0.010217637003698139
1,0.08801603786926013,0.01708357262339982,0.00908298828852001,0.1879915482943797,0.019845812193121492,0.009369035748799263
2,0.0855160378692692,0.01766348656451944,0.009323151756902874,0.18139539852601497,0.020322999182341265,0.009606410898563515
3,0.09301603786926493,0.018212323057342043,0.009684277046270657,0.20887866232799435,0.021104714463221676,0.010217127471485433
4,0.09551603786926205,0.018049065692376833,0.0095520063663076,0.19657605438223616,0.021056855558875882,0.010009323343359614
5,0.09301603786926026,0.018451917217156773,0.009662802875250684,0.211563859887228,0.020402876621604588,0.00990251208497705
6,0.0817660378694938,0.017361724774282935,0.009232327297599586,0.16404142730514862,0.01938665067078119,0.009203798822870729
7,0.09676603786926134,0.018403774595687535,0.009679002562615304,0.21070595041362403,0.021495313796579762,0.010447341455040893
8,0.09676603786926197,0.018542234217718473,0.009848242387025904,0.20802431693281623,0.021795159190422197,0.010538094667208014
9,0.07676603787183339,0.016816467793806883,0.008908084093917369,0.16589324715039458,0.018683129823719086,0.008838104225331959
