Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.08678954074315484,0.030282275347823993,0.0174978298002741,0.1110187070644632,0.027945835822710867,0.014790808098736386
1,0.09478954074769887,0.030598250394436966,0.01746331975651772,0.125528634902595,0.03147146454803999,0.016638749615246876
2,0.10078954083707826,0.03189211574212201,0.01843460522113483,0.1356727139028233,0.03478508525501284,0.01839415287620321
3,0.09678954074316203,0.03127549990679108,0.017551049511605812,0.1548871922227168,0.037945303091422855,0.01955081104120328
4,0.08878954074313831,0.03177116519972288,0.017891159904278895,0.08686760548813481,0.02667110744258787,0.01406777124014148
5,0.10678954076672913,0.03351639844235643,0.01945760383005685,0.22119073309882892,0.04125702835224797,0.022357869084337633
6,0.09078954074315189,0.030501081809200695,0.017249268579199905,0.1162828806186271,0.029312623171466864,0.015542863259623646
7,0.09678954078815111,0.03128699181175489,0.017964323336915368,0.16005716761697317,0.038242508741456446,0.019490621081173703
8,0.09078954074317581,0.029798884225347953,0.016921907620714872,0.12262584576306536,0.030826340244879624,0.016335606838625533
9,0.08878954074314298,0.026290624831958462,0.015334157389853382,0.07463416593106292,0.021761234273619534,0.010782724555590772
