Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.10353207774269407,0.01988647278773062,0.01055386342267345,0.27710714919308493,0.021071543316615364,0.011291958967134912
1,0.10228207810795097,0.019112246771276577,0.010172460321518109,0.23255657761686013,0.020550078922846975,0.010933469433016563
2,0.1022820757417379,0.019935688063548392,0.01082190044810396,0.29581468319630916,0.02046065653693712,0.011229760834923476
3,0.10228207581458147,0.0187734647168721,0.010180665179317936,0.26293205428426475,0.019974833098696073,0.010767750789111559
4,0.10353207600079813,0.019306098316941182,0.010380949058607643,0.23010601136411393,0.02025243588373662,0.011052188637012711
5,0.10103207600386588,0.019866831091174635,0.010522861416697714,0.3029762255386444,0.0198964307855438,0.010724647002238616
6,0.09978207900139438,0.01940900595773035,0.010452656772287943,0.23905391032505102,0.020543598155013453,0.011046054033793395
7,0.10103207575287479,0.019619397056554654,0.010600798430346097,0.30239327146706757,0.020602361173545632,0.011011091789738494
8,0.10603207574057977,0.020391390471978382,0.011305255752979356,0.2795651791773449,0.020857421587654204,0.011615217032125346
9,0.09176603786926164,0.018613000892347027,0.009938980792978263,0.22157605349192294,0.02016346745373742,0.010695149196227535
