Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.12747203510865288,0.018068591891263936,0.00952124984022211,0.22589498935334507,0.015571896379438139,0.008554780014748513
1,0.12547205629221952,0.0203755589953912,0.01163321092133065,0.21507175411590598,0.01651733776563285,0.009182716291485704
2,0.12947205991878286,0.021029639887611397,0.011689693776627558,0.22026797841726353,0.01573176374381408,0.009444309669805412
3,0.12347203915923616,0.01823337927805208,0.009772335627769283,0.22761799257581636,0.014792068474695039,0.008681312835564017
4,0.12747203512701855,0.01864967529232464,0.009818075686722915,0.22159861548979848,0.015025404621383846,0.00828341351865132
5,0.12073601756053537,0.020200601271334995,0.010701176733166883,0.2241381343924409,0.01673842976574106,0.0092860728160684
6,0.12347203514810372,0.021246939052554904,0.012969472281590087,0.21234758484135038,0.018512548259874792,0.01030609364211631
7,0.1274720479404337,0.019887909789283044,0.012009162574449754,0.21656368101037277,0.016021884487979924,0.009623751676665395
8,0.1254720351407683,0.020551905972267536,0.01091341460077283,0.22430336745390098,0.017394553539928047,0.009611181726464538
9,0.12547205629221952,0.019267826187496465,0.011781398378976893,0.21829243840741777,0.018965135025328775,0.010020795898609883
