Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.11759036929246273,0.016912324074349037,0.009951568556826104,0.36510096208119786,0.01877513716258066,0.009996850626708667
1,0.12259036930755496,0.016731173033604396,0.0103476937466882,0.36190823680279405,0.01936918999397672,0.010283139723417753
2,0.11884036929248543,0.017881936831944868,0.010928677517072214,0.3651100762745335,0.017766044000512786,0.010295012384815371
3,0.11634036929260042,0.0163411486781553,0.009489561151327545,0.3636363818812866,0.01846874521809986,0.010035771976617439
4,0.1250903692925144,0.016559606118740997,0.009704612972806751,0.36367880031894123,0.017845465781478574,0.009623264038494322
5,0.12134036933274837,0.017906452172126264,0.010023403617946769,0.3651100701120765,0.01829695208915615,0.009953261860414685
6,0.12384036934631601,0.017659073615043677,0.010682646560784482,0.3637585153348312,0.01870251474029232,0.010341558718521729
7,0.12134036929254009,0.017938627302771713,0.010446173859029566,0.3650449512433466,0.01798269946718945,0.009947720576334047
8,0.1175903692925411,0.018063029648110063,0.010675228125578123,0.3649580465094566,0.018580217447129333,0.010213975144555215
9,0.11759036929249807,0.016848313648707723,0.010523786947687552,0.3623903864021186,0.01924650535296412,0.010198435205051563
