Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,500,0.91,0.004620931896579556,0.006644981713749446,0.005,0
lognorm,500,0.91,0.0036089753889061004,0.005715829822955518,0.005,1
lognorm,500,0.91,0.004193863599835774,0.0062298537990140125,0.005,2
lognorm,500,0.91,0.0033254632068287736,0.005255437181145036,0.005,3
lognorm,500,0.91,0.00414380658283435,0.0063246396925012134,0.005,4
lognorm,500,0.91,0.004826635996523467,0.007707147912323976,0.005,5
lognorm,500,0.91,0.004059906426131667,0.0059284052382501005,0.005,6
lognorm,500,0.91,0.0040944348339362665,0.0055839644733623,0.005,7
lognorm,500,0.91,0.00397496302740551,0.006129304072106935,0.005,8
lognorm,500,0.91,0.0037269942619310935,0.004867316395224194,0.005,9
lognorm,500,0.91,0.003987291200198008,0.006911210251188138,0.005,10
lognorm,500,0.91,0.0036685415464052483,0.005795576362493486,0.005,11
lognorm,500,0.91,0.003907025346910849,0.005641452551489628,0.005,12
lognorm,500,0.91,0.003750170761126304,0.0056522543408870606,0.005,13
lognorm,500,0.91,0.003846030867727933,0.005922593573374049,0.005,14
lognorm,500,0.91,0.0033170035872488457,0.004953018684337417,0.005,15
lognorm,500,0.91,0.003003439035397282,0.004799384716730193,0.005,16
lognorm,500,0.91,0.003862297259595731,0.005781643187303482,0.005,17
lognorm,500,0.91,0.003972139353516345,0.006070429610320063,0.005,18
lognorm,500,0.91,0.003524303485912118,0.005731879409151756,0.005,19
lognorm,500,0.91,0.004221003105105803,0.006359466000202441,0.005,20
lognorm,500,0.91,0.003994581205026457,0.005782831527422304,0.005,21
lognorm,500,0.91,0.005063077133793557,0.006555418089064365,0.005,22
lognorm,500,0.91,0.0030585323914460224,0.005043820952021636,0.005,23
lognorm,500,0.91,0.004135502160267809,0.006119392538795426,0.005,24
lognorm,500,0.91,0.0037596930191053242,0.0060958954618138255,0.005,25
lognorm,500,0.91,0.003759800137774667,0.0061109773455796865,0.005,26
lognorm,500,0.91,0.004004863004425947,0.008076844324766533,0.005,27
lognorm,500,0.91,0.004340616994272404,0.006327158352536307,0.005,28
lognorm,500,0.91,0.002902259095852329,0.004660760392808641,0.005,29
lognorm,500,0.91,0.003899949765404667,0.006152144914642913,0.005,30
lognorm,500,0.91,0.006071249443666127,0.03402017417636266,0.005,31
lognorm,500,0.91,0.0036748320040771187,0.005788117598901316,0.005,32
lognorm,500,0.91,0.003450873674744749,0.005399229271268322,0.005,33
lognorm,500,0.91,0.0035275998437749845,0.005660402880989742,0.005,34
lognorm,500,0.91,0.002837867071885891,0.004793263529318919,0.005,35
lognorm,500,0.91,0.003639765670181293,0.005781619600604674,0.005,36
lognorm,500,0.91,0.004345252759181977,0.00572488479885513,0.005,37
lognorm,500,0.91,0.004367343389111591,0.005863354717860784,0.005,38
lognorm,500,0.91,0.004839298427471716,0.0066960552249306984,0.005,39
lognorm,500,0.91,0.003977884388499109,0.005175639534549159,0.005,40
lognorm,500,0.91,0.004070878795486457,0.0056500111277455614,0.005,41
lognorm,500,0.91,0.003865843615263402,0.0059454538645760885,0.005,42
lognorm,500,0.91,0.0030610102696021343,0.005274580981128932,0.005,43
lognorm,500,0.91,0.003622841114718057,0.005661494735810319,0.005,44
lognorm,500,0.91,0.002912290044441242,0.004756641913901128,0.005,45
lognorm,500,0.91,0.0031484072939434917,0.004974418245048488,0.005,46
lognorm,500,0.91,0.003665966962119259,0.005947140710664275,0.005,47
lognorm,500,0.91,0.003403212706102732,0.005447478102824227,0.005,48
lognorm,500,0.91,0.0038688887024973576,0.00624151631201341,0.005,49
lognorm,500,0.91,0.004562260292292168,0.006579754225243231,0.005,50
lognorm,500,0.91,0.003531149370147837,0.004549139202087551,0.005,51
lognorm,500,0.91,0.004515758002369456,0.005972700305284043,0.005,52
lognorm,500,0.91,0.004449476433572723,0.006680545855303564,0.005,53
lognorm,500,0.91,0.0033253382064492073,0.0052205797633297765,0.005,54
lognorm,500,0.91,0.004461110361537702,0.005959980372278445,0.005,55
lognorm,500,0.91,0.00478149237798004,0.00687732442344944,0.005,56
lognorm,500,0.91,0.003951624569944797,0.005085218484572999,0.005,57
lognorm,500,0.91,0.0044405141999648715,0.006252604207611253,0.005,58
lognorm,500,0.91,0.0038878598333426406,0.006015171508494148,0.005,59
lognorm,500,0.91,0.0042190771723066315,0.005425759677028904,0.005,60
lognorm,500,0.91,0.003268449900119622,0.005722896702330444,0.005,61
