Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.99,0.002073005654270449,0.00859220934450226,0.005,0
gamma,500,0.99,0.0021674569942575373,0.009531069150571178,0.005,1
gamma,500,0.99,0.0023629156955047494,0.009408997105949064,0.005,2
gamma,500,0.99,0.002170811214125331,0.007734756723201157,0.005,3
gamma,500,0.99,0.0011618859876548803,0.005781096902371585,0.005,4
gamma,500,0.99,0.000773879999112637,0.006841901276676483,0.005,5
gamma,500,0.99,0.0030167156389816984,0.008585519276542986,0.005,6
gamma,500,0.99,0.0007104987690618643,0.006295671149885193,0.005,7
gamma,500,0.99,0.0012409816987505157,0.006670043539345028,0.005,8
gamma,500,0.99,0.0011560291706565376,0.007750221549592235,0.005,9
gamma,500,0.99,0.0007847249400043311,0.005263984999412121,0.005,10
gamma,500,0.99,0.0007322362084683509,0.005270342510942433,0.005,11
gamma,500,0.99,0.002355875363991352,0.007986124278553873,0.005,12
gamma,500,0.99,0.0011309717658904005,0.005911148639120777,0.005,13
gamma,500,0.99,0.001630204042782994,0.006373504654029782,0.005,14
gamma,500,0.99,0.0008598349721503249,0.007996603537755546,0.005,15
gamma,500,0.99,0.0025559795485173425,0.009987975955095476,0.005,16
gamma,500,0.99,0.0011969655368613173,0.0056543841095316235,0.005,17
gamma,500,0.99,0.0015523711868001611,0.010304097298327375,0.005,18
gamma,500,0.99,0.0024724694298857556,0.008844466905615826,0.005,19
gamma,500,0.99,0.0018033965798174747,0.007336469788551887,0.005,20
gamma,500,0.99,0.0007968549750131914,0.0056518167349152645,0.005,21
gamma,500,0.99,0.0016859143557082217,0.008091612375048516,0.005,22
gamma,500,0.99,0.002908649110691464,0.008407390976556841,0.005,23
gamma,500,0.99,0.0017698246714697775,0.007423409371220497,0.005,24
gamma,500,0.99,0.0017060864937608149,0.008355022656931117,0.005,25
gamma,500,0.99,0.001188374560200721,0.006018749872135347,0.005,26
gamma,500,0.99,0.0001864745107042487,0.004923214269047978,0.005,27
gamma,500,0.99,0.0009704250847713452,0.005735840871757895,0.005,28
gamma,500,0.99,0.0028900124342033646,0.010137533041372958,0.005,29
gamma,500,0.99,0.0019735707448638334,0.007673733373956561,0.005,30
gamma,500,0.99,0.0014515750785469485,0.006358669343302903,0.005,31
gamma,500,0.99,0.002571637323956704,0.007324091754965755,0.005,32
gamma,500,0.99,0.0009025949907409563,0.006057759273603237,0.005,33
gamma,500,0.99,0.0003032336485460596,0.00519001661069125,0.005,34
gamma,500,0.99,0.002312715021548633,0.008153187185552932,0.005,35
gamma,500,0.99,0.0025559091490436393,0.010657049811153535,0.005,36
gamma,500,0.99,0.0027152071840256197,0.008255206548791532,0.005,37
gamma,500,0.99,0.0023927043878798093,0.0072864592228605975,0.005,38
gamma,500,0.99,0.0013299709904615754,0.00615987657758505,0.005,39
gamma,500,0.99,0.001624304698343785,0.00637712622340107,0.005,40
gamma,500,0.99,0.0014768810826954848,0.006471819412977148,0.005,41
gamma,500,0.99,0.001512615704765856,0.005389393752759596,0.005,42
gamma,500,0.99,0.00044418124422207934,0.00515063491275815,0.005,43
gamma,500,0.99,0.0030873003844787425,0.010209510192226125,0.005,44
gamma,500,0.99,0.001903837321179754,0.006681740868594999,0.005,45
gamma,500,0.99,0.0018728930476421988,0.00764497036626957,0.005,46
gamma,500,0.99,0.0019841714625287426,0.007277014338718673,0.005,47
gamma,500,0.99,0.0010100549899020538,0.006570402043477686,0.005,48
gamma,500,0.99,0.0027657227913850217,0.010239121242365014,0.005,49
gamma,500,0.99,0.001917609441106306,0.007353847997827462,0.005,50
gamma,500,0.99,0.0012997953237923934,0.006795852196539441,0.005,51
