Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.95,0.0044321150798689365,0.006652613978880896,0.005,0
gamma,500,0.95,0.004471082897260296,0.005938689971301397,0.005,1
gamma,500,0.95,0.004565047510503149,0.006358388044944015,0.005,2
gamma,500,0.95,0.0038949824877867706,0.006051754111493674,0.005,3
gamma,500,0.95,0.0033982747096908492,0.00538875474463889,0.005,4
gamma,500,0.95,0.0045189109646302655,0.006997194695692457,0.005,5
gamma,500,0.95,0.004445060614800162,0.0066333347155960376,0.005,6
gamma,500,0.95,0.004005745804060016,0.006387030413176616,0.005,7
gamma,500,0.95,0.004319115191905374,0.006730028138235814,0.005,8
gamma,500,0.95,0.004480130269579508,0.0070686267869435266,0.005,9
gamma,500,0.95,0.003175988082222347,0.005131516970242655,0.005,10
gamma,500,0.95,0.0037485281793884465,0.005747260850961551,0.005,11
gamma,500,0.95,0.0037685066542719457,0.005475085961623577,0.005,12
gamma,500,0.95,0.003247006231975419,0.005099256548664551,0.005,13
gamma,500,0.95,0.003259914338020184,0.005071327298739311,0.005,14
gamma,500,0.95,0.0043817888505856255,0.0059590725927574735,0.005,15
gamma,500,0.95,0.005463652103672416,0.006618022626212706,0.005,16
gamma,500,0.95,0.0033781862839682934,0.0055334102828907255,0.005,17
gamma,500,0.95,0.006015633580196056,0.007461566296149269,0.005,18
gamma,500,0.95,0.004622951926735201,0.006483015259009687,0.005,19
gamma,500,0.95,0.004204939170103426,0.006384557171420347,0.005,20
gamma,500,0.95,0.0042382808406909375,0.0062121103359850565,0.005,21
gamma,500,0.95,0.004942222864585897,0.0060353712736111904,0.005,22
gamma,500,0.95,0.004112204649863305,0.006082132915227412,0.005,23
gamma,500,0.95,0.0039704112860574625,0.006090758277185637,0.005,24
gamma,500,0.95,0.005413450111809269,0.006899500468266228,0.005,25
gamma,500,0.95,0.0035900583047228153,0.005734778588972476,0.005,26
gamma,500,0.95,0.004090635667957234,0.006672011725812696,0.005,27
gamma,500,0.95,0.0037357249774200895,0.005759858451776503,0.005,28
gamma,500,0.95,0.004702842088043309,0.006597429070685013,0.005,29
gamma,500,0.95,0.004129612964051303,0.006498055119677391,0.005,30
gamma,500,0.95,0.003323135757521367,0.005267182836330792,0.005,31
gamma,500,0.95,0.003397750173832552,0.005183595804486879,0.005,32
gamma,500,0.95,0.0036758776059113056,0.005836857911002575,0.005,33
gamma,500,0.95,0.003767561513139142,0.005869837389335909,0.005,34
gamma,500,0.95,0.004217037984226531,0.006230958748880644,0.005,35
gamma,500,0.95,0.004879704011914958,0.005809751401179179,0.005,36
gamma,500,0.95,0.003672613775356448,0.005158988292622157,0.005,37
gamma,500,0.95,0.0035523371700801644,0.005415759567397959,0.005,38
gamma,500,0.95,0.003054770785287764,0.004890109474915507,0.005,39
gamma,500,0.95,0.0031078899078468697,0.004965233641804037,0.005,40
gamma,500,0.95,0.003490658800234172,0.005568104020949136,0.005,41
gamma,500,0.95,0.0032368750903436143,0.004903102354249083,0.005,42
gamma,500,0.95,0.0037749764271490594,0.006030041745178792,0.005,43
gamma,500,0.95,0.005205526459307269,0.00759702013585813,0.005,44
gamma,500,0.95,0.002956771262601464,0.004684021539300401,0.005,45
gamma,500,0.95,0.004045274319453336,0.006007010249358714,0.005,46
gamma,500,0.95,0.004029793396189424,0.006029408871552331,0.005,47
gamma,500,0.95,0.004534492814576554,0.0063583525995554785,0.005,48
gamma,500,0.95,0.004612010457149836,0.005585357473536901,0.005,49
gamma,500,0.95,0.0038009970432293545,0.005925610990947044,0.005,50
gamma,500,0.95,0.003773468712645809,0.005857676431282373,0.005,51
gamma,500,0.95,0.0032502143808064553,0.005212889926683717,0.005,52
gamma,500,0.95,0.00376835274201168,0.005792710698796715,0.005,53
gamma,500,0.95,0.00527619864832096,0.007821381876485695,0.005,54
gamma,500,0.95,0.0052349761880198615,0.006950106512929975,0.005,55
gamma,500,0.95,0.005209845774213743,0.0059904567895668346,0.005,56
gamma,500,0.95,0.003913437595969268,0.0059935013289095914,0.005,57
gamma,500,0.95,0.003332517942241209,0.00574357528411741,0.005,58
gamma,500,0.95,0.004717947326949266,0.0065182321278952045,0.005,59
gamma,500,0.95,0.004942556780454699,0.007296635991138492,0.005,60
gamma,500,0.95,0.004454497452581845,0.005247368887386442,0.005,61
gamma,500,0.95,0.0035972946962304383,0.005624996734888306,0.005,62
gamma,500,0.95,0.003927188001199637,0.0058541929418732055,0.005,63
gamma,500,0.95,0.003156243162912483,0.0050901136814422675,0.005,64
gamma,500,0.95,0.0037025389699060444,0.005761505546614121,0.005,65
gamma,500,0.95,0.003877791209428003,0.005869146907009958,0.005,66
gamma,500,0.95,0.005053874289861575,0.007138801740622813,0.005,67
gamma,500,0.95,0.003957222446935823,0.005980698267500426,0.005,68
gamma,500,0.95,0.003145494092972289,0.005090991470253846,0.005,69
gamma,500,0.95,0.0038532091675391087,0.006136372040527225,0.005,70
gamma,500,0.95,0.0033030660575923032,0.005152980580442459,0.005,71
gamma,500,0.95,0.00421080156989612,0.0065148751340082505,0.005,72
gamma,500,0.95,0.0036200629196675538,0.005464588136544598,0.005,73
gamma,500,0.95,0.0035068707935204378,0.005232416568409377,0.005,74
gamma,500,0.95,0.004027152816491962,0.006049206154206072,0.005,75
gamma,500,0.95,0.005025575390930355,0.005849784529575727,0.005,76
gamma,500,0.95,0.0034146164130657627,0.005284406584496794,0.005,77
gamma,500,0.95,0.0030259566206657152,0.005018615592644516,0.005,78
gamma,500,0.95,0.004675543133892367,0.006728600589968854,0.005,79
gamma,500,0.95,0.003986731191836958,0.0057713355645509345,0.005,80
gamma,500,0.95,0.0034607764592966173,0.005426273492990552,0.005,81
gamma,500,0.95,0.004610136344520885,0.005414903516568877,0.005,82
gamma,500,0.95,0.003096757546888378,0.004976337754575952,0.005,83
gamma,500,0.95,0.0037934306147733815,0.0059282082236512155,0.005,84
gamma,500,0.95,0.0037610143047921876,0.005842772658244445,0.005,85
gamma,500,0.95,0.003795036360094027,0.005986266516286317,0.005,86
gamma,500,0.95,0.0034107056688701797,0.005316651847138992,0.005,87
gamma,500,0.95,0.0038972629002929533,0.006081184495097677,0.005,88
gamma,500,0.95,0.0030432718496710295,0.00500439823763736,0.005,89
gamma,500,0.95,0.004517500874091428,0.006732287303750077,0.005,90
gamma,500,0.95,0.003758309595465452,0.006250851742447431,0.005,91
gamma,500,0.95,0.004978609687470131,0.006243268016998193,0.005,92
gamma,500,0.95,0.004796351117797116,0.005764049391393456,0.005,93
gamma,500,0.95,0.0034760871549625013,0.00523706045272733,0.005,94
gamma,500,0.95,0.004941879964119026,0.00737398051486582,0.005,95
gamma,500,0.95,0.0035748283818200655,0.005529571737409377,0.005,96
gamma,500,0.95,0.0050964054057665445,0.006985650190137192,0.005,97
gamma,500,0.95,0.004626258372848555,0.006908761121204696,0.005,98
gamma,500,0.95,0.004653291095170395,0.007107264559057874,0.005,99
gamma,500,0.95,0.0028076111493345636,0.0045154922941641265,0.005,100
gamma,500,0.95,0.00358676911645048,0.005600792308589174,0.005,101
gamma,500,0.95,0.004480434474540464,0.007008395855786073,0.005,102
gamma,500,0.95,0.00443823971280787,0.005666793399773613,0.005,103
gamma,500,0.95,0.0036175326101374446,0.005319898943869504,0.005,104
gamma,500,0.95,0.0029685750081557987,0.004760310530771596,0.005,105
gamma,500,0.95,0.004506171672891379,0.006624219306874557,0.005,106
gamma,500,0.95,0.004205976402098461,0.0054890522916553304,0.005,107
gamma,500,0.95,0.0038738332086815765,0.005908312743835121,0.005,108
gamma,500,0.95,0.004638246284497321,0.0066480141539721135,0.005,109
gamma,500,0.95,0.005899467651729957,0.007563454174634499,0.005,110
gamma,500,0.95,0.004481200212535854,0.0068405597262179325,0.005,111
gamma,500,0.95,0.004874108766130623,0.005905777195790622,0.005,112
gamma,500,0.95,0.004676334565125495,0.006371279949090913,0.005,113
gamma,500,0.95,0.0033716869515523096,0.005515558193715286,0.005,114
gamma,500,0.95,0.002923895361265246,0.004657540796975434,0.005,115
gamma,500,0.95,0.004923311171711375,0.0061268468649651854,0.005,116
gamma,500,0.95,0.004909725097470227,0.006724788409153635,0.005,117
gamma,500,0.95,0.004988518223081227,0.00728505768980362,0.005,118
gamma,500,0.95,0.004187244501328103,0.006454115405691312,0.005,119
gamma,500,0.95,0.00442330373821506,0.006371361126521678,0.005,120
gamma,500,0.95,0.0027766303476761418,0.004552779942998251,0.005,121
gamma,500,0.95,0.004463972650472879,0.006283717853327592,0.005,122
gamma,500,0.95,0.0040667007738205115,0.006170315581975928,0.005,123
gamma,500,0.95,0.003965928232754926,0.005862939344779026,0.005,124
gamma,500,0.95,0.0035372476730213846,0.0056192340522701525,0.005,125
gamma,500,0.95,0.0036353121026512715,0.005973018275365614,0.005,126
gamma,500,0.95,0.004897097879852005,0.005678464635923382,0.005,127
gamma,500,0.95,0.004077531153297021,0.006096608992089259,0.005,128
gamma,500,0.95,0.004571176359867215,0.006785877022759732,0.005,129
gamma,500,0.95,0.004844835940338661,0.005783330532234383,0.005,130
gamma,500,0.95,0.004422834396059364,0.006614501730168416,0.005,131
gamma,500,0.95,0.004520402539011326,0.006849128292261568,0.005,132
gamma,500,0.95,0.0031836130831595618,0.005016515093699644,0.005,133
gamma,500,0.95,0.003960752508939237,0.005977753361566556,0.005,134
gamma,500,0.95,0.004283081892433971,0.00548119677408461,0.005,135
gamma,500,0.95,0.004334042083032794,0.0064406461834491495,0.005,136
gamma,500,0.95,0.004304602805380112,0.006109820757305226,0.005,137
gamma,500,0.95,0.004098345596492015,0.005487990992910794,0.005,138
gamma,500,0.95,0.003620933284879784,0.005553903173616504,0.005,139
gamma,500,0.95,0.004310429869363038,0.005776152029034844,0.005,140
gamma,500,0.95,0.004509589401930132,0.0065895553480490405,0.005,141
gamma,500,0.95,0.0036009406347529698,0.005617339847740492,0.005,142
gamma,500,0.95,0.004437158811700441,0.005926069569651033,0.005,143
gamma,500,0.95,0.0046280488023675275,0.006266403928236977,0.005,144
gamma,500,0.95,0.0037258896325026653,0.005835035202084041,0.005,145
gamma,500,0.95,0.0052944822062487296,0.0069066914703784345,0.005,146
gamma,500,0.95,0.004374890351230093,0.006887051747541091,0.005,147
gamma,500,0.95,0.0036192605983541644,0.005776103591290098,0.005,148
gamma,500,0.95,0.004894930687658353,0.007423467699276957,0.005,149
gamma,500,0.95,0.004539694510650619,0.0066455437089129946,0.005,150
gamma,500,0.95,0.0034805893902568517,0.005525537382079676,0.005,151
gamma,500,0.95,0.004129982771349595,0.005084536952334328,0.005,152
gamma,500,0.95,0.004213492091679564,0.0066672129086184344,0.005,153
