Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,500,0.95,0.0034265775955660176,0.005556579444400049,0.005,0
pareto,500,0.95,0.004382490083118512,0.006685160510302909,0.005,1
pareto,500,0.95,0.004430552665422125,0.006963131435831561,0.005,2
pareto,500,0.95,0.003273754095905738,0.005145354229901701,0.005,3
pareto,500,0.95,0.0032551619824404817,0.004890936844475697,0.005,4
pareto,500,0.95,0.003473116676111637,0.005318034438991782,0.005,5
pareto,500,0.95,0.004702862992795494,0.007112011079535338,0.005,6
pareto,500,0.95,0.005282692522195623,0.006601290540042434,0.005,7
pareto,500,0.95,0.003288258780788384,0.005356326165527699,0.005,8
pareto,500,0.95,0.004234095155857657,0.006181009739828441,0.005,9
pareto,500,0.95,0.00311302677727064,0.004866894648380693,0.005,10
pareto,500,0.95,0.0030510842677529495,0.004942425128248882,0.005,11
pareto,500,0.95,0.003699902267171807,0.005566903859839278,0.005,12
pareto,500,0.95,0.0032328822036745025,0.0048694350000905665,0.005,13
pareto,500,0.95,0.004515006089878183,0.006646976633508203,0.005,14
pareto,500,0.95,0.003812037866849809,0.005825535801013828,0.005,15
pareto,500,0.95,0.004454838320375432,0.0065589089799639845,0.005,16
pareto,500,0.95,0.0041593600360785325,0.0066453272259692124,0.005,17
pareto,500,0.95,0.004060487933895442,0.006275449683292004,0.005,18
pareto,500,0.95,0.004380797232686153,0.006504860883826576,0.005,19
pareto,500,0.95,0.004097385788188904,0.006411301199387784,0.005,20
pareto,500,0.95,0.0034150978614192916,0.005550365481474073,0.005,21
pareto,500,0.95,0.004256084516989711,0.006351858177004877,0.005,22
pareto,500,0.95,0.003802021953787516,0.005869462467349864,0.005,23
pareto,500,0.95,0.0045854971355296925,0.006653115661679765,0.005,24
pareto,500,0.95,0.003896182179600577,0.006269142736146434,0.005,25
pareto,500,0.95,0.003692958804674542,0.005356437724645327,0.005,26
pareto,500,0.95,0.0028361961199100407,0.004979829669573581,0.005,27
pareto,500,0.95,0.004769815927812645,0.006824235741019386,0.005,28
pareto,500,0.95,0.004586420105622145,0.006742707131781824,0.005,29
pareto,500,0.95,0.004807076917975808,0.007155559019916124,0.005,30
pareto,500,0.95,0.004254008856122313,0.006074248456143349,0.005,31
pareto,500,0.95,0.0055149072948906495,0.008129776052668066,0.005,32
pareto,500,0.95,0.004167785243022487,0.006262040983873234,0.005,33
pareto,500,0.95,0.004196818767792975,0.0064113734288975726,0.005,34
pareto,500,0.95,0.004485132133809877,0.00639480318959782,0.005,35
pareto,500,0.95,0.003832695379048326,0.006159111877453233,0.005,36
pareto,500,0.95,0.00289461918131043,0.004806738796072469,0.005,37
pareto,500,0.95,0.004185240429176382,0.006210084996671041,0.005,38
pareto,500,0.95,0.003617856928972296,0.005558276603186299,0.005,39
pareto,500,0.95,0.0036125508949692107,0.005427677353085572,0.005,40
pareto,500,0.95,0.004109252835715367,0.006032611242619555,0.005,41
pareto,500,0.95,0.00396960240989735,0.006093574949344105,0.005,42
pareto,500,0.95,0.0038828573327970074,0.005868452850464357,0.005,43
pareto,500,0.95,0.005285906103378267,0.008080236514382702,0.005,44
pareto,500,0.95,0.003069227487744252,0.004888171754258493,0.005,45
pareto,500,0.95,0.004045483806347022,0.006343533677112618,0.005,46
pareto,500,0.95,0.004485586987759938,0.006505159262129379,0.005,47
pareto,500,0.95,0.002889442864686001,0.00458450053436112,0.005,48
pareto,500,0.95,0.00448229812202943,0.0067772284572112365,0.005,49
pareto,500,0.95,0.004111366643954124,0.006372002981828242,0.005,50
pareto,500,0.95,0.003403668396303475,0.005277067413206694,0.005,51
pareto,500,0.95,0.0059533561401430065,0.00727472097533704,0.005,52
pareto,500,0.95,0.003978593557680604,0.006037663660662447,0.005,53
pareto,500,0.95,0.004106924248636865,0.0062694935891003745,0.005,54
pareto,500,0.95,0.004336333849715382,0.006404704494833194,0.005,55
pareto,500,0.95,0.004977261275913594,0.007076011526401256,0.005,56
pareto,500,0.95,0.004165906068784242,0.006300319106464292,0.005,57
pareto,500,0.95,0.0030892850089483544,0.004996959156995921,0.005,58
pareto,500,0.95,0.0040327089340851385,0.005875515635907394,0.005,59
pareto,500,0.95,0.004315178036659063,0.006587146652596857,0.005,60
pareto,500,0.95,0.003793139759580009,0.005775272910363031,0.005,61
pareto,500,0.95,0.005263830587533903,0.007747684749327249,0.005,62
pareto,500,0.95,0.004030844072878637,0.005940834368206672,0.005,63
pareto,500,0.95,0.003668239439566016,0.0058154423913979545,0.005,64
pareto,500,0.95,0.004000805274238289,0.005840601663589705,0.005,65
pareto,500,0.95,0.0037620385440990988,0.005721360543212582,0.005,66
pareto,500,0.95,0.004572314903888971,0.006892782075950204,0.005,67
pareto,500,0.95,0.0046137838723347,0.0067751373510408115,0.005,68
pareto,500,0.95,0.00408240979783364,0.006126926731504887,0.005,69
pareto,500,0.95,0.004072925080033408,0.005898483511589037,0.005,70
pareto,500,0.95,0.0036349682953886247,0.00551967168250352,0.005,71
pareto,500,0.95,0.004102261041045791,0.006071782538978152,0.005,72
pareto,500,0.95,0.003603816538814897,0.00588028089145867,0.005,73
pareto,500,0.95,0.0030222516683005604,0.004683267459346876,0.005,74
pareto,500,0.95,0.004333804419196613,0.006281493371659581,0.005,75
pareto,500,0.95,0.004020996993724753,0.006160100146560173,0.005,76
pareto,500,0.95,0.0036142574315598977,0.005357653280299246,0.005,77
pareto,500,0.95,0.0037841444498697197,0.005562498119607806,0.005,78
pareto,500,0.95,0.003888165834037082,0.006076534646568114,0.005,79
pareto,500,0.95,0.003808388108871157,0.0059286871837108575,0.005,80
pareto,500,0.95,0.003617777949299405,0.005313810501063938,0.005,81
pareto,500,0.95,0.00416138282154425,0.00628441876799037,0.005,82
pareto,500,0.95,0.0038070586689937656,0.005628745942874802,0.005,83
pareto,500,0.95,0.0038469811157923047,0.005762480054701608,0.005,84
pareto,500,0.95,0.005905675844533223,0.007320382214510705,0.005,85
pareto,500,0.95,0.003359860906255418,0.005531773149784303,0.005,86
pareto,500,0.95,0.004416649535758293,0.006391292646210047,0.005,87
pareto,500,0.95,0.003454119162024659,0.005222996047453597,0.005,88
pareto,500,0.95,0.004260814886414061,0.0066477440664258775,0.005,89
pareto,500,0.95,0.003983946532728478,0.00618792971948698,0.005,90
pareto,500,0.95,0.0038695019920411866,0.005984891057897422,0.005,91
pareto,500,0.95,0.00424737238482724,0.006544224153022244,0.005,92
pareto,500,0.95,0.004810491673987263,0.007117742815910084,0.005,93
pareto,500,0.95,0.00324964594705886,0.0054331829370801886,0.005,94
pareto,500,0.95,0.0038895447657783322,0.005777378958497909,0.005,95
pareto,500,0.95,0.004017525876988359,0.006108302003620292,0.005,96
pareto,500,0.95,0.0045671859184267215,0.006590610517883962,0.005,97
pareto,500,0.95,0.004764895760647784,0.007500600993810107,0.005,98
pareto,500,0.95,0.004636726553890066,0.006894565430099204,0.005,99
pareto,500,0.95,0.004297542676511769,0.006358799933560475,0.005,100
pareto,500,0.95,0.00388214312877383,0.005776600058476025,0.005,101
pareto,500,0.95,0.003555569359113729,0.0053009018801779976,0.005,102
pareto,500,0.95,0.0036370271507493346,0.005693429690178678,0.005,103
pareto,500,0.95,0.004659319651852536,0.006750010166137952,0.005,104
pareto,500,0.95,0.0025701626855066163,0.0040230056356821255,0.005,105
pareto,500,0.95,0.004062986880117393,0.006226322364105442,0.005,106
pareto,500,0.95,0.003943194241565032,0.0058103778790782705,0.005,107
pareto,500,0.95,0.0036110551596398857,0.005508656781935905,0.005,108
pareto,500,0.95,0.004180496653326503,0.006733839508647804,0.005,109
pareto,500,0.95,0.004874689788504321,0.007309370550262791,0.005,110
pareto,500,0.95,0.00415751236781345,0.0064847320461663945,0.005,111
pareto,500,0.95,0.004588893417487763,0.006939688774638246,0.005,112
pareto,500,0.95,0.005140152673917896,0.007317374968420478,0.005,113
pareto,500,0.95,0.003908764919633186,0.005621757782233769,0.005,114
pareto,500,0.95,0.003648010698444586,0.005705497599931518,0.005,115
pareto,500,0.95,0.004941521292804175,0.006778806205826165,0.005,116
pareto,500,0.95,0.003915673435029935,0.0058924456426624,0.005,117
pareto,500,0.95,0.004457002192228451,0.0067534380303397685,0.005,118
pareto,500,0.95,0.003377038538241855,0.005630935995792347,0.005,119
pareto,500,0.95,0.003838019000026949,0.005782324129070464,0.005,120
pareto,500,0.95,0.0033166329879575473,0.005011751756980396,0.005,121
pareto,500,0.95,0.004221512999681032,0.006072411301033887,0.005,122
pareto,500,0.95,0.004081572371005334,0.006157018604875531,0.005,123
pareto,500,0.95,0.004288404478420821,0.006918888833080432,0.005,124
pareto,500,0.95,0.0035044920162611054,0.005450754316014593,0.005,125
pareto,500,0.95,0.003911073893107239,0.006257449422354723,0.005,126
pareto,500,0.95,0.003187589351484378,0.005007667241662033,0.005,127
pareto,500,0.95,0.004846073713997583,0.007339510085917503,0.005,128
pareto,500,0.95,0.00432847272471937,0.006571251822383081,0.005,129
pareto,500,0.95,0.004085170617062443,0.006526631759741835,0.005,130
pareto,500,0.95,0.0035330983930004075,0.005543923495672514,0.005,131
pareto,500,0.95,0.002810615825985257,0.004545487599518966,0.005,132
pareto,500,0.95,0.00436980468799306,0.006415971620849561,0.005,133
pareto,500,0.95,0.003854983991826866,0.005981732561503701,0.005,134
pareto,500,0.95,0.003237103121206897,0.004854319022988385,0.005,135
pareto,500,0.95,0.0045166843693495995,0.006501292485802695,0.005,136
pareto,500,0.95,0.005496230467742724,0.008048905735970458,0.005,137
pareto,500,0.95,0.004645152398701806,0.006828472475945625,0.005,138
pareto,500,0.95,0.004026308523076575,0.0058681469008965105,0.005,139
pareto,500,0.95,0.004417623134235438,0.006296581810169278,0.005,140
pareto,500,0.95,0.003956683756673758,0.0057415444165293174,0.005,141
pareto,500,0.95,0.00376361384828162,0.0057723487799294,0.005,142
pareto,500,0.95,0.004165922898187147,0.006478018167504899,0.005,143
pareto,500,0.95,0.0029255704520567056,0.004461248572029422,0.005,144
pareto,500,0.95,0.003699991690280089,0.005620328204468269,0.005,145
pareto,500,0.95,0.004002294232959729,0.005863683767983218,0.005,146
pareto,500,0.95,0.0035031583128414703,0.005559181753634946,0.005,147
pareto,500,0.95,0.0038471361520816478,0.005913850135894618,0.005,148
