Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,500,0.99,0.0013824960577760593,0.005882276787307626,0.005,0
lognorm,500,0.99,0.0026848467872102725,0.007006094348483696,0.005,1
lognorm,500,0.99,0.0031019950315793027,0.0078452727363006,0.005,2
lognorm,500,0.99,0.0035568633626964895,0.007789687801907536,0.005,3
lognorm,500,0.99,0.0010660936332637246,0.005924339376928165,0.005,4
lognorm,500,0.99,0.004322314531089311,0.008840292292495371,0.005,5
lognorm,500,0.99,0.002122990492656365,0.0064269896017217975,0.005,6
lognorm,500,0.99,0.003529823697296358,0.007768961898138953,0.005,7
lognorm,500,0.99,0.0023557115857839534,0.006957947866702868,0.005,8
lognorm,500,0.99,0.0006178545695538596,0.0046956954610563595,0.005,9
lognorm,500,0.99,0.0036976846977206544,0.009311839189507605,0.005,10
lognorm,500,0.99,0.0028443175600261616,0.006878513520264046,0.005,11
lognorm,500,0.99,0.0018301806620518606,0.006434085916783863,0.005,12
lognorm,500,0.99,0.0031672508529619822,0.007875619400709435,0.005,13
lognorm,500,0.99,0.003407276692959742,0.00829712992803467,0.005,14
lognorm,500,0.99,0.0009446255698512695,0.00510752229661662,0.005,15
lognorm,500,0.99,0.003121293713349305,0.007075681661078282,0.005,16
lognorm,500,0.99,0.001660729736905562,0.005730074167481117,0.005,17
lognorm,500,0.99,0.002930668831538742,0.007480747426556307,0.005,18
lognorm,500,0.99,0.0010619460378664134,0.005128672119018738,0.005,19
lognorm,500,0.99,0.002440432510067581,0.00691293778964095,0.005,20
lognorm,500,0.99,0.002244911790046055,0.0068161062776746295,0.005,21
lognorm,500,0.99,0.0036723899183173717,0.008423459072899762,0.005,22
lognorm,500,0.99,0.0006879347067199162,0.004106566890404008,0.005,23
lognorm,500,0.99,0.0028235430274018646,0.0074238223677714965,0.005,24
lognorm,500,0.99,0.001620108573882453,0.005459580770747629,0.005,25
lognorm,500,0.99,0.0025880993685283506,0.007037823826596683,0.005,26
lognorm,500,0.99,0.004219362570800992,0.01028462281676106,0.005,27
lognorm,500,0.99,0.0045547262016695554,0.009824458950920474,0.005,28
lognorm,500,0.99,0.0037287680577821015,0.007640483132869147,0.005,29
lognorm,500,0.99,0.001963346821362887,0.00678689867047795,0.005,30
lognorm,500,0.99,0.002687086877754006,0.00778892554565053,0.005,31
lognorm,500,0.99,0.003738497065786672,0.00823866860656678,0.005,32
lognorm,500,0.99,0.0032028731883025456,0.008004153746119548,0.005,33
lognorm,500,0.99,0.0031977936590777906,0.007479402308628313,0.005,34
lognorm,500,0.99,0.0015846203413682192,0.00520529262747186,0.005,35
lognorm,500,0.99,0.00367116540069689,0.008255699048607512,0.005,36
lognorm,500,0.99,0.004025471068809427,0.008963912886710307,0.005,37
lognorm,500,0.99,0.0017071139077935484,0.006258545421645955,0.005,38
lognorm,500,0.99,0.002883402751113451,0.006833530493893315,0.005,39
lognorm,500,0.99,0.0017470905677281511,0.007135574085626357,0.005,40
lognorm,500,0.99,0.0033098192775238536,0.008184771255189691,0.005,41
lognorm,500,0.99,0.003350151900630666,0.007851373587546992,0.005,42
lognorm,500,0.99,0.0022164863110816055,0.006306346030865025,0.005,43
lognorm,500,0.99,0.0027049634091795205,0.007163201932870942,0.005,44
lognorm,500,0.99,0.002669476379777534,0.006507658768661907,0.005,45
lognorm,500,0.99,0.0026718732940715297,0.00913081572562416,0.005,46
lognorm,500,0.99,0.0021588433101464768,0.006631195859876947,0.005,47
lognorm,500,0.99,0.003942164991274311,0.008444437302916486,0.005,48
lognorm,500,0.99,0.003309739851892289,0.008052239370924216,0.005,49
lognorm,500,0.99,0.0026125945610897946,0.006066569407982481,0.005,50
lognorm,500,0.99,0.002206626606586335,0.00693793904409438,0.005,51
lognorm,500,0.99,0.0029584124654980734,0.008111068411828206,0.005,52
lognorm,500,0.99,0.002163674227293569,0.006829819175314291,0.005,53
lognorm,500,0.99,0.005029221174607679,0.009809433879514846,0.005,54
lognorm,500,0.99,0.003922974912156459,0.009255676058080005,0.005,55
lognorm,500,0.99,0.001553669462224625,0.0064694092225317575,0.005,56
lognorm,500,0.99,0.004798390610379622,0.010124380778779009,0.005,57
lognorm,500,0.99,0.0023902755013710487,0.007592737404810254,0.005,58
lognorm,500,0.99,0.0024532085034709348,0.00686090606060357,0.005,59
lognorm,500,0.99,0.0013893670107897628,0.006574289079997401,0.005,60
lognorm,500,0.99,0.0010647764188060971,0.004827942920473586,0.005,61
lognorm,500,0.99,0.0038469162679060412,0.009058413161624104,0.005,62
lognorm,500,0.99,0.002033401005893206,0.006503330594101926,0.005,63
lognorm,500,0.99,0.0019184812905169786,0.006083396556178311,0.005,64
lognorm,500,0.99,0.003747318528490307,0.0080325527109451,0.005,65
lognorm,500,0.99,0.00290128689402125,0.007117528056799759,0.005,66
lognorm,500,0.99,0.0004301428354202688,0.004496291605006655,0.005,67
lognorm,500,0.99,0.0034382092817952835,0.008233770921699114,0.005,68
