Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,500,0.95,0.0025015921707908697,0.005160558652462853,0.005,0
pareto,500,0.95,0.0036837329016750475,0.006486728942248336,0.005,1
pareto,500,0.95,0.003658762712532797,0.007003343944323033,0.005,2
pareto,500,0.95,0.002666629586545951,0.005866919734291391,0.005,3
pareto,500,0.95,0.002797249201862936,0.005319642599602418,0.005,4
pareto,500,0.95,0.00280307838625762,0.0056192601008959045,0.005,5
pareto,500,0.95,0.004518818488187064,0.007610293735667602,0.005,6
pareto,500,0.95,0.004626430991498867,0.007596929070376473,0.005,7
pareto,500,0.95,0.0030873424805267545,0.006127624877563999,0.005,8
pareto,500,0.95,0.0037563798865537083,0.006376361429040921,0.005,9
pareto,500,0.95,0.0024960401617459913,0.005527185344643418,0.005,10
pareto,500,0.95,0.0030666452395253212,0.005762559333442909,0.005,11
pareto,500,0.95,0.003355931217184602,0.0059479588075986665,0.005,12
pareto,500,0.95,0.0028837146577862308,0.005548805319695903,0.005,13
pareto,500,0.95,0.0041220761270255,0.006777353905285985,0.005,14
pareto,500,0.95,0.0031715595411884057,0.006157715813241218,0.005,15
pareto,500,0.95,0.003984749889011796,0.006864806273766855,0.005,16
pareto,500,0.95,0.004411839758202584,0.0058697733367369005,0.005,17
pareto,500,0.95,0.0037883137163803025,0.006691941683910837,0.005,18
pareto,500,0.95,0.0035526353818885314,0.005992982997440681,0.005,19
pareto,500,0.95,0.0034798491213981764,0.006347362322487365,0.005,20
pareto,500,0.95,0.003672444005176925,0.006620375304511714,0.005,21
pareto,500,0.95,0.003734113653118755,0.0067053910856430966,0.005,22
pareto,500,0.95,0.004034311490400449,0.006604825336164849,0.005,23
pareto,500,0.95,0.004570671933895465,0.007399745319222336,0.005,24
pareto,500,0.95,0.002832269201881374,0.006014929357411106,0.005,25
pareto,500,0.95,0.003437803542494432,0.005798251482384555,0.005,26
pareto,500,0.95,0.002433565693277899,0.0058968476697892035,0.005,27
pareto,500,0.95,0.00444248893754177,0.0068896868890646465,0.005,28
pareto,500,0.95,0.0044039639025316496,0.007118262131581721,0.005,29
pareto,500,0.95,0.003938503547851124,0.006624667100269189,0.005,30
pareto,500,0.95,0.00398529642231117,0.006341245800772388,0.005,31
pareto,500,0.95,0.004270820822471776,0.00729488277455922,0.005,32
pareto,500,0.95,0.003698840704852896,0.006771757437327536,0.005,33
pareto,500,0.95,0.003673802018070286,0.006786881188218104,0.005,34
pareto,500,0.95,0.004131096606772105,0.006618329235344872,0.005,35
pareto,500,0.95,0.0030376494046805303,0.0063462233967177,0.005,36
pareto,500,0.95,0.0032093816473871607,0.0060717047146215015,0.005,37
pareto,500,0.95,0.003689414128800384,0.006562056331353883,0.005,38
pareto,500,0.95,0.002926223635393301,0.005967277877228038,0.005,39
pareto,500,0.95,0.0032900486840746674,0.005865405038033553,0.005,40
pareto,500,0.95,0.003666165562165247,0.006324778423343169,0.005,41
pareto,500,0.95,0.003443151151213986,0.005990371475297529,0.005,42
pareto,500,0.95,0.00466763351450272,0.006901569603548574,0.005,43
pareto,500,0.95,0.00501896008930517,0.008121718016803621,0.005,44
pareto,500,0.95,0.002968016300072228,0.005607457313212806,0.005,45
pareto,500,0.95,0.0033507127442578086,0.006385677599405107,0.005,46
pareto,500,0.95,0.0041061321989947636,0.006724474780071696,0.005,47
pareto,500,0.95,0.0022585111636162646,0.005117448117061781,0.005,48
pareto,500,0.95,0.0038626211783068156,0.006693824626710318,0.005,49
pareto,500,0.95,0.004230171995965618,0.0071530377662363115,0.005,50
pareto,500,0.95,0.003132079431219409,0.00612842791830876,0.005,51
pareto,500,0.95,0.004764378794135841,0.00884804054970754,0.005,52
pareto,500,0.95,0.0032746874080698757,0.006023305700993043,0.005,53
pareto,500,0.95,0.003220517895862456,0.0061906600385049325,0.005,54
pareto,500,0.95,0.0040195937847002,0.006978084680922377,0.005,55
pareto,500,0.95,0.003759788793714397,0.006541584380941251,0.005,56
pareto,500,0.95,0.0035881917086991524,0.006697079098785562,0.005,57
pareto,500,0.95,0.0029174777896771482,0.005970060104572349,0.005,58
pareto,500,0.95,0.003509064575015472,0.005736918815437456,0.005,59
pareto,500,0.95,0.00347483507689165,0.006059082776865407,0.005,60
pareto,500,0.95,0.0031759915664165625,0.005952700266721796,0.005,61
pareto,500,0.95,0.004160736521948235,0.006686179732569979,0.005,62
pareto,500,0.95,0.004344057433899499,0.006360315287425666,0.005,63
pareto,500,0.95,0.003716834710727901,0.006750023332637256,0.005,64
pareto,500,0.95,0.0038086714635079434,0.006404872279810677,0.005,65
pareto,500,0.95,0.003230101982587028,0.006259306601576577,0.005,66
pareto,500,0.95,0.003903358874030613,0.006738014027459375,0.005,67
pareto,500,0.95,0.0036298217514399087,0.006441165188949129,0.005,68
pareto,500,0.95,0.0036465058792721724,0.006681009514470731,0.005,69
pareto,500,0.95,0.0036334407350014394,0.006218669323062618,0.005,70
pareto,500,0.95,0.0032088621081502095,0.006096539396569825,0.005,71
pareto,500,0.95,0.0035981207691751886,0.006416113830276554,0.005,72
pareto,500,0.95,0.002608212899961408,0.005733777996098173,0.005,73
pareto,500,0.95,0.0024128849429600648,0.005259027665452448,0.005,74
pareto,500,0.95,0.003204008613786809,0.00594860164086232,0.005,75
pareto,500,0.95,0.00356939415883909,0.006809868845064904,0.005,76
pareto,500,0.95,0.0031210833109499635,0.005723289673806836,0.005,77
pareto,500,0.95,0.0033548514058855702,0.004507192395604823,0.005,78
pareto,500,0.95,0.004058037908256603,0.00530213564600225,0.005,79
pareto,500,0.95,0.0037132117090358146,0.006253201422006104,0.005,80
pareto,500,0.95,0.003096636602101721,0.0055031048328617275,0.005,81
pareto,500,0.95,0.003770223483858536,0.00688511512004677,0.005,82
pareto,500,0.95,0.0033982241882554776,0.005972286581569991,0.005,83
pareto,500,0.95,0.0034128442827337487,0.006321780456777307,0.005,84
pareto,500,0.95,0.006324121243057595,0.007943180666885567,0.005,85
