Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,500,0.99,-0.001997488274383627,0.008363783493806008,0.005,0
lognorm,500,0.99,0.0005080546950307206,0.009631200523760142,0.005,1
lognorm,500,0.99,0.00022251874099879986,0.010262112410173885,0.005,2
lognorm,500,0.99,0.001100879331126592,0.010118869764345019,0.005,3
lognorm,500,0.99,-0.006936607697469303,0.01170952378551945,0.005,4
lognorm,500,0.99,0.0026399923282858454,0.012019226516907566,0.005,5
lognorm,500,0.99,-0.00045085957513454417,0.008494261247883361,0.005,6
lognorm,500,0.99,0.0013052337796768622,0.01034330434883326,0.005,7
lognorm,500,0.99,8.809480955383265e-05,0.008361334623755672,0.005,8
lognorm,500,0.99,-0.0027100793166265702,0.007227086067014656,0.005,9
lognorm,500,0.99,0.0007444194452779781,0.010582573994282717,0.005,10
lognorm,500,0.99,0.00036285974965239793,0.009213633051808513,0.005,11
lognorm,500,0.99,-0.0008599472261465567,0.007557755873963194,0.005,12
lognorm,500,0.99,0.0006525239559802623,0.009742944806678758,0.005,13
lognorm,500,0.99,0.000728509338219513,0.010267269536056896,0.005,14
lognorm,500,0.99,-0.0012803918715940854,0.006557023897235345,0.005,15
lognorm,500,0.99,0.0011141318907670929,0.008749934575557845,0.005,16
lognorm,500,0.99,-0.000497383963437599,0.0075593079354911615,0.005,17
lognorm,500,0.99,1.6195135228125325e-05,0.009997629180869928,0.005,18
lognorm,500,0.99,-0.0014467369371314927,0.006515552558362496,0.005,19
lognorm,500,0.99,-0.000330372655903069,0.009098907086950728,0.005,20
lognorm,500,0.99,-8.839128445342972e-05,0.008636399141501465,0.005,21
lognorm,500,0.99,0.0015850207842431515,0.008779788408838361,0.005,22
lognorm,500,0.99,-0.0009595327674937843,0.005400990821018411,0.005,23
lognorm,500,0.99,0.000268122312117014,0.009493950692519283,0.005,24
lognorm,500,0.99,-0.0010527318432755077,0.007601902637079013,0.005,25
lognorm,500,0.99,-0.0005389370746915174,0.009914679535474062,0.005,26
lognorm,500,0.99,0.0017140685805158895,0.010721303233673566,0.005,27
lognorm,500,0.99,0.0014096225068687997,0.012448993612460903,0.005,28
lognorm,500,0.99,0.0015932600869626385,0.009738806935455542,0.005,29
lognorm,500,0.99,-0.0003550306942853611,0.008789746636745975,0.005,30
lognorm,500,0.99,0.00020841633436464378,0.011438531446504788,0.005,31
lognorm,500,0.99,0.0012930428691881408,0.010284961945402541,0.005,32
lognorm,500,0.99,0.0004296978035109901,0.009974901225480878,0.005,33
lognorm,500,0.99,0.0006549829362701168,0.009787242448605554,0.005,34
lognorm,500,0.99,-0.0009451536066445368,0.007805167885397838,0.005,35
lognorm,500,0.99,0.001205757205506323,0.010245193949546668,0.005,36
lognorm,500,0.99,0.0013585257850734452,0.011010240442977366,0.005,37
lognorm,500,0.99,-0.0012790602441580482,0.008667490061263793,0.005,38
lognorm,500,0.99,0.0011375541923547444,0.00876838076172919,0.005,39
lognorm,500,0.99,-0.002495931269978174,0.010761551421038646,0.005,40
lognorm,500,0.99,0.0003889081547147573,0.009957195665810053,0.005,41
lognorm,500,0.99,0.0006402181754195206,0.010306707691497337,0.005,42
lognorm,500,0.99,0.00021284217178688255,0.007914586243172797,0.005,43
lognorm,500,0.99,-0.00014437385126046668,0.011660473714732325,0.005,44
lognorm,500,0.99,0.0004177390113326185,0.008543392630117075,0.005,45
lognorm,500,0.99,0.0001593961665800628,0.009059338766083544,0.005,46
lognorm,500,0.99,-0.0003399622943120295,0.008617052350476424,0.005,47
