Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.9,-6.149229014592855e-05,6.149229014592854e-05,0.005,0
gamma,500,0.9,0.003637181686164371,0.005559358198351827,0.005,1
gamma,500,0.9,0.005013428058878217,0.005662249788986368,0.005,2
gamma,500,0.9,0.002309513245886668,0.005265894339657244,0.005,3
gamma,500,0.9,0.004077768394896662,0.005125726472438033,0.005,4
gamma,500,0.9,-0.0001031441035462372,0.00010314410354623719,0.005,5
gamma,500,0.9,-7.668471246739407e-05,7.668471246739407e-05,0.005,6
gamma,500,0.9,0.003332789454725279,0.006954063080423265,0.005,7
gamma,500,0.9,0.004317375469992201,0.006600154980432035,0.005,8
gamma,500,0.9,0.0,0.0,0.005,9
gamma,500,0.9,0.0030140338037301867,0.006102405108736196,0.005,10
gamma,500,0.9,0.004872411788118723,0.006311181206857844,0.005,11
gamma,500,0.9,0.004314847922651222,0.005096288415425754,0.005,12
gamma,500,0.9,0.004293211235705604,0.009606384566366487,0.005,13
gamma,500,0.9,0.003998346029206798,0.00498979866340096,0.005,14
gamma,500,0.9,0.00457258028233174,0.005787236198164132,0.005,15
gamma,500,0.9,0.00416797919268357,0.005405155490219149,0.005,16
gamma,500,0.9,0.004713140934804656,0.005599555833562314,0.005,17
gamma,500,0.9,0.00498490699333323,0.006451631198672194,0.005,18
gamma,500,0.9,-0.00019964388075259122,0.0001996438807525912,0.005,19
gamma,500,0.9,0.005137292911837614,0.0057787534083171355,0.005,20
gamma,500,0.9,-0.00027206625018387455,0.00027206625018387455,0.005,21
gamma,500,0.9,0.005348122115098991,0.005924033167922599,0.005,22
gamma,500,0.9,0.0036830476865891528,0.006560814774076954,0.005,23
gamma,500,0.9,0.0034998486328502534,0.007058128878598042,0.005,24
gamma,500,0.9,0.005218425620884836,0.006023793198582459,0.005,25
gamma,500,0.9,0.003772403033672401,0.005868531781827785,0.005,26
gamma,500,0.9,0.003270282011376125,0.0061592210612315835,0.005,27
gamma,500,0.9,0.0033737117638012377,0.007058037020691378,0.005,28
gamma,500,0.9,-0.00010713833087515574,0.00010713833087515573,0.005,29
gamma,500,0.9,0.001030103173163808,0.002119755625646459,0.005,30
gamma,500,0.9,0.004280210234549006,0.005227938435263838,0.005,31
gamma,500,0.9,0.004011595852440197,0.004904454560157246,0.005,32
gamma,500,0.9,0.003418638083267991,0.006875146015778992,0.005,33
gamma,500,0.9,0.004467897305183375,0.00597337091507919,0.005,34
gamma,500,0.9,0.004843439781359519,0.005481434952171912,0.005,35
gamma,500,0.9,0.003221566205417542,0.005600721239852992,0.005,36
gamma,500,0.9,0.003681150982390135,0.004586369682380742,0.005,37
gamma,500,0.9,0.0043251357843497335,0.005174395594624702,0.005,38
gamma,500,0.9,0.002418185533843724,0.005006091657170536,0.005,39
gamma,500,0.9,0.004408062096830194,0.0052648146811783494,0.005,40
gamma,500,0.9,0.0031257354699941605,0.006836887473457087,0.005,41
gamma,500,0.9,0.00455282158635624,0.005436640741313031,0.005,42
gamma,500,0.9,0.003993608506080501,0.008869537001688554,0.005,43
gamma,500,0.9,-0.0002221994796915057,0.0002221994796915057,0.005,44
gamma,500,0.9,0.004121238226264769,0.004946283014798545,0.005,45
gamma,500,0.9,0.0026943830134822143,0.005849023344561342,0.005,46
gamma,500,0.9,0.005040054790745704,0.005656692996695238,0.005,47
gamma,500,0.9,-5.621389641472551e-05,5.621389641472551e-05,0.005,48
gamma,500,0.9,0.003620005973479038,0.0059072494179351585,0.005,49
gamma,500,0.9,0.0023979463974539085,0.005039284825997635,0.005,50
gamma,500,0.9,0.004420288791576571,0.005255515346649759,0.005,51
gamma,500,0.9,0.0024900672585299343,0.005141599357261841,0.005,52
gamma,500,0.9,0.004654728706295539,0.005478281158888324,0.005,53
gamma,500,0.9,0.005837673356269498,0.006395253614023847,0.005,54
gamma,500,0.9,0.004909043867159416,0.007277944063890983,0.005,55
gamma,500,0.9,0.0032133648685013696,0.005118730203084319,0.005,56
gamma,500,0.9,0.0035525769551938806,0.008250354127241689,0.005,57
gamma,500,0.9,0.004499681599973447,0.005029898121881982,0.005,58
gamma,500,0.9,0.003154337337077378,0.0065480018607915035,0.005,59
gamma,500,0.9,0.005190616797136691,0.005860996491720004,0.005,60
gamma,500,0.9,0.0045738519944647175,0.005639993486955834,0.005,61
gamma,500,0.9,0.002131136775896613,0.004458411082624075,0.005,62
gamma,500,0.9,0.003938016082146464,0.006713693386156778,0.005,63
gamma,500,0.9,0.0025939890334536636,0.005380665293293623,0.005,64
gamma,500,0.9,0.0047226862977800856,0.005576334928675721,0.005,65
gamma,500,0.9,0.004086846887083473,0.0048945033683301725,0.005,66
gamma,500,0.9,-0.0008234428801876185,0.0008234428801876183,0.005,67
gamma,500,0.9,-4.1108014791045545e-05,4.110801479104554e-05,0.005,68
gamma,500,0.9,0.00406132491508434,0.005126306823239103,0.005,69
gamma,500,0.9,0.0026543826637195006,0.005266682352758423,0.005,70
gamma,500,0.9,0.0003024691891724277,0.000670362696139381,0.005,71
gamma,500,0.9,-5.6649820824924184e-05,5.6649820824924184e-05,0.005,72
gamma,500,0.9,0.002060014326053481,0.004559764397140559,0.005,73
gamma,500,0.9,0.003785250551753399,0.004709307079572473,0.005,74
gamma,500,0.9,0.004591447269574557,0.00525789011171066,0.005,75
gamma,500,0.9,0.0031503093130186358,0.005608834485052278,0.005,76
gamma,500,0.9,0.004192668917970326,0.005077418200862867,0.005,77
gamma,500,0.9,0.0027693107980463674,0.0053454857044869415,0.005,78
gamma,500,0.9,0.004787586858802217,0.006029074247117783,0.005,79
gamma,500,0.9,0.0043777417569964465,0.005127116201547675,0.005,80
gamma,500,0.9,0.0037893575638840646,0.008027024012399233,0.005,81
gamma,500,0.9,0.0,0.0,0.005,82
gamma,500,0.9,0.0033029775763441607,0.004555330351845862,0.005,83
gamma,500,0.9,0.002783127598939451,0.005019820588261324,0.005,84
gamma,500,0.9,0.0036045145645734627,0.00546725192712814,0.005,85
gamma,500,0.9,0.0046392645537085735,0.0056695447537078785,0.005,86
gamma,500,0.9,0.004464958291748019,0.005318127195578807,0.005,87
gamma,500,0.9,0.003444860227229758,0.005563003014106017,0.005,88
gamma,500,0.9,0.00394812402053551,0.005027940724024876,0.005,89
gamma,500,0.9,0.003594416283387945,0.006596239305151905,0.005,90
gamma,500,0.9,0.0033109317672447565,0.005457614617866438,0.005,91
gamma,500,0.9,0.0038913688210397653,0.006147784639256208,0.005,92
gamma,500,0.9,0.004485576329726063,0.006183665219362973,0.005,93
gamma,500,0.9,0.004186950216367484,0.0051996512693019935,0.005,94
gamma,500,0.9,0.003527354504256189,0.005941759950193089,0.005,95
gamma,500,0.9,0.0044054157034347395,0.005294545436223247,0.005,96
gamma,500,0.9,-0.00035816221262054604,0.000358162212620546,0.005,97
gamma,500,0.9,0.005393671896601262,0.00597717938395249,0.005,98
gamma,500,0.9,0.005648540430886252,0.0061916818054984,0.005,99
gamma,500,0.9,0.0036582921258360326,0.004684548949790562,0.005,100
gamma,500,0.9,0.004623243104619507,0.005356737708635245,0.005,101
gamma,500,0.9,-9.337470578755959e-05,9.337470578755957e-05,0.005,102
gamma,500,0.9,0.003927676699939485,0.005020759619955965,0.005,103
gamma,500,0.9,0.0048778387406809105,0.005573882001142769,0.005,104
gamma,500,0.9,0.0027111444981952467,0.005400867159754209,0.005,105
gamma,500,0.9,-4.483252731453778e-05,4.483252731453777e-05,0.005,106
gamma,500,0.9,0.0020859322892141847,0.004601789958422621,0.005,107
gamma,500,0.9,-0.00025272001657830243,0.0002527200165783024,0.005,108
gamma,500,0.9,-0.0005606553108349039,0.0005606553108349039,0.005,109
gamma,500,0.9,0.004263604580525521,0.006254669740651991,0.005,110
gamma,500,0.9,0.0006717268973178733,0.0014561239364346578,0.005,111
gamma,500,0.9,0.0051914213580151304,0.0058564206428847465,0.005,112
gamma,500,0.9,0.005018018250367955,0.005639506470188435,0.005,113
gamma,500,0.9,0.0027141993856691434,0.005079320801293635,0.005,114
gamma,500,0.9,0.003598511564288696,0.004669455634059852,0.005,115
gamma,500,0.9,0.003597148609099731,0.005772159920531852,0.005,116
gamma,500,0.9,0.0048344929448785766,0.006915241990838157,0.005,117
gamma,500,0.9,-0.0002729369336423756,0.00027293693364237553,0.005,118
gamma,500,0.9,0.004993272022497847,0.0055993264439173785,0.005,119
gamma,500,0.9,-0.00012838200456495176,0.00012838200456495173,0.005,120
gamma,500,0.9,0.002744657590520935,0.005393076290842403,0.005,121
gamma,500,0.9,-8.267970777324486e-05,8.267970777324485e-05,0.005,122
gamma,500,0.9,0.0045753113078284965,0.005898874238587863,0.005,123
gamma,500,0.9,0.004360061601636836,0.0051010160424804635,0.005,124
gamma,500,0.9,0.0028720530669001545,0.00631857129682373,0.005,125
gamma,500,0.9,0.0035909014600162457,0.0077192729083644844,0.005,126
gamma,500,0.9,0.003233183959142279,0.005643708768822324,0.005,127
gamma,500,0.9,0.004178915308207598,0.00576276910186423,0.005,128
gamma,500,0.9,-0.00026059066795085315,0.0002605906679508531,0.005,129
gamma,500,0.9,0.004295152157380262,0.005465365966621223,0.005,130
gamma,500,0.9,0.004376292023870232,0.006625896022630402,0.005,131
gamma,500,0.9,-6.49220755928315e-05,6.492207559283149e-05,0.005,132
gamma,500,0.9,0.003968320732771295,0.005013312075480366,0.005,133
gamma,500,0.9,0.004590889802217019,0.005306834891377582,0.005,134
gamma,500,0.9,0.003310447128766214,0.007217139447611024,0.005,135
gamma,500,0.9,0.004883716809466993,0.0054786340263674625,0.005,136
gamma,500,0.9,0.004604197084277506,0.005323847808762827,0.005,137
