Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.95,0.004735095856994527,0.006306120507723247,0.005,0
gamma,500,0.95,0.004915716489139832,0.005884029132672921,0.005,1
gamma,500,0.95,0.005047781415359442,0.006040669886487998,0.005,2
gamma,500,0.95,0.004262444844761372,0.005638044316045913,0.005,3
gamma,500,0.95,0.002978593573513411,0.00568183235153209,0.005,4
gamma,500,0.95,0.005079435753740936,0.006436180506342,0.005,5
gamma,500,0.95,0.004431756349556363,0.006526370727173538,0.005,6
gamma,500,0.95,0.003815089262730585,0.006385164196443392,0.005,7
gamma,500,0.95,0.00409421293562007,0.006789243472294075,0.005,8
gamma,500,0.95,0.004861737262707777,0.006568669769901505,0.005,9
gamma,500,0.95,0.0025954014127164498,0.005540437953282818,0.005,10
gamma,500,0.95,0.00435435535773707,0.005352260791178984,0.005,11
gamma,500,0.95,0.0042994174686845875,0.005133956902850064,0.005,12
gamma,500,0.95,0.002688591435481746,0.005542498449818421,0.005,13
gamma,500,0.95,0.0028193657947899907,0.00536679718443575,0.005,14
gamma,500,0.95,0.004977833231905563,0.005751337858809674,0.005,15
gamma,500,0.95,0.0050734355181324235,0.007349482356599073,0.005,16
gamma,500,0.95,0.0034549555749857756,0.005342373432955682,0.005,17
gamma,500,0.95,0.006304055111994512,0.007653544090011049,0.005,18
gamma,500,0.95,0.005185466576636721,0.00607038864837591,0.005,19
gamma,500,0.95,0.003967730049521351,0.006491872226458766,0.005,20
gamma,500,0.95,0.00480757406683097,0.006009527051628406,0.005,21
gamma,500,0.95,0.004931820617851372,0.006499257950460531,0.005,22
gamma,500,0.95,0.0039238992199547434,0.0061718667188276205,0.005,23
gamma,500,0.95,0.0036673135147227234,0.006245903202488447,0.005,24
gamma,500,0.95,0.005815923557219848,0.007005593718203997,0.005,25
gamma,500,0.95,0.0031419826527083966,0.005993642224439094,0.005,26
gamma,500,0.95,0.004432938556768486,0.0062712587567781836,0.005,27
gamma,500,0.95,0.0036886844751091367,0.0057862188020809365,0.005,28
gamma,500,0.95,0.005373195092799721,0.006125242901018338,0.005,29
gamma,500,0.95,0.004251217316455394,0.006222331939778819,0.005,30
gamma,500,0.95,0.0029922680682072282,0.005419167134725237,0.005,31
gamma,500,0.95,0.003095268715437933,0.00534390628430078,0.005,32
gamma,500,0.95,0.0038872835087209656,0.0056032718390145,0.005,33
gamma,500,0.95,0.0043864834046930595,0.005403394422785089,0.005,34
gamma,500,0.95,0.004573750639928672,0.005922262741114577,0.005,35
gamma,500,0.95,0.0045373282873525074,0.006491426738975123,0.005,36
gamma,500,0.95,0.0041154500197471975,0.0049510713484970225,0.005,37
gamma,500,0.95,0.0032598870014375237,0.005573794768327664,0.005,38
gamma,500,0.95,0.0027505276551466136,0.005021110598416538,0.005,39
gamma,500,0.95,0.0028766670322155435,0.005029269425073001,0.005,40
gamma,500,0.95,0.0035143824344049833,0.005402254992693084,0.005,41
gamma,500,0.95,0.0037198612976279536,0.004610710079770798,0.005,42
gamma,500,0.95,0.0033873667460021456,0.006275888248907354,0.005,43
gamma,500,0.95,0.005608647590951113,0.007162329735712087,0.005,44
gamma,500,0.95,0.0032494483785173232,0.00436337318466059,0.005,45
gamma,500,0.95,0.004588951717832788,0.0055852095675100535,0.005,46
gamma,500,0.95,0.004253473932100533,0.005801715549931507,0.005,47
gamma,500,0.95,0.005160316064227802,0.006017836050090503,0.005,48
gamma,500,0.95,0.004499178528987808,0.0060573732188360764,0.005,49
gamma,500,0.95,0.0035858841550426594,0.005956005203444458,0.005,50
