Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,500,0.99,-0.00045324361380816644,0.007937270813071676,0.005,0
pareto,500,0.99,0.0004984405836237845,0.009340078103106612,0.005,1
pareto,500,0.99,-0.0007355534334285499,0.0071824811779408,0.005,2
pareto,500,0.99,-0.00029473563723783245,0.006212604123217907,0.005,3
pareto,500,0.99,0.0011279508731696763,0.008344250981605001,0.005,4
pareto,500,0.99,0.00021532173437617785,0.007432070099216876,0.005,5
pareto,500,0.99,0.0004252406107073927,0.009340378689738539,0.005,6
pareto,500,0.99,-0.0034845628033533583,0.00983529725809428,0.005,7
pareto,500,0.99,0.00016497954177524695,0.007410053302809291,0.005,8
pareto,500,0.99,0.0015198963936417437,0.010041780558662375,0.005,9
pareto,500,0.99,-0.00012218554252402708,0.006253841695885704,0.005,10
pareto,500,0.99,0.0011403547734370582,0.008155569101495279,0.005,11
pareto,500,0.99,0.001351536505718513,0.009280643762170943,0.005,12
pareto,500,0.99,0.0010074283617106173,0.008128016989101513,0.005,13
pareto,500,0.99,0.001675395513726553,0.010527992993946344,0.005,14
pareto,500,0.99,3.521874284509861e-05,0.007678038110332677,0.005,15
pareto,500,0.99,0.0008697718940779073,0.009413331686787041,0.005,16
pareto,500,0.99,-0.00013276022202313796,0.008441535062686436,0.005,17
pareto,500,0.99,0.000690255290127074,0.007413597985500296,0.005,18
pareto,500,0.99,0.0014474136193000562,0.010459923339181557,0.005,19
pareto,500,0.99,0.00022731782477759444,0.008883950370068118,0.005,20
pareto,500,0.99,0.000898623615632246,0.007862975754984002,0.005,21
pareto,500,0.99,0.00042240435080057525,0.008681668292751533,0.005,22
pareto,500,0.99,0.0020594131327651816,0.009611786375431865,0.005,23
pareto,500,0.99,0.0019876549431961077,0.01084147629991989,0.005,24
pareto,500,0.99,-0.0013018920872206157,0.006871513936849308,0.005,25
pareto,500,0.99,0.0023463844248102377,0.010221903768903216,0.005,26
pareto,500,0.99,-0.0008267107942049712,0.005605141976146721,0.005,27
pareto,500,0.99,0.0026704049892437823,0.011984630501051138,0.005,28
pareto,500,0.99,0.0016313754608757712,0.010729204764975155,0.005,29
pareto,500,0.99,0.0006721127883884906,0.010352875779354703,0.005,30
pareto,500,0.99,0.0029213309748633972,0.01132353107414297,0.005,31
pareto,500,0.99,-0.0013944376323656333,0.010290092542553166,0.005,32
pareto,500,0.99,0.0003255754212522443,0.008281376760410112,0.005,33
pareto,500,0.99,-6.615050617071184e-07,0.008129686665091918,0.005,34
pareto,500,0.99,0.0023339458889676265,0.011231304269712104,0.005,35
pareto,500,0.99,-0.0008049790374166583,0.006478179704081104,0.005,36
pareto,500,0.99,0.00090951703378286,0.007329732988827583,0.005,37
pareto,500,0.99,0.0007692382473244859,0.008950326112231056,0.005,38
pareto,500,0.99,-4.10271435970931e-05,0.006926216495207584,0.005,39
pareto,500,0.99,0.0014538196878710178,0.009202490609691473,0.005,40
pareto,500,0.99,0.0014294229060214097,0.009682179060085633,0.005,41
pareto,500,0.99,0.0012348056951920097,0.009803119538017276,0.005,42
pareto,500,0.99,0.0005230938349948929,0.008285467391399326,0.005,43
pareto,500,0.99,-0.0008510720229257008,0.007706672264129351,0.005,44
pareto,500,0.99,0.001069708623680085,0.008205401209309798,0.005,45
pareto,500,0.99,-0.0002565673051033892,0.008077106506240923,0.005,46
pareto,500,0.99,0.001769168559975537,0.010671904807022643,0.005,47
pareto,500,0.99,-0.00012961653869231372,0.006180625156607442,0.005,48
pareto,500,0.99,0.0005496886362741575,0.009585808284416426,0.005,49
pareto,500,0.99,0.0011387697259955631,0.009266176508949715,0.005,50
pareto,500,0.99,0.00041653941360092137,0.007634349162177968,0.005,51
pareto,500,0.99,-0.0034513672394752854,0.012714575739373932,0.005,52
pareto,500,0.99,0.0005583226148528961,0.008629166914048012,0.005,53
pareto,500,0.99,-0.00019954246792880845,0.007652249012768381,0.005,54
pareto,500,0.99,0.0022261539627396083,0.01075038423072281,0.005,55
pareto,500,0.99,-0.00042053595381998603,0.010971581534195541,0.005,56
pareto,500,0.99,8.459052645920993e-05,0.00793578982287127,0.005,57
pareto,500,0.99,0.00014823972431119895,0.007015279413025758,0.005,58
pareto,500,0.99,0.0026329511616698274,0.01104817402975968,0.005,59
pareto,500,0.99,0.0008037795272121482,0.010032223932237749,0.005,60
pareto,500,0.99,0.000498331648110412,0.008336084659320406,0.005,61
pareto,500,0.99,0.0011108571537029154,0.011942239126045586,0.005,62
pareto,500,0.99,0.0012986721502461253,0.009595019391931973,0.005,63
pareto,500,0.99,0.0007300995878608197,0.008320412608799274,0.005,64
pareto,500,0.99,0.0019242593404816914,0.009950450516458827,0.005,65
pareto,500,0.99,0.00017119776740990677,0.00766966278832971,0.005,66
pareto,500,0.99,0.0006268715717147196,0.00961333027327888,0.005,67
pareto,500,0.99,-8.722982320566939e-05,0.01017699938264929,0.005,68
pareto,500,0.99,0.00039234795703303396,0.008340676021025496,0.005,69
pareto,500,0.99,0.0016307068487459318,0.009895207375064998,0.005,70
pareto,500,0.99,0.0005934866479551142,0.008099353373477182,0.005,71
pareto,500,0.99,0.0009542102684593905,0.008941443584979614,0.005,72
pareto,500,0.99,-0.0009948058977959837,0.005930229107285837,0.005,73
pareto,500,0.99,9.22682898723951e-05,0.006532958371988974,0.005,74
pareto,500,0.99,-0.000692790880176273,0.009732276911823828,0.005,75
pareto,500,0.99,-0.0006350490955058382,0.008438801640039482,0.005,76
pareto,500,0.99,0.0011350110266535797,0.008815647675143609,0.005,77
pareto,500,0.99,0.0011725710010525748,0.008966813089231302,0.005,78
pareto,500,0.99,-0.00013624005687267046,0.008515835363231689,0.005,79
pareto,500,0.99,0.0018630264225656305,0.009403351488787274,0.005,80
pareto,500,0.99,0.0016461448673103075,0.009385874684439228,0.005,81
pareto,500,0.99,0.00026452379774435247,0.008273644741666987,0.005,82
pareto,500,0.99,0.001493247288354982,0.009463309787120839,0.005,83
pareto,500,0.99,0.000645473868508702,0.008347585662182076,0.005,84
pareto,500,0.99,0.0,0.0,0.005,85
pareto,500,0.99,0.0009287323210677373,0.007755744091839013,0.005,86
pareto,500,0.99,0.0017233674997288125,0.010551942449007144,0.005,87
pareto,500,0.99,0.0009069263251194322,0.008321869828327208,0.005,88
pareto,500,0.99,0.0006532950352586038,0.009621901677589638,0.005,89
pareto,500,0.99,-0.0002085455510106405,0.007371118491257953,0.005,90
pareto,500,0.99,-0.00031535206250405973,0.007061804352954888,0.005,91
pareto,500,0.99,-0.0003004238700570465,0.00896195850408997,0.005,92
pareto,500,0.99,-0.0019632919514863153,0.008116856097436995,0.005,93
pareto,500,0.99,-0.0001056665179496817,0.007074452525841341,0.005,94
pareto,500,0.99,0.0007657806624435958,0.008561769158725422,0.005,95
pareto,500,0.99,0.0008492660135121756,0.009372792828649123,0.005,96
pareto,500,0.99,0.0025258712955409696,0.011569571375943838,0.005,97
pareto,500,0.99,-0.0013073141335921419,0.0069249295705165964,0.005,98
pareto,500,0.99,-0.00028914502609640193,0.010287471567830303,0.005,99
pareto,500,0.99,0.0006910199906828299,0.009002378080439008,0.005,100
pareto,500,0.99,9.67071584381355e-05,0.009390796679331582,0.005,101
