Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,500,0.9,0.0057128569908334054,0.006415957937142061,0.005,0
lognorm,500,0.9,0.004558807945764236,0.005323094313792575,0.005,1
lognorm,500,0.9,0.005102205484743204,0.00581713748133828,0.005,2
lognorm,500,0.9,0.004155995910099464,0.004971418729142278,0.005,3
lognorm,500,0.9,0.005189995502523249,0.005763306936668923,0.005,4
lognorm,500,0.9,0.004692036831824429,0.009337413148917227,0.005,5
lognorm,500,0.9,0.004979273981572014,0.0059545169322228865,0.005,6
lognorm,500,0.9,0.00401900557574102,0.0066548584577597394,0.005,7
lognorm,500,0.9,0.004980170626055491,0.005729277041787462,0.005,8
lognorm,500,0.9,0.00351603530857931,0.005618042476286709,0.005,9
lognorm,500,0.9,0.0033845395305453292,0.007382860663853222,0.005,10
lognorm,500,0.9,0.004609734283322928,0.005553350303438659,0.005,11
lognorm,500,0.9,0.004716793483272292,0.005319192983748934,0.005,12
lognorm,500,0.9,0.004722793415508352,0.00532510358085885,0.005,13
lognorm,500,0.9,0.004980451207382749,0.00567997294213257,0.005,14
lognorm,500,0.9,0.003907044471654386,0.005428129242528134,0.005,15
lognorm,500,0.9,0.0036056197395902575,0.0046912181070355025,0.005,16
lognorm,500,0.9,0.004878750728989776,0.0055326028051423575,0.005,17
lognorm,500,0.9,0.005002471093258553,0.005771285286875255,0.005,18
lognorm,500,0.9,0.004654697694798356,0.0053581816695874055,0.005,19
lognorm,500,0.9,0.005225121091555688,0.006048394758834716,0.005,20
lognorm,500,0.9,0.004877339786696443,0.005542328829694112,0.005,21
lognorm,500,0.9,0.004943799574109193,0.007554738241385978,0.005,22
lognorm,500,0.9,0.004172092599397397,0.004782446186782325,0.005,23
lognorm,500,0.9,0.0050026141287818375,0.00573545793217685,0.005,24
lognorm,500,0.9,0.0051508230829674095,0.00590454209654908,0.005,25
lognorm,500,0.9,0.005101275083348696,0.0058005246909991265,0.005,26
lognorm,500,0.9,-0.00012210749521841978,0.00012210749521841975,0.005,27
lognorm,500,0.9,0.0053289323019612865,0.005950903336677618,0.005,28
lognorm,500,0.9,0.0035884193080159108,0.00442063017229485,0.005,29
lognorm,500,0.9,0.005154651720502576,0.005783413709343202,0.005,30
lognorm,500,0.9,-0.0015007596946516781,0.001500759694651678,0.005,31
lognorm,500,0.9,0.004624914586011067,0.005454152967138049,0.005,32
lognorm,500,0.9,0.0029870325175543407,0.006190935263493704,0.005,33
lognorm,500,0.9,0.004567577034988931,0.005342612425285395,0.005,34
lognorm,500,0.9,0.003463923810404369,0.004654603143782102,0.005,35
lognorm,500,0.9,0.00470084694358551,0.005422366940371784,0.005,36
lognorm,500,0.9,0.004620902761136801,0.00606157050417858,0.005,37
lognorm,500,0.9,0.004830712562253384,0.0061244829955229875,0.005,38
lognorm,500,0.9,0.005581264117201658,0.007461526465401399,0.005,39
lognorm,500,0.9,0.003805424268526663,0.005677947403289512,0.005,40
lognorm,500,0.9,0.004810362163417646,0.005597787152134037,0.005,41
lognorm,500,0.9,0.004877891433224,0.005618044901282362,0.005,42
lognorm,500,0.9,0.004199950137819062,0.005023871392142373,0.005,43
lognorm,500,0.9,0.004503689963412412,0.005299171711531891,0.005,44
lognorm,500,0.9,0.0035812643791625714,0.004534722208357314,0.005,45
lognorm,500,0.9,0.002505141181880674,0.00512143582734951,0.005,46
lognorm,500,0.9,0.004827183281188486,0.005551682794864445,0.005,47
lognorm,500,0.9,0.004255926682416957,0.005094932786625704,0.005,48
lognorm,500,0.9,0.005090359004249291,0.005832626603263918,0.005,49
lognorm,500,0.9,0.004791913718768573,0.008585711993335948,0.005,50
lognorm,500,0.9,0.003222766649919206,0.005150798483836615,0.005,51
lognorm,500,0.9,0.004964216786771917,0.0061487786199350926,0.005,52
lognorm,500,0.9,0.005591410592971848,0.006503973009532431,0.005,53
lognorm,500,0.9,0.002736520644670416,0.005040928041594487,0.005,54
lognorm,500,0.9,0.004923387695427746,0.005957805196522419,0.005,55
lognorm,500,0.9,0.005857823641528473,0.006621918587087587,0.005,56
lognorm,500,0.9,0.003954252524755519,0.005445669690492257,0.005,57
lognorm,500,0.9,0.005244132077933062,0.006131942335513211,0.005,58
lognorm,500,0.9,0.005107121682876623,0.005773194171570483,0.005,59
lognorm,500,0.9,0.004060959966831374,0.005937489306530497,0.005,60
lognorm,500,0.9,0.004774655449030192,0.005432046654745496,0.005,61
lognorm,500,0.9,0.0052046505242865,0.005810059550055666,0.005,62
lognorm,500,0.9,0.004664147197396151,0.005490410946507648,0.005,63
lognorm,500,0.9,0.004887188626329456,0.0057337432971644765,0.005,64
lognorm,500,0.9,0.005090728992389659,0.005823547102067104,0.005,65
lognorm,500,0.9,0.004151935884251262,0.004762939420869727,0.005,66
lognorm,500,0.9,0.006100399962444503,0.006762951311306843,0.005,67
lognorm,500,0.9,0.003974126144068778,0.007122283899980017,0.005,68
lognorm,500,0.9,0.0052038740483221595,0.0060553847157719986,0.005,69
lognorm,500,0.9,0.005909653398926633,0.006509645502827011,0.005,70
lognorm,500,0.9,0.005643858187449973,0.006350425043866169,0.005,71
lognorm,500,0.9,0.005126931803560415,0.006469083002127345,0.005,72
lognorm,500,0.9,0.004519535355769332,0.005270142950791129,0.005,73
lognorm,500,0.9,0.0046355628176079555,0.005402408536276992,0.005,74
lognorm,500,0.9,0.0036894128019214103,0.004425004017959171,0.005,75
lognorm,500,0.9,0.005042968455903926,0.0060340319148582105,0.005,76
lognorm,500,0.9,0.00510921067232215,0.006075115598175598,0.005,77
lognorm,500,0.9,0.003996160735163524,0.004870386469933375,0.005,78
lognorm,500,0.9,0.005350237718841593,0.007332316198555617,0.005,79
lognorm,500,0.9,0.0029433342371507983,0.004952447061483396,0.005,80
lognorm,500,0.9,0.0032780250481226703,0.005396764622005734,0.005,81
lognorm,500,0.9,0.004846439893600851,0.005634610526829283,0.005,82
lognorm,500,0.9,0.00431383481172032,0.004926675715006104,0.005,83
lognorm,500,0.9,0.004683510035685016,0.005455227804913136,0.005,84
lognorm,500,0.9,0.0032127828169375813,0.005467298199538585,0.005,85
lognorm,500,0.9,0.004007812018936092,0.005119548528428427,0.005,86
lognorm,500,0.9,0.0044040014865915494,0.005096185762645816,0.005,87
lognorm,500,0.9,0.0049650783645374405,0.005650618521709179,0.005,88
lognorm,500,0.9,0.004306982189940683,0.0049902615845855555,0.005,89
lognorm,500,0.9,0.004966157710026182,0.009404467142523623,0.005,90
lognorm,500,0.9,0.004451131173948199,0.005209752560233921,0.005,91
lognorm,500,0.9,0.0044067098146858006,0.005312828510682062,0.005,92
lognorm,500,0.9,0.005092910869142687,0.005821712018573917,0.005,93
lognorm,500,0.9,0.004220919664600856,0.005219475046387953,0.005,94
lognorm,500,0.9,0.005190644541137476,0.005935773429725606,0.005,95
lognorm,500,0.9,0.004872528783964577,0.0062971589071866875,0.005,96
lognorm,500,0.9,0.005447809037686209,0.006331220097835134,0.005,97
lognorm,500,0.9,0.004614103888521311,0.005317866438713762,0.005,98
lognorm,500,0.9,0.0059647998998054,0.013056020452530296,0.005,99
lognorm,500,0.9,0.0059040956797713155,0.006648251235184871,0.005,100
lognorm,500,0.9,0.005139247691527672,0.00583136528312938,0.005,101
lognorm,500,0.9,0.004914989116269361,0.005627137353747237,0.005,102
lognorm,500,0.9,0.003106336879702274,0.004852058223191541,0.005,103
lognorm,500,0.9,0.0048639983522586,0.005581294309657086,0.005,104
lognorm,500,0.9,0.005210991309263697,0.009764508950580569,0.005,105
lognorm,500,0.9,0.004027510107987808,0.004999897080195902,0.005,106
lognorm,500,0.9,0.004094385911334787,0.009911558275359047,0.005,107
lognorm,500,0.9,0.0039344970385373395,0.0047504622599929824,0.005,108
lognorm,500,0.9,0.0032160054323903866,0.004985392368908333,0.005,109
lognorm,500,0.9,0.0055727541346805185,0.006224145184625109,0.005,110
lognorm,500,0.9,0.00431997518375046,0.004945994332204969,0.005,111
lognorm,500,0.9,0.004616465277684945,0.00552548238354246,0.005,112
lognorm,500,0.9,0.0038292593774805505,0.0049545159556367456,0.005,113
lognorm,500,0.9,0.004963478381883309,0.005633322114136505,0.005,114
lognorm,500,0.9,0.004936591391164848,0.005596957198507719,0.005,115
lognorm,500,0.9,0.004685300333786084,0.005492800140769922,0.005,116
lognorm,500,0.9,0.003739683383735074,0.005307917564963314,0.005,117
lognorm,500,0.9,0.005087579322322465,0.005997342941148608,0.005,118
lognorm,500,0.9,0.004143591652289796,0.00615572041619467,0.005,119
lognorm,500,0.9,0.004483500321002726,0.005522489370676119,0.005,120
lognorm,500,0.9,0.004778519541571163,0.005486391436635758,0.005,121
lognorm,500,0.9,-0.0008938947088611774,0.0008938947088611772,0.005,122
lognorm,500,0.9,0.00421034340025438,0.006034349502533214,0.005,123
lognorm,500,0.9,0.003875386172106043,0.005465678199733767,0.005,124
lognorm,500,0.9,0.004533137497590592,0.005922623551831121,0.005,125
lognorm,500,0.9,0.004658249844321438,0.006880059811087078,0.005,126
lognorm,500,0.9,0.005575906455454072,0.006235305808706636,0.005,127
lognorm,500,0.9,0.0053199059859777315,0.00651005388542291,0.005,128
lognorm,500,0.9,0.005024517202006414,0.0056637728483136624,0.005,129
lognorm,500,0.9,0.004838859253275587,0.005499085109878557,0.005,130
lognorm,500,0.9,0.004327314837340239,0.005144854577116073,0.005,131
lognorm,500,0.9,0.0037558135102063023,0.004926443947967224,0.005,132
lognorm,500,0.9,0.004670223111108956,0.006423927127083495,0.005,133
lognorm,500,0.9,0.004909508859336938,0.005530007409063406,0.005,134
lognorm,500,0.9,0.0047309473385926445,0.005448452939286329,0.005,135
lognorm,500,0.9,0.0038953897310327647,0.004898265881241796,0.005,136
lognorm,500,0.9,0.004497196476223445,0.005310990776834378,0.005,137
lognorm,500,0.9,0.004187003024825655,0.0049191405126863905,0.005,138
lognorm,500,0.9,0.004922116943616268,0.005867087755516222,0.005,139
lognorm,500,0.9,0.003809381597977318,0.00491706336823093,0.005,140
lognorm,500,0.9,0.004231332702149656,0.0050187814580152975,0.005,141
lognorm,500,0.9,0.003770414961864269,0.004831483992390223,0.005,142
lognorm,500,0.9,0.0038733277581476117,0.005925221168234012,0.005,143
lognorm,500,0.9,0.004357947808711314,0.00519795483604833,0.005,144
lognorm,500,0.9,0.004829222613124118,0.006031996221812491,0.005,145
lognorm,500,0.9,0.005169793621668416,0.0061910369969971945,0.005,146
lognorm,500,0.9,0.004108205990637138,0.005139276120380095,0.005,147
lognorm,500,0.9,0.0038613297758271874,0.006151265392437796,0.005,148
lognorm,500,0.9,0.004387758869727272,0.005246594769599227,0.005,149
lognorm,500,0.9,0.0036727731091806327,0.005842666035532016,0.005,150
lognorm,500,0.9,0.004106116244908354,0.005066603635291967,0.005,151
lognorm,500,0.9,0.004226043824255592,0.006183769607238786,0.005,152
lognorm,500,0.9,0.0050605317173518785,0.0057521529053819,0.005,153
lognorm,500,0.9,0.004548984789771021,0.005319343561209029,0.005,154
lognorm,500,0.9,0.005282326120568499,0.005938376606078706,0.005,155
lognorm,500,0.9,0.004807894652750512,0.005549291253912337,0.005,156
lognorm,500,0.9,0.004383487908376292,0.00544664377573524,0.005,157
lognorm,500,0.9,0.004520338556080519,0.005216437384587715,0.005,158
lognorm,500,0.9,0.0049090752346628,0.005702835604889368,0.005,159
lognorm,500,0.9,0.005017980817424546,0.005620021297280862,0.005,160
lognorm,500,0.9,0.0044609771924052554,0.0054235699681540106,0.005,161
lognorm,500,0.9,0.004498552208044716,0.005400239757935072,0.005,162
lognorm,500,0.9,0.004769904355847522,0.005551102522055014,0.005,163
lognorm,500,0.9,0.0050723993987581,0.00570795691170448,0.005,164
lognorm,500,0.9,0.0046482791545024715,0.006040384690553449,0.005,165
lognorm,500,0.9,0.0031878558156266568,0.00555145004937062,0.005,166
lognorm,500,0.9,0.004942555610283145,0.0055904411442802135,0.005,167
lognorm,500,0.9,0.004784384003677958,0.005567482356849665,0.005,168
lognorm,500,0.9,0.004884660583804509,0.005575862609957383,0.005,169
lognorm,500,0.9,0.004991683638635004,0.005652729473670462,0.005,170
lognorm,500,0.9,0.005061237934012248,0.0058361596725097055,0.005,171
lognorm,500,0.9,0.004107441916182759,0.0063829594398227,0.005,172
lognorm,500,0.9,0.0049590306695055705,0.005820525272468471,0.005,173
lognorm,500,0.9,0.004158722078685567,0.005011396872390034,0.005,174
lognorm,500,0.9,0.005721611919127652,0.0063811193124551,0.005,175
lognorm,500,0.9,0.004020955086454187,0.004786439694364102,0.005,176
lognorm,500,0.9,0.0054248639569800285,0.006151152436483147,0.005,177
lognorm,500,0.9,0.0048792129819822715,0.005619788608932114,0.005,178
lognorm,500,0.9,0.0027475903837579268,0.004847975806946627,0.005,179
lognorm,500,0.9,0.0045889072029511035,0.005390258598010782,0.005,180
lognorm,500,0.9,0.00517549174319909,0.005906285562072192,0.005,181
lognorm,500,0.9,0.004153613781766901,0.0049021476174347,0.005,182
lognorm,500,0.9,0.0055178867493157055,0.006495697576715695,0.005,183
lognorm,500,0.9,0.00414197900197528,0.00486994140719564,0.005,184
lognorm,500,0.9,0.004770114191979158,0.005557270430974863,0.005,185
lognorm,500,0.9,0.005204193302769185,0.005865935712390782,0.005,186
lognorm,500,0.9,0.00432048113327967,0.005203729025132927,0.005,187
lognorm,500,0.9,0.004386833602229327,0.005269726135741323,0.005,188
lognorm,500,0.9,0.004622353514778358,0.005389155463392694,0.005,189
lognorm,500,0.9,0.00413094624034546,0.004740396403413014,0.005,190
lognorm,500,0.9,0.004694830042406835,0.005392788680323997,0.005,191
lognorm,500,0.9,0.004201979920038143,0.005074032287840657,0.005,192
lognorm,500,0.9,0.004740727720224098,0.005516437978955037,0.005,193
lognorm,500,0.9,0.00428859489871064,0.005363527463520264,0.005,194
lognorm,500,0.9,0.0044083267132833375,0.005156780558001125,0.005,195
lognorm,500,0.9,0.0038498122350266767,0.00488792539693511,0.005,196
lognorm,500,0.9,0.004785730033256595,0.005627880589130251,0.005,197
lognorm,500,0.9,0.0047449029106844945,0.00569254476323244,0.005,198
lognorm,500,0.9,0.005238243380839103,0.0059392883235833815,0.005,199
