Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.95,0.004254908789965959,0.006531522658320467,0.005,0
gamma,500,0.95,0.004335087285667854,0.006058309031453824,0.005,1
gamma,500,0.95,0.004499224768262678,0.006621334614267883,0.005,2
gamma,500,0.95,0.003708895066534387,0.005803264090394818,0.005,3
gamma,500,0.95,0.003272748256486665,0.005418695577730013,0.005,4
gamma,500,0.95,0.0041734648034969235,0.006718223502333221,0.005,5
gamma,500,0.95,0.004311416986986994,0.006516952205369611,0.005,6
gamma,500,0.95,0.0038342724574758043,0.006230982643782886,0.005,7
gamma,500,0.95,0.004079662388029265,0.006458533313361006,0.005,8
gamma,500,0.95,0.004128831980183944,0.006526076591015323,0.005,9
gamma,500,0.95,0.0030643131088990967,0.005054170368928524,0.005,10
gamma,500,0.95,0.0036957438273390545,0.005858451698717353,0.005,11
gamma,500,0.95,0.003685673951848536,0.005544398769901029,0.005,12
gamma,500,0.95,0.0031803154786192063,0.005210382772799623,0.005,13
gamma,500,0.95,0.0031571982760782813,0.0049759741958260596,0.005,14
gamma,500,0.95,0.004244327273647224,0.006228021314219648,0.005,15
gamma,500,0.95,0.0054648989678957975,0.006653025459245365,0.005,16
gamma,500,0.95,0.003219493044767319,0.005397513697437007,0.005,17
gamma,500,0.95,0.005667680972806375,0.0077533410312786615,0.005,18
gamma,500,0.95,0.004637945580446711,0.006725656061211452,0.005,19
gamma,500,0.95,0.004073578774961407,0.006354140587266542,0.005,20
gamma,500,0.95,0.004336021297417877,0.006312607909350006,0.005,21
gamma,500,0.95,0.005040231751650772,0.006540773166745034,0.005,22
gamma,500,0.95,0.0040124210142910574,0.006074652884959974,0.005,23
gamma,500,0.95,0.003816557557009854,0.005955806764145327,0.005,24
gamma,500,0.95,0.005347551433062956,0.007311219677033231,0.005,25
gamma,500,0.95,0.003406276071997297,0.005492670889473671,0.005,26
gamma,500,0.95,0.003786346734774116,0.006571816420050733,0.005,27
gamma,500,0.95,0.003663992497464195,0.006255520141155172,0.005,28
gamma,500,0.95,0.0045843624909296,0.00652671288569173,0.005,29
gamma,500,0.95,0.0038809395739085686,0.006082075858249055,0.005,30
gamma,500,0.95,0.003197981939236743,0.0050917601223228,0.005,31
gamma,500,0.95,0.0032987163782131437,0.0050693349346317505,0.005,32
gamma,500,0.95,0.00344923793153969,0.00579802708754279,0.005,33
gamma,500,0.95,0.003563031789880969,0.006119047306198471,0.005,34
gamma,500,0.95,0.004125416186697811,0.006318984851799002,0.005,35
gamma,500,0.95,0.004792605538082608,0.005910643333206551,0.005,36
gamma,500,0.95,0.003707736015266647,0.005287315078269264,0.005,37
gamma,500,0.95,0.003456477418634109,0.005333909874478609,0.005,38
gamma,500,0.95,0.002941800593794583,0.004738546002436409,0.005,39
gamma,500,0.95,0.0030011751216345865,0.00480948709280352,0.005,40
gamma,500,0.95,0.0033876704293582635,0.005476878610989093,0.005,41
gamma,500,0.95,0.0031451338963091784,0.005086600145805139,0.005,42
gamma,500,0.95,0.003624099805080574,0.006149825297586625,0.005,43
gamma,500,0.95,0.004946885127837279,0.007327257556669103,0.005,44
gamma,500,0.95,0.0028899984341880683,0.004682884121884659,0.005,45
gamma,500,0.95,0.00391897868017902,0.006072555928233008,0.005,46
gamma,500,0.95,0.003967540942705822,0.0061698229267766,0.005,47
gamma,500,0.95,0.004517966160816607,0.007020772687634261,0.005,48
gamma,500,0.95,0.004645347783605104,0.0058247812707480405,0.005,49
gamma,500,0.95,0.00364864652741127,0.00568213399624703,0.005,50
gamma,500,0.95,0.0036232391075225554,0.005872348899153705,0.005,51
gamma,500,0.95,0.0031156538061390747,0.0050244346296023845,0.005,52
gamma,500,0.95,0.003635620267040101,0.005645378339413916,0.005,53
gamma,500,0.95,0.004904622337987729,0.00797282590187164,0.005,54
gamma,500,0.95,0.005287858795962166,0.007193583877483838,0.005,55
