Data Source,nData,percentile,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,30,0,-0.005527527544721748,0.005962497366360923,0.005,0
gamma,30,0,0.0,0.0,0.005,1
gamma,30,0,-4.641166922143219e-05,4.660107978629437e-05,0.005,2
gamma,30,0,-0.016299554371944486,0.0358694365279569,0.005,3
gamma,30,0,0.0,0.0,0.005,4
gamma,30,0,0.0,0.0,0.005,5
gamma,30,0,0.0,0.0,0.005,6
gamma,30,0,0.0,0.0,0.005,7
gamma,30,0,-0.018392083632963158,0.04134626034106307,0.005,8
gamma,30,0,-0.02040757030055794,0.03229009404487212,0.005,9
gamma,30,0,-0.02003708466506063,0.02939038238975818,0.005,10
gamma,30,0,0.0,0.0,0.005,11
gamma,30,0,-0.001503124757517202,0.0016882295669019413,0.005,12
gamma,30,0,0.0,0.0,0.005,13
gamma,30,0,-0.007145813530751258,0.01967858991359011,0.005,14
gamma,30,0,-0.008341975349824551,0.019371457776981262,0.005,15
gamma,30,0,-0.013925852677271637,0.025744236514801722,0.005,16
gamma,30,0,0.0,0.0,0.005,17
gamma,30,0,-0.008981232933953774,0.019063713983650584,0.005,18
gamma,30,0,-0.007091128911140346,0.019304517490578602,0.005,19
gamma,30,0,-0.016472782093663187,0.02419431841233657,0.005,20
gamma,30,0,-0.037442728282861056,0.04615175431427234,0.005,21
gamma,30,0,-0.10396514304079651,0.12973176419166596,0.005,22
gamma,30,0,-0.03870339732599226,0.042066871572769705,0.005,23
gamma,30,0,-0.005720860613990073,0.012884493529288983,0.005,24
gamma,30,0,0.0,0.0,0.005,25
gamma,30,0,-0.006014398500063476,0.01517337377432007,0.005,26
gamma,30,0,-0.006872837866607968,0.007983587800777469,0.005,27
gamma,30,0,0.0,0.0,0.005,28
gamma,30,0,-0.03641940502746972,0.057509725643597645,0.005,29
gamma,30,0,-0.04161520376709778,0.07027256863839408,0.005,30
gamma,30,0,-0.024757498073669698,0.052915037053925265,0.005,31
gamma,30,0,-0.0005102690054304349,0.000529780344663604,0.005,32
gamma,30,0,0.0,0.0,0.005,33
gamma,30,0,0.0,0.0,0.005,34
gamma,30,0,-0.007536601397426343,0.01772903753978446,0.005,35
gamma,30,0,-0.005423443187271328,0.01604439360589922,0.005,36
gamma,30,0,0.0,0.0,0.005,37
gamma,30,0,-0.005970637896822119,0.015170932608640587,0.005,38
gamma,30,0,-0.012070558921812647,0.013846418949541984,0.005,39
gamma,30,0,-0.004760591345484078,0.01553836382479894,0.005,40
gamma,30,0,-0.007930783063190564,0.01757324196365603,0.005,41
gamma,30,0,-0.005534781666882521,0.016040303476721623,0.005,42
gamma,30,0,-0.02015686558134751,0.04396717404478916,0.005,43
gamma,30,0,-0.003712462567567939,0.005859571070504784,0.005,44
gamma,30,0,0.0,0.0,0.005,45
gamma,30,0,-0.013020350115620789,0.021906427255268476,0.005,46
gamma,30,0,-0.020745529820423922,0.028000088208702888,0.005,47
gamma,30,0,-0.01193120654255431,0.014958939779155767,0.005,48
gamma,30,0,-0.014827759281756793,0.021267535355877262,0.005,49
gamma,30,0,0.0,0.0,0.005,50
gamma,30,0,-0.00450149159544796,0.010021500877458511,0.005,51
gamma,30,0,-0.035976374913647996,0.04489771514310256,0.005,52
gamma,30,0,0.0,0.0,0.005,53
gamma,30,0,0.0,0.0,0.005,54
gamma,30,0,-0.028669408364551254,0.034126859078600885,0.005,55
gamma,30,0,0.0,0.0,0.005,56
