Data Source,nData,percentile,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,30,0,-0.004188611154324553,0.0046736887759097805,0.005,0
lognorm,30,0,-0.004972692638852363,0.00665870336776482,0.005,1
lognorm,30,0,-0.039961505884634735,0.05745645699480254,0.005,2
lognorm,30,0,-0.003747536017286401,0.004064986305102987,0.005,3
lognorm,30,0,0.0,0.0,0.005,4
lognorm,30,0,-0.03492493947914091,0.03932045789579153,0.005,5
lognorm,30,0,-0.012757236507063008,0.016155428049411533,0.005,6
lognorm,30,0,-0.01708014473154847,0.026017621315546496,0.005,7
lognorm,30,0,-0.014998790684672652,0.03021548664574523,0.005,8
lognorm,30,0,-0.0032350101142063327,0.0035697311805825077,0.005,9
lognorm,30,0,0.0,0.0,0.005,10
lognorm,30,0,0.0,0.0,0.005,11
lognorm,30,0,-0.03784340513102054,0.04214294702802671,0.005,12
lognorm,30,0,-0.00994861122257963,0.028020847310974595,0.005,13
lognorm,30,0,-0.002356395226119566,0.002453283100252618,0.005,14
lognorm,30,0,-0.014879298251194276,0.021533176430332594,0.005,15
lognorm,30,0,-0.005890109672392814,0.009317787259970409,0.005,16
lognorm,30,0,-0.016318216311541452,0.020283594365206617,0.005,17
lognorm,30,0,0.0,0.0,0.005,18
lognorm,30,0,-0.012621535337166215,0.01861311858288384,0.005,19
lognorm,30,0,-0.004669207351430646,0.004873344496939599,0.005,20
lognorm,30,0,-0.017132860215360826,0.02338213747972739,0.005,21
lognorm,30,0,0.010684144011790865,0.019357898530786403,0.005,22
lognorm,30,0,0.0,0.0,0.005,23
lognorm,30,0,-0.020867725411456026,0.03474725383597236,0.005,24
lognorm,30,0,0.0,0.0,0.005,25
lognorm,30,0,-0.02312738875151317,0.06760485782265399,0.005,26
lognorm,30,0,-0.016654009776980176,0.03314294035589101,0.005,27
lognorm,30,0,-0.006933323988777525,0.008973563714172288,0.005,28
lognorm,30,0,-0.009055922387257808,0.014236294865489628,0.005,29
lognorm,30,0,-0.008771232519592614,0.00931164549700309,0.005,30
lognorm,30,0,0.0,0.0,0.005,31
lognorm,30,0,-0.0058084420650835016,0.02715120398040696,0.005,32
lognorm,30,0,-0.007210373831427141,0.015678917087156394,0.005,33
lognorm,30,0,-0.012481438143047342,0.03583992169205075,0.005,34
lognorm,30,0,-0.0030621628713786266,0.026158722570485116,0.005,35
lognorm,30,0,-0.01274926695787502,0.023428653166261727,0.005,36
lognorm,30,0,-0.027747708748776856,0.03163419997047219,0.005,37
lognorm,30,0,-0.004160876323935635,0.005344958329782755,0.005,38
lognorm,30,0,-0.015550213199458773,0.03748809652711225,0.005,39
lognorm,30,0,-0.015415096247992961,0.024591406491568307,0.005,40
lognorm,30,0,-0.07307446480271299,0.09102362784506168,0.005,41
lognorm,30,0,-0.012678951395256467,0.030314796304706737,0.005,42
lognorm,30,0,0.0,0.0,0.005,43
lognorm,30,0,-0.04351339530238258,0.052418703414089066,0.005,44
lognorm,30,0,-0.0072847412839437695,0.052648536322651665,0.005,45
lognorm,30,0,-0.005554171443356996,0.010872220037262494,0.005,46
lognorm,30,0,0.0,0.0,0.005,47
lognorm,30,0,-0.007958818934766923,0.015592945168446793,0.005,48
lognorm,30,0,0.0,0.0,0.005,49
lognorm,30,0,0.0,0.0,0.005,50
lognorm,30,0,-8.57595676432407e-05,8.615125726690955e-05,0.005,51
lognorm,30,0,-0.007617469612999913,0.008636712200095714,0.005,52
lognorm,30,0,-0.021871348967150164,0.03455510418862322,0.005,53
