Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,30,0.9,0.0015189776775618908,0.016694740916926243,0.005,0
pareto,30,0.9,0.004700496640663233,0.008490349795853636,0.005,1
pareto,30,0.9,0.0036021541565850247,0.011139027896869803,0.005,2
pareto,30,0.9,0.001270184818553144,0.006847359582913004,0.005,3
pareto,30,0.9,0.00041204942298167513,0.03769822830345844,0.005,4
pareto,30,0.9,0.001306147678700409,0.009355259967838281,0.005,5
pareto,30,0.9,0.0029200070178359906,0.009953478140170492,0.005,6
pareto,30,0.9,0.0011153132122881826,0.006897668415951441,0.005,7
pareto,30,0.9,0.0021392589150126206,0.005614864596166502,0.005,8
pareto,30,0.9,0.004713659777201774,0.011404465329911906,0.005,9
pareto,30,0.9,0.0018647697955136433,0.007316481464870606,0.005,10
pareto,30,0.9,0.0015983544118677974,0.005766020880512457,0.005,11
pareto,30,0.9,0.001864557753384899,0.0060968856178458715,0.005,12
pareto,30,0.9,0.0020653100697091624,0.01804742558581635,0.005,13
pareto,30,0.9,0.0028179594406563704,0.008324067231518484,0.005,14
pareto,30,0.9,0.002110553548885985,0.006832897319748632,0.005,15
pareto,30,0.9,0.0015849753975345862,0.0075179770709722735,0.005,16
pareto,30,0.9,0.003465336981041345,0.009616937711317153,0.005,17
pareto,30,0.9,0.003468183662326663,0.00858946550391,0.005,18
pareto,30,0.9,0.0027340112425562777,0.007347874530793285,0.005,19
pareto,30,0.9,0.0022990473964581873,0.010602690719762498,0.005,20
pareto,30,0.9,0.002287417685962101,0.007716413110696952,0.005,21
pareto,30,0.9,0.004032679468919952,0.009102790433488545,0.005,22
pareto,30,0.9,0.0008690601495086048,0.004839519424777117,0.005,23
pareto,30,0.9,0.0015203808091091898,0.005385719237574849,0.005,24
pareto,30,0.9,0.0034038354987471655,0.010947087942368584,0.005,25
pareto,30,0.9,0.0009359274466716656,0.0041247816274889715,0.005,26
pareto,30,0.9,0.0028019134865144403,0.01076162620038259,0.005,27
pareto,30,0.9,0.0013612959977941097,0.012212592160451414,0.005,28
pareto,30,0.9,0.0025895337866195982,0.006423025613008041,0.005,29
pareto,30,0.9,0.0025243586987704716,0.007090926279595403,0.005,30
pareto,30,0.9,0.003120384817916655,0.01026733977701797,0.005,31
pareto,30,0.9,0.0017502060727509596,0.0071858039296039955,0.005,32
