Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,30,0.9,0.006558892880087755,0.010579294457931732,0.005,0
pareto,30,0.9,0.004884055278926608,0.01025121455090013,0.005,1
pareto,30,0.9,0.0060699486950137205,0.009897541878573743,0.005,2
pareto,30,0.9,0.00029790126940299063,0.005703157398664404,0.005,3
pareto,30,0.9,-0.0075507929566243455,0.014109710781488888,0.005,4
pareto,30,0.9,-0.001651497289773276,0.009669740279265308,0.005,5
pareto,30,0.9,0.0051723545745471725,0.008548972650159676,0.005,6
pareto,30,0.9,0.00029816444760797023,0.006189394967070676,0.005,7
pareto,30,0.9,0.0027656054900453302,0.006159123135013868,0.005,8
pareto,30,0.9,0.007775471128684104,0.011166471000385286,0.005,9
pareto,30,0.9,0.0007688825645280999,0.007484446000406203,0.005,10
pareto,30,0.9,0.0008029166450184912,0.005143712569733313,0.005,11
pareto,30,0.9,0.001509950144010129,0.0056420801343851764,0.005,12
pareto,30,0.9,0.0,0.0,0.005,13
pareto,30,0.9,0.003813473076775993,0.0075363835020880775,0.005,14
pareto,30,0.9,0.00171575466741693,0.006121880128020136,0.005,15
pareto,30,0.9,0.001862283506529169,0.006364142476077788,0.005,16
pareto,30,0.9,0.004410035979490384,0.009281791363401444,0.005,17
pareto,30,0.9,0.004665537487229958,0.008128759376739864,0.005,18
pareto,30,0.9,0.003791021761978341,0.007141638461287727,0.005,19
pareto,30,0.9,0.0032198481854943135,0.008291698113119727,0.005,20
pareto,30,0.9,0.0018707703093473966,0.00748653855927845,0.005,21
pareto,30,0.9,0.004221906075672723,0.01241709436250223,0.005,22
pareto,30,0.9,0.002022067167943549,0.005038443477450307,0.005,23
pareto,30,0.9,0.00040795318375621897,0.007377296014549035,0.005,24
pareto,30,0.9,0.005536871332456128,0.009693896666504687,0.005,25
pareto,30,0.9,0.0004014014968393482,0.0037388860201139655,0.005,26
pareto,30,0.9,0.003939862394003482,0.009437284173957504,0.005,27
pareto,30,0.9,0.00011698594419940267,0.009366372988267584,0.005,28
pareto,30,0.9,0.003584845681408418,0.006359433441333933,0.005,29
pareto,30,0.9,0.003502160064829652,0.006641320647180345,0.005,30
pareto,30,0.9,0.001048739452432536,0.01290620707642305,0.005,31
pareto,30,0.9,0.0008644959882841721,0.006896614874239607,0.005,32
pareto,30,0.9,0.004773580016889879,0.007317296847360334,0.005,33
pareto,30,0.9,0.0025490277822181767,0.011487913220829269,0.005,34
pareto,30,0.9,0.003800392827758843,0.008105448355521119,0.005,35
pareto,30,0.9,0.002813280904408858,0.006390529577891451,0.005,36
pareto,30,0.9,0.002403867464242045,0.00576803636749378,0.005,37
pareto,30,0.9,0.006987245258407088,0.017626544470912116,0.005,38
pareto,30,0.9,0.00453540037611521,0.00836921421169546,0.005,39
pareto,30,0.9,0.0011977428615288122,0.004340057975787879,0.005,40
pareto,30,0.9,0.004842676015924296,0.008084614142325397,0.005,41
pareto,30,0.9,0.003969037574426224,0.007150589431818298,0.005,42
pareto,30,0.9,0.0029558370692447837,0.008278588966613399,0.005,43
pareto,30,0.9,-0.0031244062545802338,0.012291197015519992,0.005,44
pareto,30,0.9,-0.003982096944758462,0.004480320475456745,0.005,45
pareto,30,0.9,-0.00043405809777788027,0.0046475441561569875,0.005,46
pareto,30,0.9,0.004923061237088721,0.00939020731085012,0.005,47
pareto,30,0.9,-0.0011046553394258405,0.009613688466470692,0.005,48
pareto,30,0.9,0.004701459177295234,0.00831875088792495,0.005,49
pareto,30,0.9,0.0012977697496034505,0.005127011764627265,0.005,50
pareto,30,0.9,0.0,0.0,0.005,51
pareto,30,0.9,0.0036150438275677726,0.006521394722190126,0.005,52
pareto,30,0.9,-0.004374282730231757,0.011853248110772915,0.005,53
pareto,30,0.9,-0.006900385939310496,0.016938376837361026,0.005,54
pareto,30,0.9,0.0038020840912860563,0.007671801222132213,0.005,55
pareto,30,0.9,0.0017712136246143884,0.007229530856368415,0.005,56
pareto,30,0.9,0.0025089512612205198,0.009682536180482171,0.005,57
pareto,30,0.9,0.0027299348210156355,0.00955183678403776,0.005,58
pareto,30,0.9,0.0034529777434182075,0.006750771378221372,0.005,59
pareto,30,0.9,0.0014564407383998357,0.008898746771456034,0.005,60
pareto,30,0.9,0.004985317950987882,0.008216449344660133,0.005,61
pareto,30,0.9,0.003925332060642481,0.012147396797667668,0.005,62
pareto,30,0.9,0.0006530849844239948,0.00722743639351427,0.005,63
