Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,30,0.9,0.0007144199383771921,0.007151261721352858,0.005,0
gamma,30,0.9,0.0027195260546053358,0.007552812027111478,0.005,1
gamma,30,0.9,0.0006474017817978053,0.0055755030182087365,0.005,2
gamma,30,0.9,0.0025159384092341454,0.006877324602173294,0.005,3
gamma,30,0.9,-0.0025230362943089086,0.004147697185889817,0.005,4
gamma,30,0.9,0.005771464354060507,0.01063723483312784,0.005,5
gamma,30,0.9,-0.001278868273527254,0.011499652448616716,0.005,6
gamma,30,0.9,0.006039032196154198,0.017090993357975374,0.005,7
gamma,30,0.9,0.002857422054320477,0.00603354518714636,0.005,8
gamma,30,0.9,0.0019884380634062715,0.007350054578810862,0.005,9
gamma,30,0.9,0.003083068275676573,0.009127777794050027,0.005,10
gamma,30,0.9,-0.0004570271004876753,0.0065276208133122435,0.005,11
gamma,30,0.9,-0.00041083398508091044,0.0023290650723149227,0.005,12
gamma,30,0.9,0.0010130019205445491,0.007171489933958235,0.005,13
gamma,30,0.9,0.003664265789471033,0.003664265789471033,0.005,14
gamma,30,0.9,-0.00017260489990084742,0.007126455796911685,0.005,15
gamma,30,0.9,0.001152210353536023,0.0058650200372522086,0.005,16
gamma,30,0.9,0.002243672039951849,0.009829477762116234,0.005,17
gamma,30,0.9,-0.0005785215892638992,0.011226083831923535,0.005,18
gamma,30,0.9,0.004256307299722462,0.004256307299722462,0.005,19
gamma,30,0.9,0.0030728473118133183,0.010035424110172712,0.005,20
gamma,30,0.9,0.003741835714572596,0.00811859464137516,0.005,21
gamma,30,0.9,0.004297521396897618,0.006770212355884098,0.005,22
gamma,30,0.9,0.004169585420130732,0.008101758943045354,0.005,23
gamma,30,0.9,0.0023128994264187686,0.0023128994264187686,0.005,24
gamma,30,0.9,0.002522321177226764,0.009417437128962406,0.005,25
gamma,30,0.9,0.0029142548811795345,0.0029142548811795345,0.005,26
gamma,30,0.9,0.00027848765514532856,0.005259946373581339,0.005,27
gamma,30,0.9,0.0,0.0,0.005,28
gamma,30,0.9,0.0035991718340390405,0.008160354032278638,0.005,29
gamma,30,0.9,0.004771945991985756,0.008007019452708257,0.005,30
gamma,30,0.9,0.0050537737538959935,0.007672550503644796,0.005,31
gamma,30,0.9,0.00012705445228737393,0.006198807021966162,0.005,32
gamma,30,0.9,0.0,0.0,0.005,33
gamma,30,0.9,0.0024988035658667453,0.008812344323896501,0.005,34
gamma,30,0.9,0.00043757610169786607,0.005901109284496377,0.005,35
gamma,30,0.9,0.002980810441899262,0.002980810441899262,0.005,36
gamma,30,0.9,-0.0008240016458645047,0.00172377652469581,0.005,37
gamma,30,0.9,0.0026227926208685307,0.0026227926208685307,0.005,38
gamma,30,0.9,0.0010160892980754076,0.006939598660429623,0.005,39
gamma,30,0.9,0.002697654949506978,0.002697654949506978,0.005,40
gamma,30,0.9,0.0032104692860020823,0.0032104692860020823,0.005,41
gamma,30,0.9,0.002532715664965135,0.002532715664965135,0.005,42
gamma,30,0.9,0.006278413045265989,0.009469750749539959,0.005,43
gamma,30,0.9,0.0007874121033902616,0.0007874121033902616,0.005,44
gamma,30,0.9,0.0,0.0,0.005,45
gamma,30,0.9,0.001237144749193218,0.006657488969502547,0.005,46
gamma,30,0.9,0.0020842565596351113,0.007499220467051825,0.005,47
gamma,30,0.9,0.0009509756325759702,0.007018534343342617,0.005,48
gamma,30,0.9,0.0013298824646379315,0.007322590033039689,0.005,49
gamma,30,0.9,0.0011017977377335668,0.008234142052096128,0.005,50
gamma,30,0.9,0.0015622544901150006,0.0015622544901150006,0.005,51
gamma,30,0.9,0.0016137404917359703,0.005879966479847721,0.005,52
gamma,30,0.9,0.0,0.0,0.005,53
gamma,30,0.9,0.002237702137113301,0.009646075881554235,0.005,54
gamma,30,0.9,0.0037600186502763453,0.009532829278145215,0.005,55
gamma,30,0.9,0.0,0.0,0.005,56
gamma,30,0.9,0.0024738787736573453,0.0024738787736573453,0.005,57
gamma,30,0.9,0.0025449678834135615,0.011378417871974824,0.005,58
gamma,30,0.9,0.004029212376772778,0.007372820530063649,0.005,59
gamma,30,0.9,0.00416588368381928,0.007494529511662848,0.005,60
gamma,30,0.9,-0.0022270049576250685,0.008667493403489483,0.005,61
gamma,30,0.9,0.002693307495184338,0.007509298528172744,0.005,62
gamma,30,0.9,0.0025239885021762533,0.0051922527629036505,0.005,63
gamma,30,0.9,0.00350091546333033,0.009795218847867097,0.005,64
gamma,30,0.9,0.0023826571716353538,0.008430104925715427,0.005,65
gamma,30,0.9,0.0008098377667081054,0.0067421305767858585,0.005,66
gamma,30,0.9,0.004318679078044274,0.008707692547732083,0.005,67
gamma,30,0.9,0.0036969880336772554,0.005912196525777782,0.005,68
gamma,30,0.9,0.003831967913518396,0.007362192797027424,0.005,69
gamma,30,0.9,0.0029734664207753236,0.009578133286810158,0.005,70
gamma,30,0.9,0.0011752013379943917,0.006464220865767423,0.005,71
gamma,30,0.9,0.0020472551557770705,0.008568485198074353,0.005,72
gamma,30,0.9,-0.001368085962839094,0.00782347413108363,0.005,73
gamma,30,0.9,0.0,0.0,0.005,74
gamma,30,0.9,0.0003325840018057796,0.006546457910072711,0.005,75
gamma,30,0.9,0.002079432037528661,0.002079432037528661,0.005,76
gamma,30,0.9,-5.4298395952733994e-05,0.005515485604208059,0.005,77
gamma,30,0.9,0.0012165174670778186,0.006819151066866045,0.005,78
gamma,30,0.9,0.004162690054451003,0.008947218846003845,0.005,79
gamma,30,0.9,0.0012266619141656167,0.007883770885212938,0.005,80
gamma,30,0.9,0.0014139264062825578,0.007314938299872458,0.005,81
gamma,30,0.9,0.0015812680767529567,0.006836711159948489,0.005,82
gamma,30,0.9,0.0017478992972793277,0.007424496040451272,0.005,83
gamma,30,0.9,1.5223367439360767e-05,0.005716932967884277,0.005,84
gamma,30,0.9,-0.0003231747209579717,0.006567294164042126,0.005,85
gamma,30,0.9,0.00010805646566509758,0.006479370104665281,0.005,86
gamma,30,0.9,0.0005011015315370523,0.010235487695228316,0.005,87
gamma,30,0.9,0.0007818576144319662,0.007552459750409547,0.005,88
gamma,30,0.9,0.004119729002517275,0.008426542130837017,0.005,89
gamma,30,0.9,0.0007938910127358126,0.0070136642549934874,0.005,90
gamma,30,0.9,0.0,0.0,0.005,91
gamma,30,0.9,0.0002919337836962754,0.005113058198161974,0.005,92
gamma,30,0.9,-0.0005713214390737855,0.0019953613021605754,0.005,93
gamma,30,0.9,0.001324840717578853,0.007212476877606589,0.005,94
gamma,30,0.9,-0.00014656813467312237,0.010637082262330792,0.005,95
gamma,30,0.9,0.002692511426822773,0.006467331960285177,0.005,96
gamma,30,0.9,0.00020412427440528007,0.004401809165065164,0.005,97
gamma,30,0.9,0.005572230923117485,0.009331481690452868,0.005,98
gamma,30,0.9,0.0,0.0,0.005,99
gamma,30,0.9,0.0007635310365916456,0.01455326965393803,0.005,100
gamma,30,0.9,0.002172793584831546,0.008400657741625841,0.005,101
gamma,30,0.9,0.0005825216780683123,0.005744903389610182,0.005,102
gamma,30,0.9,-0.00014561039332817473,0.0035698052806224373,0.005,103
gamma,30,0.9,0.0,0.0,0.005,104
gamma,30,0.9,0.0025647457443184864,0.0025647457443184864,0.005,105
gamma,30,0.9,0.0021006963821711376,0.008086473834153354,0.005,106
gamma,30,0.9,0.0007751862706151757,0.006908300873280997,0.005,107
gamma,30,0.9,0.0035294908816630114,0.006586899089634124,0.005,108
gamma,30,0.9,0.0008366465413793781,0.010459158161735309,0.005,109
gamma,30,0.9,9.86696351292258e-05,0.004284210840370148,0.005,110
gamma,30,0.9,-0.0032686562942199973,0.012537012566564342,0.005,111
gamma,30,0.9,0.004552304187608306,0.008113291334269876,0.005,112
gamma,30,0.9,0.0016921370389081265,0.007055176636055639,0.005,113
gamma,30,0.9,0.003040277730396393,0.008711848441381861,0.005,114
gamma,30,0.9,0.0,0.0,0.005,115
gamma,30,0.9,-0.004926055319021553,0.004926055319021553,0.005,116
gamma,30,0.9,0.005648433672297856,0.011292505112466896,0.005,117
gamma,30,0.9,0.003167469070811778,0.006448568372923558,0.005,118
gamma,30,0.9,0.00045085228677320643,0.005509835179326983,0.005,119
gamma,30,0.9,-7.698097052814338e-05,0.007296238095957978,0.005,120
gamma,30,0.9,0.0008256539159401014,0.007853252202119068,0.005,121
gamma,30,0.9,0.002337019581453699,0.002337019581453699,0.005,122
gamma,30,0.9,-0.0001415817274102095,0.004684659948102378,0.005,123
gamma,30,0.9,-0.0010670639173018248,0.009865541503210062,0.005,124
gamma,30,0.9,0.0003579102564049287,0.0048498919267650565,0.005,125
gamma,30,0.9,-0.00032445103138394505,0.004872063051744814,0.005,126
gamma,30,0.9,0.005297425581353134,0.013027813956705782,0.005,127
gamma,30,0.9,-0.005230923481131421,0.00523092348113142,0.005,128
gamma,30,0.9,0.0,0.0,0.005,129
gamma,30,0.9,0.005612467356781608,0.008804101971178707,0.005,130
gamma,30,0.9,0.0018067391236957636,0.007632057544275575,0.005,131
gamma,30,0.9,0.00024237416345855578,0.0038648405229115865,0.005,132
gamma,30,0.9,0.0,0.0,0.005,133
gamma,30,0.9,-0.0032589963718368136,0.0032589963718368136,0.005,134
gamma,30,0.9,0.0018736497484027983,0.005302231489801452,0.005,135
gamma,30,0.9,0.0024672807618282082,0.008267392573231476,0.005,136
gamma,30,0.9,0.0031294680817303133,0.0031294680817303133,0.005,137
gamma,30,0.9,0.00471224726865193,0.007166998191495718,0.005,138
gamma,30,0.9,0.001767375474115291,0.005684062611860863,0.005,139
gamma,30,0.9,0.0037451934196501887,0.006633262475373304,0.005,140
gamma,30,0.9,0.0018640144782655554,0.007919679293864243,0.005,141
gamma,30,0.9,0.0,0.0,0.005,142
gamma,30,0.9,2.5002359821191603e-05,0.004061483879504357,0.005,143
gamma,30,0.9,0.006382730323072951,0.0094361503044859,0.005,144
gamma,30,0.9,0.001606310313640982,0.007716598298242047,0.005,145
gamma,30,0.9,0.002706433408289371,0.00850479706476217,0.005,146
gamma,30,0.9,0.0004935079222928359,0.005547501670938025,0.005,147
gamma,30,0.9,0.004179035404995513,0.008523807727171406,0.005,148
gamma,30,0.9,0.0,0.0,0.005,149
gamma,30,0.9,0.0003861363577943715,0.008255442267555249,0.005,150
gamma,30,0.9,0.0006738679559087614,0.0059045057978669175,0.005,151
gamma,30,0.9,0.0028027967702798796,0.006184985060577956,0.005,152
gamma,30,0.9,0.0037728308665945062,0.009769135169569839,0.005,153
gamma,30,0.9,0.0025417720916243907,0.0025417720916243907,0.005,154
gamma,30,0.9,0.0027517995491146557,0.007495384201351762,0.005,155
gamma,30,0.9,-0.00018742588681167988,0.0035531783058920714,0.005,156
gamma,30,0.9,0.0013169982302121972,0.007970153200726127,0.005,157
gamma,30,0.9,0.002368433993789264,0.006052439802987393,0.005,158
gamma,30,0.9,0.0023991643135882544,0.007351312858361357,0.005,159
gamma,30,0.9,0.0023895137581519807,0.0077354385836198684,0.005,160
gamma,30,0.9,0.00016195569518496664,0.0054964712260878856,0.005,161
gamma,30,0.9,0.0006335653482731379,0.00560146164560594,0.005,162
gamma,30,0.9,0.003916197914964996,0.013130800690929274,0.005,163
gamma,30,0.9,0.002667723762060864,0.007452846772563904,0.005,164
gamma,30,0.9,0.0019357410117645142,0.00850568173967176,0.005,165
gamma,30,0.9,0.0020371728209842284,0.007420657168306139,0.005,166
gamma,30,0.9,-0.0006195867575254588,0.0018122515471388546,0.005,167
gamma,30,0.9,-0.0005920864611629876,0.013853459632950867,0.005,168
gamma,30,0.9,0.0007649410917589021,0.009466246019053732,0.005,169
gamma,30,0.9,0.0005179808469509484,0.005961889188594206,0.005,170
gamma,30,0.9,-0.0002595562281379686,0.01076053430886651,0.005,171
