Data Source,nData,thres_pct,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,30,0.6,0.0006969361352741288,0.00510714095159033,0.005,0
lognorm,30,0.6,0.00011573881905548867,0.003940642702592829,0.005,1
lognorm,30,0.6,0.006439950872589995,0.01085141084527553,0.005,2
lognorm,30,0.6,0.0006138476154154749,0.0052651405382911085,0.005,3
lognorm,30,0.6,0.0015070430054523688,0.006449933920101174,0.005,4
lognorm,30,0.6,0.005092536692542948,0.009247698505665883,0.005,5
lognorm,30,0.6,0.0022271780210000093,0.0070844887147266155,0.005,6
lognorm,30,0.6,0.0016207209048769934,0.005522300978588175,0.005,7
lognorm,30,0.6,0.002627921354513063,0.005993636844767001,0.005,8
lognorm,30,0.6,0.0009594098394956063,0.007209696397799967,0.005,9
lognorm,30,0.6,0.0015041727466439615,0.008089966855375871,0.005,10
lognorm,30,0.6,0.006918102787148462,0.012047766038042192,0.005,11
lognorm,30,0.6,0.0039736280104259334,0.0072305398658168004,0.005,12
lognorm,30,0.6,0.002507261349690282,0.005893623563013202,0.005,13
lognorm,30,0.6,0.003731122368490114,0.008157342467807228,0.005,14
lognorm,30,0.6,0.0012596398737779514,0.006415832232678116,0.005,15
lognorm,30,0.6,1.5122699938441288e-05,0.0030255954754170376,0.005,16
lognorm,30,0.6,0.0037962829661912336,0.008187771153902627,0.005,17
lognorm,30,0.6,0.005373166588715162,0.009908151132147467,0.005,18
lognorm,30,0.6,0.0013403010523207028,0.005771048504810652,0.005,19
lognorm,30,0.6,0.0051115831929490875,0.009437832383906443,0.005,20
lognorm,30,0.6,0.00209458388402628,0.006519813695903034,0.005,21
lognorm,30,0.6,0.0005484575404330006,0.0029876715001787547,0.005,22
lognorm,30,0.6,0.004088236787699229,0.006636835362278566,0.005,23
lognorm,30,0.6,0.004128579712936453,0.007200605687277212,0.005,24
lognorm,30,0.6,0.0010194848640407538,0.012848774121933072,0.005,25
lognorm,30,0.6,0.004277172226285631,0.006845959471685552,0.005,26
lognorm,30,0.6,0.003507236971186245,0.006710826961613192,0.005,27
lognorm,30,0.6,0.0001732006921924434,0.0035478102910547074,0.005,28
lognorm,30,0.6,0.0006235425609709467,0.005083421331068374,0.005,29
lognorm,30,0.6,0.0055973358690960765,0.009315104703119097,0.005,30
lognorm,30,0.6,0.0006561081483901888,0.008888189558886875,0.005,31
lognorm,30,0.6,0.0018990338592363987,0.005104436413761438,0.005,32
lognorm,30,0.6,0.0006776224478625359,0.004525465647028377,0.005,33
lognorm,30,0.6,0.004599132174938347,0.007972686690812166,0.005,34
lognorm,30,0.6,0.0028356589479040743,0.006812998544368714,0.005,35
lognorm,30,0.6,0.0017880567275815552,0.005721520292924177,0.005,36
lognorm,30,0.6,0.0017292833114892936,0.006693174626562363,0.005,37
lognorm,30,0.6,0.00031763295997402354,0.005618129962959317,0.005,38
lognorm,30,0.6,0.004387412003593383,0.007621752911542563,0.005,39
lognorm,30,0.6,0.0021679906890625044,0.006262471977691348,0.005,40
lognorm,30,0.6,0.004732953904373449,0.007751452125676659,0.005,41
lognorm,30,0.6,0.0023552382892257032,0.006232436640723047,0.005,42
lognorm,30,0.6,0.0009742074383727317,0.014006322088918256,0.005,43
lognorm,30,0.6,0.0024987028338963047,0.005931306244908281,0.005,44
lognorm,30,0.6,0.004531502961852496,0.00792953192704236,0.005,45
lognorm,30,0.6,0.00018435165586083713,0.0030946221028191243,0.005,46
lognorm,30,0.6,0.005233013366356287,0.010047823723770836,0.005,47
lognorm,30,0.6,0.0014411021392907843,0.006120231837151592,0.005,48
lognorm,30,0.6,2.1842438331898253e-05,0.007981397271429592,0.005,49
lognorm,30,0.6,0.00024010777856458,0.006182902797434654,0.005,50
lognorm,30,0.6,0.004377547727083897,0.007505054142977459,0.005,51
lognorm,30,0.6,0.0022619052197851096,0.007896954791453446,0.005,52
lognorm,30,0.6,0.0023525723661489643,0.005690490102463079,0.005,53
