Data Source,nData,thres_pct,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,30,0.6,0.0018136413296431899,0.009532787278558708,0.005,0
gamma,30,0.6,0.00697451282374475,0.006974512928584132,0.005,1
gamma,30,0.6,0.0009397348733851896,0.008782261289602689,0.005,2
gamma,30,0.6,0.002825435365143969,0.006336966639569042,0.005,3
gamma,30,0.6,0.00029943766128930354,0.004843628342456042,0.005,4
gamma,30,0.6,0.006168640799126424,0.00971923857479795,0.005,5
gamma,30,0.6,0.008360297533754047,0.008360297536957929,0.005,6
gamma,30,0.6,0.00965795528366269,0.01566202675059669,0.005,7
gamma,30,0.6,0.002317846672801993,0.006361774952322996,0.005,8
gamma,30,0.6,0.002550822418631782,0.007415087767818074,0.005,9
gamma,30,0.6,0.0034624383468307763,0.008362893160064555,0.005,10
gamma,30,0.6,0.0,0.0,0.005,11
gamma,30,0.6,3.2769788163022895e-06,0.0030127488142049244,0.005,12
gamma,30,0.6,0.002207434450262591,0.009102716040347713,0.005,13
gamma,30,0.6,0.0018972679169928953,0.0062417863333886995,0.005,14
gamma,30,0.6,0.001813267470658353,0.006267182755447066,0.005,15
gamma,30,0.6,0.0018098194137139423,0.006113709108053378,0.005,16
gamma,30,0.6,0.0036644968750414453,0.008917071032794422,0.005,17
gamma,30,0.6,0.003540232350945605,0.008215451282738507,0.005,18
gamma,30,0.6,0.0021834414735026897,0.007000170902460701,0.005,19
gamma,30,0.6,0.0037523008382659207,0.008848896242579719,0.005,20
gamma,30,0.6,0.0030509886247966026,0.007386588807481287,0.005,21
gamma,30,0.6,0.0025900680075127804,0.006727808219228405,0.005,22
gamma,30,0.6,0.003929993960696133,0.0077016704075163036,0.005,23
gamma,30,0.6,0.0010881545097259694,0.005521994548102916,0.005,24
gamma,30,0.6,0.003373097253344959,0.009619544070273767,0.005,25
gamma,30,0.6,0.0013909124796782192,0.006115111556106445,0.005,26
gamma,30,0.6,0.0010404115854639963,0.00987667698297039,0.005,27
gamma,30,0.6,0.013311557070075964,0.013311557099749294,0.005,28
gamma,30,0.6,0.0033904703710852416,0.008004726423403774,0.005,29
gamma,30,0.6,0.004549545306947378,0.007777296090697172,0.005,30
gamma,30,0.6,0.004537875875106856,0.007068878391161437,0.005,31
gamma,30,0.6,0.001137204039014339,0.01112460172358425,0.005,32
