Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.2812871324438697,0.022005323457741588,0.011488622931158914,0.34703771190295873,0.022301198906976794,0.011240167182916403
1,0.2812871324438697,0.01835108647288457,0.00984256049328708,0.2933567758966259,0.021353097272203664,0.010311833938552069
2,0.4959075067279598,0.01851011610300233,0.01685227830462217,0.3741074935339701,0.01851012464175571,0.016689955419427777
3,0.31462042002554585,0.021292515280340853,0.011108954162927745,0.3894542224385318,0.021722707921283717,0.011411043428460079
4,0.38128711332532245,0.025292017613469758,0.013286672313878494,0.5356206798757512,0.023501367890897375,0.013559450590345003
5,0.44795375336016224,0.03547905859911395,0.018763411799249435,0.5053400885704362,0.023519791286551472,0.015248914207707846
6,0.3146204200252251,0.028314442292214213,0.014920365756969088,0.5199281315644972,0.029567494154434167,0.016201611834751432
7,0.3479537533586931,0.025284448682661335,0.013329250540270302,0.5368046629830101,0.024681400461337547,0.013719225971887333
8,0.3146204200252251,0.03142547412620415,0.01657641152686046,0.5337736375084041,0.031420522675151254,0.0171827717573853
9,0.3479537533586931,0.022425685165696412,0.011882658983120268,0.3827500872507035,0.025315814610872817,0.013210076876290874
10,0.3146204200252251,0.025802556084815766,0.013519897937812362,0.38449773066594756,0.02437877861952279,0.013067324934077489
11,0.44795375336016224,0.022682481874230286,0.01988594459272199,0.38149443168326813,0.021778457833080373,0.01781221475725488
12,0.3479537533586931,0.02480255016254034,0.012983522081015214,0.5284255681693234,0.017482668315364346,0.011711985836219081
13,0.3479537533586931,0.03215659459333877,0.017284877455525,0.5197351138113082,0.028160176406835644,0.015591302346267964
14,0.38128708670462225,0.030291010094259347,0.015940000579648363,0.534489703391726,0.026261044523706555,0.01555546549795947
15,0.3479537533586931,0.025038161714686265,0.013109805121897583,0.5302130901727371,0.023003063661600775,0.012966083087695495
