Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.3146204200255507,0.025887403908596566,0.013712139007584069,0.3105702595267158,0.028251066950443646,0.014230447629542859
1,0.4812870866876394,0.024290121969645986,0.018406575012626956,0.4172046514701585,0.024290093600377184,0.017170942355520257
2,0.3479537533581947,0.03747390260534458,0.019933507160368073,0.4962249731942447,0.03209824603135869,0.018933595234167044
3,0.3146204200255507,0.02843344391469916,0.014984921203161566,0.49213591195794576,0.026957736161145843,0.014834033045453592
4,0.2812870866915538,0.02919606877661582,0.01569906594060483,0.1712879207598839,0.025298714541653673,0.012324543675706207
5,0.2812870866915538,0.03266252187954751,0.017440136407234526,0.3422874325289881,0.03502107036386706,0.017877110328967917
6,0.3812870871986582,0.03191869964611753,0.01694950366822008,0.491783175549592,0.02825308204660428,0.01665932900914498
7,0.2812870866915538,0.025363244891486458,0.013371951443399631,0.4305304869883453,0.026698106074156822,0.01419361001852248
8,0.41462042002728144,0.030510646221967783,0.01611384487058587,0.4437523650429037,0.023705680728253527,0.013064599127405995
9,0.3479537533581947,0.029425592960060813,0.020536223287418068,0.4962249697921638,0.02942559578961451,0.020568769924849968
10,0.2812870866915538,0.03134814480636728,0.016712230140292782,0.4962249549393145,0.03329146950308541,0.01798774367962346
11,0.3146204200255507,0.03121420070772552,0.016638187667194923,0.4751654805377057,0.030282638175435604,0.016312743164032084
12,0.3146204200255507,0.031201013889504553,0.016490117637411025,0.46875170922772014,0.027663280714244176,0.015008494242044063
13,0.2812870866915538,0.02999485663097506,0.015965099755849848,0.3407135715619391,0.03236274374370783,0.01701205708607647
14,0.3812870871986582,0.029382291128040815,0.021558822442663154,0.4397493863515849,0.029382292193582456,0.02055819705308111
15,0.3479537533605511,0.03162429100527715,0.016787748304884866,0.46282273613702213,0.029141856693022945,0.01597772614201102
16,0.3146204200255507,0.02647953172878448,0.013927375269204017,0.4886077264793007,0.025027978634547504,0.013957167378063441
17,0.2812870866915538,0.04193345280910038,0.02498122797563035,0.4957607719072095,0.041933422685410976,0.025486417764887675
18,0.3812870871986582,0.026110941452804345,0.020438048497541328,0.4411793230457385,0.026110942789967572,0.01927688748115301
19,0.3812870866963273,0.040702262617894384,0.022600739176560625,0.4627877885500655,0.03391043197479516,0.018986133451540942
20,0.38128708669472344,0.03321613794121947,0.017591431667461892,0.4945038545154991,0.026932971453244928,0.01611584863378798
21,0.2812870866915538,0.0318299354740469,0.01683335448846119,0.4940495090320801,0.030106910978559227,0.016502356646574574
