Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,7.657210341380903,5.21812041432974,4.797174836442105
1,7.188209928262848,4.908413351542938,4.501244812607652
2,8.612712000279892,5.962287365322954,5.532878824731172
3,7.4751109119937125,5.133761285456115,4.740465827051317
4,7.005083618151294,4.843820129733507,4.487299147290175
5,6.5525795518003,4.445599966352163,4.0510788218651905
6,8.328081610438453,5.702262610520746,5.256485331546848
7,6.510235624646091,4.465566683753703,4.112226589228605
8,6.726216421688633,4.6054215217498635,4.2398789728345845
9,6.859710747526188,4.6176309994413405,4.217710702291732
10,6.576049464600537,4.515094327583098,4.164239191750797
11,6.957236761776971,4.780806426763354,4.414652478808201
12,8.447310238752086,5.830955434114241,5.40367886292184
13,7.998021104679252,5.574333481720905,5.195701975171325
14,8.259340585947688,5.736218647580738,5.325818756452621
15,6.733012644987937,4.6117170150687095,4.246820752558511
16,7.500176534115563,5.087123364948445,4.649377764004717
17,6.728112294195077,4.627628126584311,4.273370782570707
18,6.926163070601337,4.620156255289722,4.187296912979253
19,8.21195995129014,5.643746004122969,5.198772222540079
20,7.608816938238336,5.236509381314708,4.841372607085474
21,6.743719986215209,4.59317769640166,4.212849757076743
22,6.680822756067542,4.519304367448313,4.136089133966435
23,9.785523155150424,6.800394622453184,6.328259345961175
24,7.613798954339806,5.234626498217603,4.836260263854811
25,6.947066944924801,4.732701868707094,4.348845261022208
26,6.663371398267996,4.557290174879933,4.1973659075255085
27,5.736292284419722,3.8703593625329944,3.5312328266460127
28,6.61269095243874,4.5560213463193895,4.211215695972344
29,8.272787458573204,5.654077223904833,5.209449353086761
30,7.222888979320185,4.943857264543296,4.502589148050953
31,7.517939881384978,5.19205415215303,4.797882935482338
32,9.518410448270602,6.614510173256393,6.156212266030002
33,6.454415392468247,4.43787341628425,4.092171729729399
34,5.821627960896726,3.9606766156155206,3.632378870851765
35,8.146436347071937,5.6031614463757835,5.181935032802338
36,7.194931021862622,4.89899356032224,4.499826868463553
37,10.677414053454044,7.43020827761117,6.917802203249199
38,9.472545385908639,6.604238095333417,6.156131498635055
39,7.6952269557076765,5.300574091619512,4.903787081181903
40,8.471091436782375,5.880538042675936,5.460358974797228
41,7.350179538989935,5.04534592779339,4.657268826914258
42,8.599250358539237,6.020727140367914,5.6084552460423795
43,6.160830683963024,4.172123948330052,3.806046024384041
44,7.934772481620656,5.369815688323448,4.902370839216238
45,9.168604718085755,6.344660678612859,5.890598825733079
46,7.270784815921614,5.0094301174110285,4.629114359018919
47,8.447869861953833,5.8411257035795305,5.418094112653689
48,6.5551133027410255,4.445139834024761,4.076396434639898
49,7.5777077194327145,5.1903938061232076,4.78379762611903
50,7.543844396915599,5.196694789971023,4.783799751220064
51,7.234237013906899,4.964501401026466,4.58523535904739
52,7.035745147190358,4.822099115631589,4.445382110708521
53,7.90386359031649,5.468901256714885,5.067147584197887
54,6.197154428274345,4.185646297159403,3.8193552812859224
55,8.689359451447373,5.998905158751901,5.553916423075602
56,7.2335935150794874,4.913088826066888,4.494821657136107
57,7.696415736464591,5.2539182818264845,4.813712515413629
58,5.612195735601404,3.800660266259485,3.4758509624259455
59,6.889149102921582,4.661401170500602,4.25988038212447
60,7.613821625962086,5.162918032862961,4.726343178051922
61,6.791062572979142,4.627687139434929,4.251760051307032
62,8.230282242744114,5.6522980223381225,5.212111457528719
