Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,6.037215441443278,4.652113483891128,4.4706213388707745
1,5.580307851024525,4.307768332915013,4.143761334285768
2,7.458473316732107,5.673450494272236,5.433166033769787
3,5.956633872148737,4.566986093475675,4.383556993426642
4,6.045457130641074,4.605036903579622,4.413492030569559
5,4.817537649975392,3.790793527207412,3.6546793270702587
6,6.882804556210005,5.2429441322747525,5.027198140008328
7,5.158146782856134,3.9859713883301238,3.8295795044973984
8,5.2845439564545895,4.095392204418236,3.9457645203016813
9,4.973072211211253,3.84669279361856,3.7089304799556455
10,5.516703652178233,4.219891764116665,4.047406431294675
11,5.944178489203224,4.561465626330962,4.376198264698387
12,7.34325640822699,5.529131121959887,5.290447187066134
13,7.494773841164628,5.561817978859223,5.272418017884361
14,7.38559677344155,5.535316193666151,5.285587361256354
15,5.223889507550471,4.061546932356055,3.9116219404811767
16,5.5440216634824955,4.322252685273577,4.163263823281897
17,5.612877900656022,4.308683610322441,4.135295365413169
18,4.755123451245815,3.8090814075609707,3.6876939903183787
19,6.809354378975992,5.205658430173777,4.992249059901211
20,6.4782819534653715,4.933770846285557,4.730834135397977
21,5.355693683332101,4.174426834231907,4.015938205314892
22,5.080566376948241,3.978385834689764,3.8367846029206287
23,8.996081812658796,6.695786044900924,6.3376122372845884
24,6.358507631501293,4.888050917656717,4.6909714212784595
25,5.266377933767171,4.135431371047657,3.989339422336656
26,5.36752839996602,4.132162075887442,3.9727497353762056
27,4.337354214289874,3.408417842909719,3.289318582260707
28,5.563296660771686,4.273196065821793,4.103396008414312
29,6.627979621436641,5.080433544422659,4.877300627383603
30,5.5072163766299305,4.24202480783128,4.0801895410771944
31,6.322534474800504,4.790327267378503,4.590416368912745
32,8.560881981408961,6.374269027741799,6.080783032212537
33,5.133907979008979,3.9803691645651047,3.829353246915865
34,4.494299253579346,3.5050785855906517,3.380380870186375
35,6.984509248675082,5.296713361919851,5.07305860618723
36,5.498986016680481,4.255989632103784,4.097801977121218
37,9.778586967061223,7.224429786543752,6.87990919567871
38,8.757693509725442,6.496217201871979,6.189695141684184
39,6.585909480271548,4.960732835900508,4.744469656710383
40,7.597047907465273,5.691595324074458,5.434244710076573
41,6.07763093961238,4.626973320820393,4.432181124847899
42,7.963539149542283,5.928222169478197,5.649355868609367
43,4.835912375974573,3.771655075575005,3.6340446540497644
