Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,20.01976274606308,13.947492383543887,12.928271818533167
1,23.384005568114254,16.34097489296867,15.193843392543098
2,25.89712674126332,18.15350623662034,16.93004665267824
3,34.51240894225744,24.199108083335013,22.631639991626542
4,17.952280228087183,12.348425061252954,11.337320629652197
5,61.12777716414459,42.807793676901795,40.10109706450315
6,21.339994831956908,14.946534950874351,13.915009308605235
7,34.98665494644098,24.558753418647992,22.973525693749334
8,22.34492919644825,15.569480701251948,14.435913354592596
9,16.961048943601753,11.762341636036302,10.866737277263558
10,28.046264294195602,19.69549182072019,18.401651339402406
11,29.314126720661605,20.6339205582334,19.305194645029296
12,20.405031034444796,14.226413386581868,13.099291335625246
13,26.58932673119584,18.61842616807113,17.33799223878117
14,25.80999493718193,18.065630583772098,16.79077270091306
15,18.274583011168012,12.779982457742559,11.875047714776324
16,29.840135407086677,20.914447804748896,19.52002326576209
17,21.898754184491537,15.425208188190089,14.390044825753737
18,34.521236047959974,24.30661363676998,22.778547127336484
19,17.883739704884768,12.447202326078603,11.520456419284208
20,30.014843113725743,21.204229746501433,19.87105586498558
21,22.458671613936367,15.742032332973025,14.559043073461893
22,27.6854239940539,19.276998325177694,17.870983312234472
23,17.824205938611847,12.555331181417383,11.682537762826914
24,25.186224372817954,17.68521629050352,16.4961942327418
25,20.497734472577434,14.386063056293565,13.392115219566037
26,23.481318305399128,16.373714957422326,15.22665472110436
27,27.99708885350315,19.548540293076805,18.119195870539443
28,32.22581931044303,22.588410517362302,21.098044407151566
29,39.30289501500201,27.555529838991298,25.780148084198927
30,20.47908471781826,14.270370989552449,13.226729321371774
31,24.182525647811868,16.869528517962273,15.57866070697502
32,38.52246646125063,27.1000459315468,25.385301822702317
33,27.90691219775494,19.577455077830468,18.266421720830042
34,28.16199065549159,19.790786070428993,18.501483300458958
35,19.822375073182926,13.88960571811441,12.932755209097909
36,31.5633381033075,22.168975419686497,20.70384296252795
37,29.97816720506696,21.010492997240476,19.597035588778454
38,20.079557079808833,14.021211599478166,12.957407186319225
39,23.52716071816645,16.301672723962135,15.114415992381025
40,19.490842665819144,13.505388341851631,12.458566302345446
41,39.475281998549576,27.806784955576504,26.080295802974476
42,28.37819339335576,19.881025006755657,18.549446084249094
43,25.24880669270359,17.765798250832553,16.604829382382817
44,21.658210098946416,15.073462261997493,13.816760858958013
45,33.926591558771186,23.80457961241897,22.27998643986735
46,21.107905563696036,14.649916007337264,13.411547500706922
47,22.125023391470553,15.482231857753172,14.397795016793339
48,34.52848335221903,24.212875884950762,22.63673310173087
49,26.07662692803647,18.29153475498469,17.07097654121866
50,37.357893818882616,26.265566057933686,24.601514678314615
51,22.085152737637628,15.513260450742262,14.480296778299628
52,23.67194377167182,16.5846780063396,15.415610073316632
53,19.775499999413597,13.738205261782273,12.708997651965385
54,19.979416011669702,13.749656174932658,12.616695891712565
55,24.337515351267818,16.95522267920449,15.687450352413096
56,19.4050458236434,13.414896068620276,12.3450552626994
57,30.32458002365117,21.18506021609129,19.7180052605785
58,21.07796495372013,14.633675191758561,13.48967247413001
59,25.388695960648825,17.817013199542064,16.624421300359586
60,18.996529259437914,13.156180439883414,12.069919548218014
61,21.893300438639603,15.463316039072577,14.46155460929657
62,24.789978344510065,17.204769914574843,15.880078702395886
63,21.813692329524528,15.192794658428316,14.091593446194373
64,24.476761930080556,17.26923482430186,16.15707323368629
65,28.114971687716434,19.72472610192027,18.36846946753657
66,26.254244987099817,18.389704855806315,17.13286031797271
67,16.347837929675386,11.369377061021993,10.513656680113986
68,33.501769128191455,23.559914322420195,22.035602958665034
69,21.689774609782567,15.200211795876584,14.132632910494886
70,18.42203316440851,12.730113020958939,11.70750822845481
71,19.147602571498474,13.363591464330467,12.407506331164583
72,33.67273637916489,23.692800449888196,22.174124203851765
73,27.56982099403374,19.245495077277024,17.885582598620523
74,20.478089101355252,14.315395713125902,13.27176179527498
75,38.06413709634152,26.604821771714654,24.836210364113988
76,18.622446111132895,13.03132897339148,12.084563251659048
77,16.253210804876765,11.292838639028966,10.447480225461488
78,19.38416726581227,13.594978331641178,12.652848770478444
79,17.812832866612002,12.337967429451574,11.386135467121967
80,17.714897807160682,12.33198843849473,11.430825385639116
81,19.04406704225108,13.016195265639574,11.888965551197746
82,28.25557725371522,19.889274387910614,18.602388262729427
83,34.83791984383313,24.444211538463353,22.852599771419364
84,43.44319190988675,30.486607657237066,28.547305475314523
85,36.44248282966896,25.472382691311346,23.720224447526846
86,28.276107139206417,19.947533503154816,18.688396498643165
87,28.955099920753863,20.19830984880297,18.73648966220442
88,19.778806231510337,13.832985498739117,12.872537312375695
89,37.86204793914136,26.65326882092305,24.99147916748146
90,29.13877063100287,20.465820496504033,19.10392574966078
91,28.890909584291023,20.189170604969696,18.738925892002527
92,32.01000780234213,22.455025705473208,20.952765769582157
93,40.10072666093126,28.16529633756037,26.364005929428526
94,21.73148947837525,15.171836040490202,14.073911681389395
95,26.949259321384083,18.99574475951201,17.756955715793893
96,19.671798315259302,13.823599633568994,12.888348070808012
97,18.81534081428409,13.267423661557908,12.395443681890685
98,25.081959166161347,17.601010945763274,16.429559121644054
99,29.24788088777717,20.4791407521138,19.04314097291885
100,20.4128199329179,14.177436096661566,13.11314318091004
101,33.03623371746306,23.156924413558606,21.609537957455174
102,22.192744083507765,15.505746603799867,14.393158564636098
103,32.508856492252455,22.713294030210037,21.174905765153454
104,17.558616109173386,12.200351416539998,11.258240871149699
105,24.307878388935233,17.021321903843408,15.869587662827037
106,48.370403684028176,33.933934699804254,31.805827912503155
107,24.80748205723805,17.459026732653985,16.302337461353623
108,20.871858884071543,14.597472108982892,13.546653953380932
109,17.700064446025216,12.328520269876241,11.415614757189916
110,26.023152463608106,18.234850804230327,16.972863046625374
111,27.386013035548824,19.189871528046496,17.860119603670917
112,25.703901036589684,18.086492591043267,16.88562066286782
113,37.910649401588955,26.658941350310037,24.97528190537931
114,49.993870466037194,35.07860284989697,32.86612963391545
115,22.21494571226259,15.548975906460832,14.48331239280634
116,39.705816364132254,27.87913479827899,26.071011126638886
117,32.854920761313096,23.06811257694537,21.54119840778429
118,42.640038506158305,29.983035696032054,28.097906487819966
119,39.502491591796996,27.693870703531616,25.8947570982076
120,20.42395916504839,14.317141358556079,13.345510881464278
121,23.40815113024076,16.184435083815522,14.94373130658576
122,27.396619315464196,19.236630668430216,17.946199550840305
123,15.879971409612823,10.929875658313133,9.98853974306516
124,19.933211752174294,13.826661375106912,12.742284151897069
125,25.22945938291491,17.679300365549693,16.459016513339886
126,29.770161822755433,20.842317506773462,19.445599404322536
127,29.699145650377154,20.897843246673347,19.544242842976946
128,28.41515390078933,19.823866884963728,18.43841926790688
129,25.759660280976043,17.937092642908738,16.59119112684715
130,30.488853890997333,21.257901076552663,19.75429358513714
131,30.373692184423433,21.296060528005178,19.874896287744328
132,24.027433860240787,16.915001229182103,15.788794052468813
133,28.097312663352874,19.809080506333494,18.54420286660997
134,23.83054290129234,16.60687669095045,15.317924579952965
135,23.93880496375362,16.63422452776872,15.417867358185395
136,42.38925899213706,29.789621988361215,27.917378480731156
137,24.05590590585365,16.885770300844115,15.72326270441539
138,27.343246949189343,19.205212514348695,17.914602658025167
139,24.932158796787597,17.62909783850266,16.51616823671288
140,21.463790812683122,14.973656397690668,13.874500203767532
141,36.018558016773234,25.101659292805536,23.317272841284883
142,28.157820151420168,19.776079651913438,18.47935466762495
143,29.49786106761671,20.73470624604145,19.372363433973828
144,33.85064759006961,23.828470047692385,22.33245041799462
145,28.90265331092192,20.3620509823275,19.059709277747604
146,38.12532651899826,26.83230315474155,25.14408089102187
147,36.00341304488117,25.32439582688694,23.72425596829423
148,33.90849378718869,23.825467743022706,22.26921487150001
149,29.989084104373916,20.94134839089843,19.46109304000871
150,21.520429563158988,14.901954018243885,13.686718807410559
151,33.61133922646347,23.62696822933239,22.102974062241394
152,29.22624380420833,20.59796951375759,19.28183190454468
153,26.02445530807953,18.399007574166415,17.24282112766889
154,26.284787620896026,18.506199998089294,17.305906269978642
155,26.582694038499262,18.66543488232851,17.429405527744322
156,22.76827827184928,15.987581439451919,14.889946489517621
157,26.729840014773426,18.82171084717512,17.605956189388586
158,21.744717469444993,15.242388194599986,14.200657307693891
159,25.84496581599302,18.100045884166605,16.88180599131687
160,18.71334161632789,13.000154477392549,12.002104093320863
161,22.041274278387007,15.424503259456039,14.3473613590116
162,17.43978934413348,12.092337901707282,11.120485447150259
163,23.552489704456683,16.599933104615204,15.513260835037544
164,27.0646306069727,18.90086233157568,17.5370058456405
165,21.01934176025114,14.803317743786632,13.80068484751774
166,21.551387609450437,15.033673980006178,13.932437256673712
167,20.21267403198358,14.197021723347763,13.226986528146355
168,25.45836967535093,17.764498917430046,16.503803965408927
169,19.731005737277258,13.813346328115614,12.829092697569179
170,17.18117233915958,11.979832381446982,11.088649611430128
171,18.774412542656673,12.927223805905953,11.872449856298301
172,29.175165160356606,20.525364586351735,19.206793274589923
173,22.519048420625847,15.673548432773146,14.46597641244935
174,21.570505652597184,15.097290954099401,14.046599555252566
175,18.35326269523913,12.659704921440179,11.639233938186832
176,31.778308676204507,22.28732701188698,20.839561860674998
