Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,17.756053489093937,13.532547564304721,12.96834688094199
1,20.591988984715726,15.472811358268336,14.787903417242948
2,23.852713717831975,17.773211285578604,16.95304682376728
3,33.31633812724236,24.21649732468225,22.97706396711464
4,13.67442651987452,10.561685909340824,10.174749426787091
5,63.06122555689744,43.88628379775881,40.759777467642806
6,18.663056688521614,14.10246485533437,13.498395743746674
7,34.03165993381693,24.67588375715444,23.400420603101185
8,19.569172471898074,14.758558546293507,14.111083737496902
9,13.896316970534599,10.674784459384462,10.253557502262051
10,26.157026208945844,19.40373250729988,18.492190345479067
11,27.97004638057943,20.52028379791394,19.5043560661586
12,17.21149583711896,13.157634904098543,12.613604319522306
13,24.34429727883466,18.0983661246064,17.254999647534483
14,23.18394838980356,17.364811262131354,16.582918257881964
15,15.86153253434253,12.127987648418568,11.634521264932744
16,27.921927878303958,20.44352614752173,19.431944091682322
17,20.08895174928125,15.035540405020324,14.359303625725364
18,34.532599418183096,24.810980113503604,23.287843872326086
19,14.811820500776294,11.429099129448609,10.975761549321977
20,29.661434581175328,21.54049203072357,20.331985739975927
21,20.01746466119925,15.094432396254204,14.43129956144178
22,24.781202279124265,18.521429220280254,17.672033274403496
23,15.998777946326992,12.099963549340018,11.579506763618767
24,23.049435958642633,17.221287702170702,16.43468851186369
25,18.296118144926616,13.812968086769878,13.215392890836757
26,21.01454132286762,15.796587056469374,15.097607370329953
27,24.813070928433127,18.576215567312097,17.738866724620017
28,30.43510127484553,22.411729439193124,21.327001300746545
29,38.85807242203674,27.885767737429163,26.394239488713275
30,17.241689311761462,13.1907471690045,12.65444691828042
31,21.000165868065427,16.029993227089708,15.346942546392704
32,38.45093622374967,27.591686011334126,26.082454233029583
33,26.100985249430735,19.272912703471164,18.348582404479473
34,26.610790846066294,19.573664005471088,18.63268782048077
35,17.439737733440417,13.10054521909585,12.522019351539917
36,30.048063740631484,22.035720706042184,20.944891146041105
37,27.920562832484727,20.62566929833185,19.642722261957886
38,17.11143775297377,13.055874668024455,12.51861236226082
39,20.420145672007692,15.381276433885844,14.699055649212898
40,15.588283161257293,11.991988023692972,11.521580837422878
41,40.173789764308935,28.111830994770074,25.65978856415687
42,26.327273209877138,19.487910158294206,18.551902449002384
43,23.72393875168538,17.529236166368413,16.685188657613246
44,17.975954847462013,13.573961690368604,12.98704880691852
45,33.49760947780652,24.111946444149503,22.802805410490116
46,17.459033597451892,13.361144780738016,12.824897221653728
47,19.59856577811636,14.815819406619626,14.170313355616797
48,33.246474436857625,24.205935818036576,22.979187132426404
49,23.7536304446727,17.759251106781942,16.952416202662956
50,37.2295359763212,26.726061015927908,25.27572026799346
51,19.941307633578603,14.967702688881893,14.303408496772946
52,20.902203285293588,15.820949204699803,15.138859584679187
53,16.043318900106293,12.258845935198789,11.76526358304491
54,15.031165002194072,11.721571946854745,11.29703092541483
55,20.54828715295468,15.517499559072235,14.860335474777813
56,16.16502442109161,12.47514575110758,11.985368206174023
57,27.26594237353659,20.253615874992086,19.31243950620977
58,17.48715435920828,13.427149671213911,12.888043508988876
59,23.71927332842474,17.60924752763018,16.778277341022275
60,15.190934016318515,11.793126867132493,11.34362718137717
61,20.974505162992287,15.51685679817037,14.745521927015716
62,21.141350319836526,15.987104194897471,15.302141684863223
63,19.267695925276854,14.4983093510129,13.863554159195058
64,23.388121646843906,17.28809047344967,16.46051693810729
65,25.380529671694614,18.865376026049475,17.988328013534087
66,24.15069114170165,17.87422079979542,17.03184464027186
67,13.069397627244298,10.235214847499508,9.871052043964028
68,32.75593963724792,23.77160078521405,22.505995696266275
69,19.517730116292753,14.68766237362707,14.035532451389113
70,15.151938247651598,11.764088245483983,11.315646284633814
71,16.43948796243884,12.645418451837742,12.142249131220137
72,32.8498443990594,23.89506683581077,22.6724808660465
73,24.809070332062845,18.429458559972794,17.559743127440854
74,18.23110266203298,13.789511438939668,13.19952387496162
75,36.03774183748207,26.135339911937244,24.791718330350328
76,15.597850234031007,11.990920046156077,11.515778733493395
77,13.202187053560042,10.264719691021917,9.869463197509832
78,16.775750796295,12.70214658144501,12.16027618638401
79,14.57567170428069,11.329545810357203,10.902686527300176
80,14.342235217448469,10.994636429063622,10.562696010954896
81,13.887312464235517,10.859335399953196,10.477978242677725
82,27.228297536260797,19.946679963271535,18.95262949520488
83,33.69410973504322,24.468723542953285,23.206789611898653
84,43.371358235815975,31.01514748811517,29.317709899309325
85,33.359132857348115,24.63208287088578,23.45498686168721
86,27.644443311583082,20.112918144449303,19.09112624308364
87,25.912466209907855,19.225086746589433,18.321760208355535
88,17.486636137399636,13.253416991349741,12.686480680063525
89,38.55185369960404,27.31395764195004,25.503218033209514
90,27.12434305090618,20.042422115656954,19.076889573827764
91,26.048906444109093,19.31974092820607,18.41603202870864
92,30.05323911310805,22.087773385273245,21.004211584141096
93,39.19460795671233,28.35701886161244,26.873512112649117
94,18.916235443957422,14.286765018245713,13.675388306469543
95,25.39124081775567,18.794736918765956,17.90161030400327
96,17.519964997267657,13.350019262376106,12.788768825368543
97,17.48276110305708,13.181112818479349,12.552581944201414
98,23.357675246888242,17.317429870902046,16.49963376513557
99,27.075688344941494,20.091870301792827,19.14222166407182
100,17.36443402469996,13.361414793730649,12.822842942087231
101,30.940856675668726,22.760427724120078,21.65210291919664
102,19.107691667371434,14.439457387191268,13.821094673658784
103,29.69104599083324,21.965776267704697,20.93470595716991
104,14.636404007946638,11.27165745017523,10.822300965993904
105,22.438778268882057,16.759977005357662,15.977624267272596
106,50.19410539872493,33.438997234051456,30.71990996426471
107,23.363231532876434,17.329078062724328,16.504081107311237
108,18.140840438261403,13.629047160572604,13.023758255923706
109,14.34318557975306,11.021950460464579,10.587927713494018
110,23.565996185690437,17.67684791566655,16.89346406332733
111,24.948329114013973,18.507569190562766,17.64495652826362
112,23.6808345830866,17.574801102328237,16.74930919793131
113,37.93079603699216,27.13212671860193,25.639559835190262
114,51.06758173878216,35.920981107472116,33.44560808991611
115,19.575920553960053,14.79478565610505,14.15502204606656
116,39.22579939476424,28.2224148547266,26.71245490006298
117,31.68851267029349,22.9995143288606,21.80903382653856
118,43.21949718082742,30.732132309856887,28.90924512111667
119,38.61078717111825,27.85331079046354,26.375084869685658
120,18.4621310599019,13.895695654752103,13.28226042760793
121,19.403131558908626,14.713441599449386,14.092602056083383
122,25.94803226987903,19.186301014614706,18.231154464931507
123,12.047775832202749,9.428995670105806,9.10268355761546
124,16.864521594602408,12.852259451863734,12.32948294913961
125,22.78154003954767,17.09795719372813,16.33248307369681
126,27.691682671645435,20.5300856367934,19.561449218292694
127,28.49495077567764,20.963313814290142,19.844571687708598
128,25.590035973040536,19.157327524965677,18.292290418005884
129,21.947388662961977,16.554821200530704,15.831220478533744
130,27.140242704482098,20.165528777695904,19.227109417674445
131,28.701691204575603,21.052274606620976,20.011107431047957
