Data Source,nData,percentageLHS,Upper Bound,True Value,Repetition Index
gamma,500,0.9,5.1605956677728835e-05,0.005,0
gamma,500,0.9,0.005404840632498211,0.005,1
gamma,500,0.9,0.005610093104221163,0.005,2
gamma,500,0.9,0.005028240405458861,0.005,3
gamma,500,0.9,0.005041484504943564,0.005,4
gamma,500,0.9,8.656126038790449e-05,0.005,5
gamma,500,0.9,6.435583940759202e-05,0.005,6
gamma,500,0.9,0.006662960581571079,0.005,7
gamma,500,0.9,0.006416649703420684,0.005,8
gamma,500,0.9,0.0,0.005,9
gamma,500,0.9,0.005854140907464371,0.005,10
gamma,500,0.9,0.006195523177015833,0.005,11
gamma,500,0.9,0.0050334709363662675,0.005,12
gamma,500,0.9,0.009179275710958728,0.005,13
gamma,500,0.9,0.004910098986121845,0.005,14
gamma,500,0.9,0.005689593929478555,0.005,15
gamma,500,0.9,0.005305702880734581,0.005,16
gamma,500,0.9,0.005528299800818192,0.005,17
gamma,500,0.9,0.00633372597376148,0.005,18
gamma,500,0.9,0.0001675464263347824,0.005,19
gamma,500,0.9,0.005727188469364432,0.005,20
gamma,500,0.9,0.00022832519470558017,0.005,21
gamma,500,0.9,0.005877737537179912,0.005,22
gamma,500,0.9,0.006329480366111357,0.005,23
gamma,500,0.9,0.006772090214244447,0.005,24
gamma,500,0.9,0.005959052298392373,0.005,25
gamma,500,0.9,0.005700030757167897,0.005,26
gamma,500,0.9,0.005926988575269552,0.005,27
gamma,500,0.9,0.006761866004711269,0.005,28
gamma,500,0.9,8.991332163018396e-05,0.005,29
gamma,500,0.9,0.0020321619819220157,0.005,30
gamma,500,0.9,0.0051517536240684135,0.005,31
gamma,500,0.9,0.00483268053040873,0.005,32
gamma,500,0.9,0.006597288499209137,0.005,33
gamma,500,0.9,0.005852350750602605,0.005,34
gamma,500,0.9,0.005430148579565005,0.005,35
gamma,500,0.9,0.005409468645526479,0.005,36
gamma,500,0.9,0.004513602072746107,0.005,37
gamma,500,0.9,0.005106126339523018,0.005,38
gamma,500,0.9,0.004798058236567003,0.005,39
gamma,500,0.9,0.005195943106152382,0.005,40
gamma,500,0.9,0.006538559941905222,0.005,41
gamma,500,0.9,0.005365593372035114,0.005,42
gamma,500,0.9,0.00847757684733195,0.005,43
gamma,500,0.9,0.0001864756816758915,0.005,44
gamma,500,0.9,0.004879960327138934,0.005,45
gamma,500,0.9,0.005595431990171486,0.005,46
gamma,500,0.9,0.005607123441562535,0.005,47
gamma,500,0.9,4.717618901784774e-05,0.005,48
gamma,500,0.9,0.005723385299675903,0.005,49
gamma,500,0.9,0.004826956154834272,0.005,50
gamma,500,0.9,0.005188374179640419,0.005,51
gamma,500,0.9,0.0049284512498528445,0.005,52
gamma,500,0.9,0.005412078435298388,0.005,53
gamma,500,0.9,0.006350431536732835,0.005,54
gamma,500,0.9,0.007087515822869268,0.005,55
gamma,500,0.9,0.004965564033539061,0.005,56
gamma,500,0.9,0.00787271498279005,0.005,57
gamma,500,0.9,0.004987275726997216,0.005,58
gamma,500,0.9,0.006275196123023266,0.005,59
gamma,500,0.9,0.005807106831770502,0.005,60
gamma,500,0.9,0.005554289813421818,0.005,61
gamma,500,0.9,0.004271329012549277,0.005,62
gamma,500,0.9,0.006490565646382913,0.005,63
gamma,500,0.9,0.005156653382960523,0.005,64
gamma,500,0.9,0.0055077128704495715,0.005,65
gamma,500,0.9,0.004829578470571373,0.005,66
gamma,500,0.9,0.0006910550493517452,0.005,67
gamma,500,0.9,3.449893353101264e-05,0.005,68
gamma,500,0.9,0.005040696364947246,0.005,69
gamma,500,0.9,0.005056688012139259,0.005,70
gamma,500,0.9,0.0006407889245167155,0.005,71
gamma,500,0.9,4.7542028315328624e-05,0.005,72
gamma,500,0.9,0.004358817557046662,0.005,73
gamma,500,0.9,0.004635025157759133,0.005,74
gamma,500,0.9,0.005204316922622918,0.005,75
gamma,500,0.9,0.005411201581537005,0.005,76
gamma,500,0.9,0.005006296061602248,0.005,77
gamma,500,0.9,0.005138395318545559,0.005,78
gamma,500,0.9,0.005929275082959765,0.005,79
