Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.10673601755351521,0.020618107851591225,0.010991038659320487,0.2048196122546306,0.024331429521506884,0.011918490496579127
1,0.11073601755351192,0.019772171772248378,0.010469387013521032,0.19126663673101124,0.024282278828225687,0.011716297771710169
2,0.1047360175535123,0.021336588111814617,0.011281933924614953,0.21302587142787444,0.025050410860119353,0.012464200610533627
3,0.10273601755351132,0.019576322273274136,0.010459369868792898,0.18929467332588867,0.02389575232700572,0.011447226240918
4,0.08273601811579405,0.018736797279090084,0.01004797555381957,0.16793600103103393,0.020880295437082953,0.010041204470083992
5,0.10073601755359779,0.020380130230430837,0.010887319785392724,0.1838041780769204,0.023052311716673504,0.01102824040507999
6,0.1147360175535139,0.020995167122244616,0.01130371953101145,0.21598704535101448,0.025473345648238437,0.012792784031217183
7,0.10073601755355067,0.019117357564759106,0.01046335575677886,0.17601361958027262,0.023279236895252606,0.011218866047339772
8,0.10273601755427629,0.020498366564308437,0.01093491768429677,0.18670689818847314,0.024341185076004523,0.011695595970571952
9,0.10273601755352292,0.019730395231386397,0.010486081839995966,0.19294685254188146,0.02350704746359711,0.01132118222206983
10,0.09073601755354467,0.0175182198739083,0.009426058912439495,0.15972255510671396,0.020175344294848706,0.009725717056520955
11,0.08873601789804715,0.020954809812500225,0.011221414523993629,0.1810027060609542,0.023659693846233756,0.01135641224308712
12,0.10473601755352803,0.019327505344696835,0.010309155619011382,0.1968694684073506,0.02396371331249831,0.011645624935980864
13,0.08473601800111621,0.018696777869495956,0.009971235740687,0.1657877794682196,0.020888363525016454,0.010062565523893861
14,0.09273601755389096,0.01814835689443375,0.009762427054407899,0.18285679314700837,0.023032464909352755,0.0110164812723729
15,0.09873601755356856,0.01975788889793801,0.010534797005596109,0.17854533130093644,0.023378404277387195,0.011233178919692922
16,0.10873601755350681,0.019643911989610276,0.010404398799384689,0.2035146804788353,0.02325185474215387,0.011397721430224092
17,0.08673601755354315,0.018800981550593374,0.010194256347902306,0.17097713858511118,0.022101761079391463,0.01065280875194362
18,0.10873601755350892,0.02208780635029378,0.011656345450825951,0.20847781586525027,0.024428712779225568,0.0121431470643694
19,0.09673601755384825,0.02160950394660275,0.011545096793409787,0.2136755808517661,0.024577663487385215,0.01227719446826257
20,0.10273601755351261,0.020401104182398936,0.01100896210575971,0.19280405190581182,0.024832989510725434,0.012019721465144857
21,0.08873601806043357,0.02115702038718151,0.011187898829789851,0.1833679348180564,0.023490715571213794,0.011239374684348546
22,0.09673601755384825,0.019720484424724388,0.010519259361927068,0.18834411384981978,0.023982283050996797,0.01152363694043299
23,0.10273601755352292,0.020715847647668643,0.011004686120904888,0.21571364404962085,0.024620208885971162,0.012293994504719543
24,0.09273601770778438,0.019953176358443396,0.010629809636385537,0.1920509243624398,0.02407534996635929,0.011623035159175081
25,0.1047360175535123,0.021137428004630927,0.011162119683093313,0.1955643111989717,0.02441037031578782,0.011757577194845771
26,0.09673601755384825,0.018420116412673375,0.009859860773469295,0.17511485203979255,0.021959244479098132,0.01054169844057554
27,0.08673601790276675,0.01946631541919317,0.01048622747325491,0.14618406243745505,0.021062168456105517,0.010149647584553693
28,0.0907360175535075,0.01894081823640153,0.010178462214264378,0.16814796796403975,0.02110624903673001,0.010152615882416584
29,0.11673601755352583,0.021622920547290394,0.011429832787490074,0.21971810800095914,0.025448245036085757,0.01286794026526179
30,0.10473601755352803,0.019957319489379167,0.010594488284932877,0.19410622856533785,0.023941472187814325,0.011579304891567863
31,0.10073601755359779,0.018054911596691356,0.00962868055603416,0.1813799848407544,0.02328305196428312,0.011158837759514715
32,0.09473606079499113,0.018255034603229775,0.009814466264155181,0.20611889726022276,0.023958315059920438,0.01172728632320033
33,0.08873601755352342,0.018754225280997263,0.010048408033901559,0.16701820272692058,0.021061807578254783,0.01013712176067038
34,0.08873601789915021,0.018419323475614695,0.009916631895828714,0.14446338451677226,0.02040642417697184,0.00983170192958678
35,0.1067360175535063,0.02100856532836355,0.01116166366934613,0.20534409000772386,0.024211155190607382,0.011925383506610331
36,0.10873601755352369,0.020368606886406286,0.010856760333917208,0.19606376891712757,0.024962512225684762,0.012062681146404028
37,0.10073601755353709,0.019442673303209566,0.010244087733786454,0.22309844946756285,0.023580094719881716,0.01177830906753582
38,0.1047360175535123,0.019886549296873075,0.010543765329235856,0.20186580630090234,0.024523822575301935,0.011964292492788596
39,0.096736017553738,0.016927996519480598,0.009158077305213851,0.17837578543746035,0.022320951660389526,0.010679751058967832
