Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.08324025246399266,0.038619394925586636,0.023769593788634417,0.07547415182841066,0.028166568319104992,0.016803001510659683
1,0.08124025246375353,0.0386866259162167,0.022719410247997805,0.06545795013286751,0.025934309874626377,0.015335225198302601
2,0.08524025246371457,0.03927227761693653,0.02416857283688956,0.08040028464697799,0.03125592088978666,0.01863694053702896
3,0.08324025246371637,0.036648671931831,0.021709720555985433,0.07267050783254994,0.02657573399244107,0.01565343629024316
4,0.07924025246370955,0.03146098179273088,0.019366701972593933,0.05724867398622942,0.01970286740991936,0.011658127867593224
5,0.07924025246411591,0.03586885587790724,0.021412020993330182,0.04241063462707989,0.01844496248367425,0.012056767739241395
6,0.08524025246399765,0.03890214885194222,0.02326220409378119,0.08581553805668585,0.0321385235192251,0.01850803914922915
7,0.07524025246372287,0.034266556878955065,0.020549140625978797,0.04840288177093971,0.020707698731585088,0.012571645048927004
8,0.07524025246387248,0.03792251715851865,0.023192473630290394,0.05419888693189983,0.023015300200293607,0.013782998155191135
9,0.08324025246419972,0.037990927443035935,0.023002642117515522,0.04950783554240609,0.02140816104199499,0.01403885102303459
10,0.07924025246372335,0.03165782835559981,0.01904426810831013,0.051448412293085666,0.019422452541523364,0.011272548948788827
11,0.07924025246370955,0.03353038750127987,0.02058888945871255,0.05871297889873381,0.02102129936710351,0.012473056633395766
12,0.07924025246396597,0.038273549199787635,0.022548448466133027,0.08072777306000894,0.02912991758191002,0.01679163413375729
13,0.07524025246372287,0.031481663837504684,0.01906874242067699,0.05852796123017791,0.020625715243286526,0.012158650805857152
14,0.07924025246374204,0.03371385583507546,0.020363569090665237,0.07257012369177185,0.025961097683048464,0.015167686921592479
15,0.07724025246371559,0.03684921235722543,0.022610800210129667,0.05230674476217419,0.02223709260805191,0.013282075963583311
16,0.08524025246371457,0.0394589059567103,0.023522854070112224,0.06861355468178364,0.02691109013174872,0.016236043805867448
17,0.07924025246396597,0.03206695798940855,0.01990155593635445,0.05636144475805965,0.020897877707416274,0.012219210567572459
18,0.08124025246406301,0.0404575820692796,0.024815175432439853,0.04774684631591364,0.021047523428281666,0.014234834652747486
19,0.08524025246371902,0.036568291237743036,0.022772193226535675,0.07978925731663918,0.030182689281404735,0.017820367331058306
20,0.08124025246373213,0.036106146048772846,0.02190444789515275,0.07274694581831852,0.02635708179237415,0.015458880933458456
21,0.07924025246370955,0.0319576062500162,0.019643574607413374,0.0538265222933095,0.020770047111820907,0.012322789335511643
22,0.07724025246371026,0.03570443299666308,0.022019628673514216,0.04960070088975344,0.021499302670523177,0.013212379127424768
