Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.12747203613719313,0.020058883975955448,0.01104509149780327,0.32266198508722,0.019286523658393652,0.010964960961464435
1,0.12547203987400077,0.018544300572486967,0.009975310594088153,0.3373265148404832,0.01911151986434835,0.010506813676621062
2,0.12147206023911684,0.01904808260049724,0.010564344723614368,0.35364944036793333,0.018710162485886965,0.010546793702658479
3,0.1294720358764648,0.01769193758110825,0.009825473695229438,0.3556319747668726,0.018418409352676374,0.009987769402258519
4,0.12147207081738864,0.018129619633377014,0.010039552288223225,0.30322403056677144,0.017761005550233883,0.010039185262647942
5,0.129472035468373,0.018651142340131807,0.01054140296062442,0.3563918578290729,0.01935493709545621,0.010388360915077829
6,0.12347203721849427,0.01938211896249762,0.0104255820068071,0.3272882783888248,0.019362182223477784,0.010659596733477704
7,0.12947203642936053,0.01806624825252012,0.00982389600459824,0.3569513246128318,0.01927904649642992,0.010543050200471412
8,0.12547203987400077,0.019423963744432678,0.01032617559649805,0.3357332611457414,0.019258064862733317,0.010724048878249758
9,0.12547203513337507,0.01860645572528033,0.009726597906437442,0.26858705023323726,0.01821593850298927,0.009902568227373204
10,0.12347203721854923,0.01795636163438288,0.01047989427046219,0.3563198638606375,0.01935124985374369,0.010832675074199438
11,0.1234720731730274,0.020331566087682412,0.01062701288611185,0.35232673817930693,0.020586963481659937,0.01109412344515228
12,0.1254720360118825,0.016785428888703283,0.009464848129267674,0.3070125369271981,0.017535662835732397,0.009637411830053668
13,0.12347203652956203,0.018296081559205247,0.010072098808349113,0.34988681386638765,0.01792821256679944,0.01002940006639109
14,0.1254720357274043,0.01866766307664575,0.010535748769170687,0.35484114247248033,0.01811794291945793,0.010227539329069446
15,0.12747208125117332,0.01750980543580974,0.009191794238220079,0.2717597471432789,0.019262165219115772,0.010362150585582946
16,0.12347204692049041,0.017801551902788745,0.009439227820182,0.34721570199646806,0.018448315963330603,0.009925754108118787
17,0.12147203510740842,0.01942888936680651,0.010309393988980845,0.30574199895148985,0.01872141046718303,0.010265114488979727
18,0.12747203613719313,0.01958687273590577,0.010568801545570881,0.3543928947602636,0.019467245322748836,0.01065407470804346
19,0.12947203512599176,0.018059611206729345,0.009445551635802196,0.27576200555152225,0.01868020967192797,0.010097454004634871
20,0.13147203588762588,0.020104416095925857,0.011060129389993595,0.3496958190527301,0.01975547636878878,0.010893918098428625
21,0.129472037171264,0.018978859610606965,0.010104659781483902,0.3273923192602096,0.018476374918780188,0.01024462500927262
22,0.1314720354472701,0.018662264452061903,0.0105505035575283,0.35734772913923873,0.017825399679555525,0.010144979216268734
23,0.1207360175536399,0.01692905798194233,0.008893298121656037,0.24260082398490426,0.01882769280946577,0.00955588068737886
