Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.07724025246371026,0.05052041551874293,0.0350233096783943,0.07450315949498541,0.036564286739819526,0.0268652351510366
1,0.0812402524637229,0.05363056702225207,0.03832247793432914,0.07501355626850319,0.03684786195234896,0.027424885523477695
2,0.07524025246384704,0.04925216466177618,0.035361930210548266,0.03604411142619191,0.016150844276047453,0.013890980159420606
3,0.07324025246371414,0.04874929532285735,0.03333805661884195,0.030702035285186377,0.013660216133652774,0.011744600822944536
4,0.0852402524637137,0.05149050748452771,0.03517276835173286,0.08500773362845099,0.04183399107651843,0.03065297073979749
5,0.08324025246374316,0.0484912620691014,0.033410370784578786,0.07038645860903904,0.03447830597910324,0.025414981619178306
6,0.07924025246372335,0.057209869085381226,0.03919286444424893,0.07211128839505286,0.035115094489938284,0.02639012163051186
7,0.07524025246384704,0.05081281672083147,0.03686640118566258,0.03428846203245256,0.015147356265624426,0.013105074346567554
8,0.07524025246387248,0.05081999105206122,0.03457164401804985,0.06942210272818863,0.03392510467399283,0.02502257349961899
9,0.08124025246399613,0.05170497250080624,0.03560729367425818,0.14163118755441334,0.06265226577744075,0.040240219743738224
10,0.0812402524637229,0.04539851015325913,0.031084641937160356,0.05911933092327189,0.028702706319357646,0.02103540855559654
11,0.07924025246396597,0.052316587085162604,0.03615723076423461,0.14391618931046365,0.06134315243467805,0.03899270035175769
12,0.08724025246371662,0.053957918861475496,0.03770667255992045,0.10951942844097498,0.05364677260429616,0.035872890895387914
13,0.07924025246372335,0.05484208061756743,0.036628882146904476,0.06706553548816999,0.03270873920715685,0.02392067047801013
14,0.08324025246374316,0.05948648327013063,0.04300407827075019,0.07466458455379436,0.03654277256578098,0.027172384467143536
15,0.07924025246372335,0.04814639118471967,0.03334471443458101,0.06559481221203747,0.031708334291996675,0.023626049190324468
16,0.08124025246375353,0.05245543520344731,0.036542080861042665,0.09310084367366626,0.04605584712885523,0.03310222784716808
17,0.07924025246411591,0.05359530069798423,0.036841142105004936,0.055098124310065485,0.024840011969545665,0.019788069071877606
18,0.08324025246374316,0.04924403473470504,0.03524740408491311,0.09541587723401809,0.0473971574524948,0.03357892569143664
19,0.08124025246373213,0.0568123835926119,0.03848261553215411,0.0948724026764422,0.04693212746866027,0.03387013540316845
20,0.0772402524637594,0.052113152274210046,0.03630774851167295,0.07289784773910651,0.03565906406129411,0.026558110580047686
21,0.07924025246396597,0.04967871123424954,0.03450352183134383,0.09621236102753757,0.04758300434689335,0.03362921242752342
22,0.07924025246370955,0.05226946573696536,0.035926958761751226,0.06840881395324412,0.033491674633108086,0.02487472742575645
23,0.08724025246371492,0.05590453668695773,0.03821850187294755,0.13786047495633413,0.06115252598308839,0.0387212137709774
24,0.08924025246371561,0.05412476862129285,0.03813861280790979,0.0943976654714811,0.04677409050067073,0.03448048485567566
25,0.07524025246372287,0.04970862455596431,0.03438810990894898,0.04551377282007674,0.021276773314941586,0.01592245285149224
26,0.09724025246374003,0.05592406854399828,0.038672073781985526,0.1344727975983976,0.06017301365140816,0.03854342108823611
27,0.07524025246372287,0.046300680831341326,0.03215345253681067,0.043299044260101706,0.020494963752391973,0.01500253445423676
28,0.09124025246371817,0.05891434079668979,0.03985070905427294,0.13810083759123687,0.0626062147480523,0.04062478812265988
29,0.08124025246373213,0.061943990689675536,0.04258054521829748,0.07713235032771709,0.037685330716665855,0.0281469429558056
30,0.08124025246375353,0.054262606595076236,0.03790035794308732,0.0919577035311891,0.04556319090742178,0.033282110464514986
31,0.08724025246370896,0.05801971738642437,0.041525306324407145,0.14425563459043103,0.06258843670422756,0.04047837289034288
32,0.07724025246371118,0.055079318050727154,0.039504578481902586,0.04963822536646405,0.022301847673150847,0.018939376151109494
33,0.07924025246372335,0.05363031380423991,0.03748680283460752,0.05805047132152689,0.026907498599759935,0.020672268209156738
34,0.0772402524637594,0.0498521497908164,0.03493507702091731,0.08163505768697377,0.0403045812478378,0.029956537165286106
35,0.08324025246399266,0.05283069766687104,0.03691210190061773,0.14412412231426178,0.06282956777174982,0.04003096867359278
36,0.07524025246384704,0.04903350611155096,0.03422010746501008,0.03785807733583267,0.017003670172321877,0.014411743217379992
37,0.08324025246371637,0.04953993042776298,0.034448283071486334,0.10374262711777263,0.0510265420655054,0.03429784696435062
38,0.08124025246373213,0.056440878912391274,0.038906052551791935,0.06840996627255766,0.0332739164146651,0.02466257402268724
39,0.07724025246371026,0.049846910278120396,0.03568106644276541,0.05155775149357485,0.02449286359953879,0.01810137845859774
40,0.08524025246371457,0.05503495442201501,0.03762349870933008,0.09176349065997746,0.045204886866474496,0.03268354260654278
41,0.07924025246372335,0.05793032273480121,0.04003638807406361,0.13780778907404972,0.060705549981926794,0.03802234459098058
42,0.08324025246374316,0.05426713905292759,0.037458688913201726,0.14181779411358375,0.06198695623592161,0.04005793434373396
43,0.07524025246384704,0.054464239437688036,0.037637777629400654,0.04283180791163057,0.019201611331118945,0.01643533435378576
44,0.07724025246371118,0.05264546282812427,0.036894226751372765,0.029863099328041914,0.012855819210208407,0.011001025042241125
45,0.08124025246375353,0.05293497277959414,0.03582244566531724,0.10596894524684307,0.05190102990475666,0.03483465596459274
46,0.07924025246370955,0.050929775835098924,0.03542037359799355,0.059989022139270085,0.02904801438757529,0.02153331048121395
47,0.08124025246375353,0.0582255569116025,0.04034120480599084,0.10289606595822647,0.05105692002188417,0.03586150713328906
48,0.07924025246372335,0.04541374663162038,0.03133778304980808,0.05581993782230954,0.026916748565483366,0.019801371037468256
49,0.08324025246374316,0.05087920006202402,0.035355913549178344,0.08087789767566186,0.03995151738251597,0.029767764376196815
50,0.07924025246396597,0.0552973497428809,0.03926885357349052,0.09038922588141146,0.04471267501715551,0.032547566158796205
51,0.08324025246372035,0.050094944183000714,0.03414994066390442,0.06456938194917278,0.03121444729541739,0.023118149868491603
52,0.07524025246384704,0.056285514669560874,0.03933620701393651,0.04566595721602522,0.02043090094266227,0.017649907702037993
