Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.97,0.003182822543936358,0.007138405771935759,0.005,0
gamma,500,0.97,0.003183089465075473,0.007225285904130786,0.005,1
gamma,500,0.97,0.003026920183812966,0.007167103931946331,0.005,2
gamma,500,0.97,0.0027089578808974927,0.006604589816662981,0.005,3
gamma,500,0.97,0.0022010209042401035,0.005411953863598228,0.005,4
gamma,500,0.97,0.003014062839642577,0.007565469794853084,0.005,5
gamma,500,0.97,0.0032025354229454485,0.0070640789618869985,0.005,6
gamma,500,0.97,0.002779150600207773,0.006286362832451928,0.005,7
gamma,500,0.97,0.0029288849597026486,0.006667994358004929,0.005,8
gamma,500,0.97,0.0030400005845577227,0.007559517859010895,0.005,9
gamma,500,0.97,0.001995427555609859,0.0048354731524154326,0.005,10
gamma,500,0.97,0.001879558135838113,0.005368788968669898,0.005,11
gamma,500,0.97,0.0029531836942961647,0.006030733207714891,0.005,12
gamma,500,0.97,0.0021556661749579354,0.005087491958193897,0.005,13
gamma,500,0.97,0.0026220333920597342,0.005104099013239149,0.005,14
gamma,500,0.97,0.0031475312347521794,0.006881546941114618,0.005,15
gamma,500,0.97,0.0032068567285450625,0.007531310849542214,0.005,16
gamma,500,0.97,0.002183632693720924,0.005373954828809741,0.005,17
gamma,500,0.97,0.004479110135033571,0.00944463627994751,0.005,18
gamma,500,0.97,0.003455908982080433,0.007085776958283304,0.005,19
gamma,500,0.97,0.0028932516972113103,0.006488824049428351,0.005,20
gamma,500,0.97,0.0022184901704591607,0.005711377929940719,0.005,21
gamma,500,0.97,0.002961413380345841,0.007028195757404815,0.005,22
gamma,500,0.97,0.003040416071585206,0.006429900428870697,0.005,23
gamma,500,0.97,0.0029442435138801407,0.006299123930641519,0.005,24
gamma,500,0.97,0.003507406987150984,0.007606200320778547,0.005,25
gamma,500,0.97,0.002487686746170061,0.005660587289141593,0.005,26
gamma,500,0.97,0.002362894228903929,0.0064972319061569915,0.005,27
gamma,500,0.97,0.002272577749975427,0.005732826705095501,0.005,28
gamma,500,0.97,0.003791105651125948,0.007637205010736938,0.005,29
gamma,500,0.97,0.0029291581767817132,0.0069121453610984035,0.005,30
gamma,500,0.97,0.002473045610625366,0.005287945609462691,0.005,31
gamma,500,0.97,0.0026730441555683007,0.005536333828953206,0.005,32
gamma,500,0.97,0.002453124612799434,0.005974070088850418,0.005,33
gamma,500,0.97,0.0022380379428753217,0.006076053978459873,0.005,34
gamma,500,0.97,0.003279625491055219,0.006642767355600889,0.005,35
gamma,500,0.97,0.003725196722753751,0.007214445096140709,0.005,36
gamma,500,0.97,0.0025376357019992577,0.005721492221568128,0.005,37
gamma,500,0.97,0.002711591391586099,0.005704218215491951,0.005,38
gamma,500,0.97,0.0022154953726600812,0.00492511020466492,0.005,39
gamma,500,0.97,0.0019983104020628575,0.004919726595492752,0.005,40
gamma,500,0.97,0.0025246660027999327,0.005574305393164127,0.005,41
gamma,500,0.97,0.0020325672651136076,0.004714273929275647,0.005,42
gamma,500,0.97,0.002374649258692127,0.005788093322415788,0.005,43
gamma,500,0.97,0.004460095808962469,0.00841658702535921,0.005,44
gamma,500,0.97,0.00237290954063665,0.004953705707475965,0.005,45
gamma,500,0.97,0.003141023288913585,0.006473283765049585,0.005,46
gamma,500,0.97,0.0028376303370706217,0.006197860821190683,0.005,47
gamma,500,0.97,0.0024462261143430265,0.006674629304269269,0.005,48
gamma,500,0.97,0.0034890138481945866,0.006721678934195329,0.005,49
gamma,500,0.97,0.002962085827106422,0.006080442106056214,0.005,50
gamma,500,0.97,0.002932558697538582,0.006035961716086564,0.005,51
gamma,500,0.97,0.0022038133158498716,0.005261740257311255,0.005,52
gamma,500,0.97,0.0024181766768315506,0.005759171876650506,0.005,53
gamma,500,0.97,0.0035690593921777277,0.007988693471390357,0.005,54
gamma,500,0.97,0.003682055669482809,0.007191810210554567,0.005,55
gamma,500,0.97,0.004725749885153774,0.007696282150496475,0.005,56
gamma,500,0.97,0.00261349299046991,0.006233039692800636,0.005,57
gamma,500,0.97,0.0018939855457269328,0.005601177345743053,0.005,58
gamma,500,0.97,0.003471483543526355,0.007717533154462062,0.005,59
gamma,500,0.97,0.00407519588118926,0.008009917795999801,0.005,60
gamma,500,0.97,0.003636102921743496,0.006412000892841919,0.005,61
gamma,500,0.97,0.002849019944510175,0.0060961154940324495,0.005,62
gamma,500,0.97,0.0031941142919958876,0.006249808389199883,0.005,63
gamma,500,0.97,0.0021521938041050184,0.005137610749793633,0.005,64
gamma,500,0.97,0.0025708006184785416,0.005764219830627211,0.005,65
gamma,500,0.97,0.0030253243682017384,0.0063273662734697755,0.005,66
gamma,500,0.97,0.004048562704345293,0.007403511642079818,0.005,67
gamma,500,0.97,0.0032465122776983695,0.00637895017107936,0.005,68
gamma,500,0.97,0.0020201804239694914,0.005207057310463163,0.005,69
gamma,500,0.97,0.0028846884323790924,0.005959414960436445,0.005,70
gamma,500,0.97,0.0026839120702896913,0.005364956986338134,0.005,71
gamma,500,0.97,0.0031283410618367993,0.006588118678212277,0.005,72
gamma,500,0.97,0.00301850595514563,0.005882074700700275,0.005,73
gamma,500,0.97,0.0029084456790601032,0.005919404838320601,0.005,74
gamma,500,0.97,0.0031512298330756408,0.006368703734703259,0.005,75
gamma,500,0.97,0.004049906869023971,0.007007001486235469,0.005,76
gamma,500,0.97,0.002439837693263967,0.005497673410781888,0.005,77
gamma,500,0.97,0.001972747493375682,0.004908548243520219,0.005,78
gamma,500,0.97,0.0030406682811424755,0.007437426520719864,0.005,79
gamma,500,0.97,0.002879694831182444,0.006371559254838742,0.005,80
gamma,500,0.97,0.002547236168048396,0.005473207756256964,0.005,81
