Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,500,0.99,0.0007340740683761374,0.006510499740797778,0.005,0
lognorm,500,0.99,0.0016917420567246157,0.007289733723623801,0.005,1
lognorm,500,0.99,0.0021302641000733166,0.008319986401644476,0.005,2
lognorm,500,0.99,0.0022363597416629587,0.0080792192488986,0.005,3
lognorm,500,0.99,0.0002297172788252042,0.0063911096075061815,0.005,4
lognorm,500,0.99,0.0031223774499199333,0.00851866894894779,0.005,5
lognorm,500,0.99,0.001581948535228765,0.006765861331732857,0.005,6
lognorm,500,0.99,0.002763142830701948,0.00782099505774117,0.005,7
lognorm,500,0.99,0.001169383760713422,0.0072968214748090785,0.005,8
lognorm,500,0.99,0.00013649026721734714,0.004945242437159779,0.005,9
lognorm,500,0.99,0.0029406167902057147,0.008766175339356305,0.005,10
lognorm,500,0.99,0.001891887240637997,0.007226823542954512,0.005,11
lognorm,500,0.99,0.0009724552213762786,0.007098452779778725,0.005,12
lognorm,500,0.99,0.001228603118926225,0.008228108086892264,0.005,13
lognorm,500,0.99,0.0021574066248693314,0.008688269906536077,0.005,14
lognorm,500,0.99,0.00047984371475020545,0.005718136488452913,0.005,15
lognorm,500,0.99,0.0015775881396160596,0.007430945261643237,0.005,16
lognorm,500,0.99,0.0008283929217792618,0.005996569274975171,0.005,17
lognorm,500,0.99,0.0020728876159113677,0.007869831235859395,0.005,18
lognorm,500,0.99,0.00033765083050335987,0.0056779093359676965,0.005,19
lognorm,500,0.99,0.001470289898236521,0.007388732109945595,0.005,20
lognorm,500,0.99,0.0013787490276362501,0.007355174135244661,0.005,21
lognorm,500,0.99,0.002458311605582572,0.008453198014391025,0.005,22
lognorm,500,0.99,0.00035616873640299617,0.004550782100830618,0.005,23
lognorm,500,0.99,0.0016577794378542655,0.007703983885190066,0.005,24
lognorm,500,0.99,0.0010754330175397318,0.005832535657850843,0.005,25
lognorm,500,0.99,0.0015561779304110036,0.007290582918755147,0.005,26
lognorm,500,0.99,0.0032387793229011665,0.009173623251767344,0.005,27
lognorm,500,0.99,0.0033119322418775996,0.009993708664050081,0.005,28
lognorm,500,0.99,0.002774743041162615,0.00811882169510354,0.005,29
lognorm,500,0.99,0.0014079757702852769,0.007176807528917749,0.005,30
lognorm,500,0.99,0.0017016371805136509,0.007612749988759411,0.005,31
lognorm,500,0.99,0.002839109503283521,0.008487394817269428,0.005,32
lognorm,500,0.99,0.0018590730088551353,0.007516508015440688,0.005,33
lognorm,500,0.99,0.00235528786073533,0.007854749975793494,0.005,34
lognorm,500,0.99,0.0006831566472574835,0.005506811006656787,0.005,35
lognorm,500,0.99,0.0024625898622882003,0.008589901700497832,0.005,36
lognorm,500,0.99,0.0028803944262218717,0.009030210412291378,0.005,37
lognorm,500,0.99,0.0008771175552713906,0.00683450883228393,0.005,38
lognorm,500,0.99,0.0019313534105100943,0.007015806495520978,0.005,39
lognorm,500,0.99,0.000970836165182194,0.007237374459295896,0.005,40
lognorm,500,0.99,0.0024991034311527788,0.00869895464370637,0.005,41
lognorm,500,0.99,0.0024622158061798553,0.007944544093522011,0.005,42
lognorm,500,0.99,0.0013299588900977657,0.006740627686977036,0.005,43
lognorm,500,0.99,0.0017924979079345126,0.007436500755961946,0.005,44
lognorm,500,0.99,0.0017941445201822375,0.006812338489039399,0.005,45
