Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.91,0.004098599930858958,0.005715910886946255,0.005,0
gamma,500,0.91,0.0032966767029677393,0.004861197785517554,0.005,1
gamma,500,0.91,0.00409680188459671,0.005407218650095756,0.005,2
gamma,500,0.91,0.0035816513944241482,0.005184997067058198,0.005,3
gamma,500,0.91,0.0032474244301215135,0.005330637713547016,0.005,4
gamma,500,0.91,0.004026198955318278,0.005709141646659747,0.005,5
gamma,500,0.91,0.003780821136424177,0.006126211623122782,0.005,6
gamma,500,0.91,0.00415552450324344,0.006198008628015941,0.005,7
gamma,500,0.91,0.0044547011718701485,0.006451246659102264,0.005,8
gamma,500,0.91,0.00404662468245314,0.005905514560489575,0.005,9
gamma,500,0.91,0.0032423107532500908,0.00531549817951942,0.005,10
gamma,500,0.91,0.0046195187209908195,0.007245514817445153,0.005,11
gamma,500,0.91,0.003631510305562749,0.004730223701995781,0.005,12
gamma,500,0.91,0.003149958405945638,0.005108466594210007,0.005,13
gamma,500,0.91,0.0032022323943840824,0.005204912490978803,0.005,14
gamma,500,0.91,0.003835762809428221,0.0050762301893972584,0.005,15
gamma,500,0.91,0.003384772080958584,0.0068593034483567334,0.005,16
gamma,500,0.91,0.0035364302677310185,0.005519372799292513,0.005,17
gamma,500,0.91,0.004206519594092684,0.005705720989114598,0.005,18
gamma,500,0.91,0.004480288018553494,0.005810462282262218,0.005,19
gamma,500,0.91,0.00406806536248132,0.00612203001311101,0.005,20
gamma,500,0.91,0.004038371573673943,0.010164199344575315,0.005,21
gamma,500,0.91,0.003354130607240163,0.0057172958708448535,0.005,22
gamma,500,0.91,0.003985775736144026,0.005616931078702678,0.005,23
gamma,500,0.91,0.003569471723809903,0.0057869591532590135,0.005,24
gamma,500,0.91,0.004543157230438401,0.006689726561800033,0.005,25
gamma,500,0.91,0.0036942262842856177,0.005732891994072197,0.005,26
gamma,500,0.91,0.004120273101864961,0.005902080333123381,0.005,27
gamma,500,0.91,0.003578108848567765,0.005329621643011843,0.005,28
gamma,500,0.91,0.004276937071205138,0.0054489673193061534,0.005,29
gamma,500,0.91,0.003476640179829717,0.005752304473760691,0.005,30
gamma,500,0.91,0.0033766471643606514,0.005433000205820654,0.005,31
gamma,500,0.91,0.0029597553827057153,0.005110622842210682,0.005,32
gamma,500,0.91,0.0035359088687811446,0.005192762502151764,0.005,33
gamma,500,0.91,0.003926675376230841,0.005106643306958412,0.005,34
gamma,500,0.91,0.00403534261218261,0.005558404274030625,0.005,35
gamma,500,0.91,0.0028469623877517784,0.005102207193017306,0.005,36
gamma,500,0.91,0.0034440885699303534,0.005061732032651136,0.005,37
gamma,500,0.91,0.0035779215834582656,0.005333321741511865,0.005,38
gamma,500,0.91,0.0026929704086843514,0.004900141230456342,0.005,39
gamma,500,0.91,0.003103973583687761,0.005249922164958128,0.005,40
gamma,500,0.91,0.003632501207024319,0.0054081285829166385,0.005,41
gamma,500,0.91,0.0035873502834457612,0.006173899374317409,0.005,42
gamma,500,0.91,0.0035167725437684322,0.005767934265036408,0.005,43
gamma,500,0.91,0.0043365475002052805,0.006291146196090393,0.005,44
gamma,500,0.91,0.0030667177370633726,0.004517059279459032,0.005,45
gamma,500,0.91,0.0038348653667079945,0.005162853794804963,0.005,46
gamma,500,0.91,0.00425735327090548,0.005915230684093616,0.005,47
gamma,500,0.91,0.004632406286848674,0.005958271231223961,0.005,48
gamma,500,0.91,0.0030096662219632787,0.0049055402745535985,0.005,49
gamma,500,0.91,0.003661602190931725,0.005769713435927261,0.005,50
gamma,500,0.91,0.0036093591855063684,0.005432101669541327,0.005,51
gamma,500,0.91,0.003302804296266717,0.005302567693278328,0.005,52
gamma,500,0.91,0.0035352063490425834,0.005824676014726628,0.005,53
gamma,500,0.91,0.004650159047105973,0.006413067457267995,0.005,54
gamma,500,0.91,0.005137058699150816,0.007623320173281916,0.005,55
gamma,500,0.91,0.0026734795787008636,0.004755773099901245,0.005,56
gamma,500,0.91,0.004376853061415419,0.005687703526321897,0.005,57
gamma,500,0.91,0.0033289677354384306,0.0052140830688083215,0.005,58
gamma,500,0.91,0.003859124731547278,0.005195912811825176,0.005,59
gamma,500,0.91,0.004101826229170134,0.006055242455752225,0.005,60
gamma,500,0.91,0.0023586910171801262,0.004637473423404655,0.005,61
gamma,500,0.91,0.003294113742549591,0.005280601475349199,0.005,62
gamma,500,0.91,0.0036633956091617096,0.005366559213633024,0.005,63
gamma,500,0.91,0.003043708603049812,0.0052040502447410365,0.005,64
gamma,500,0.91,0.0037187638808586776,0.005894081501765096,0.005,65
gamma,500,0.91,0.0035121315505394733,0.005114597352285409,0.005,66
gamma,500,0.91,0.004769564211530024,0.006503956147045287,0.005,67
gamma,500,0.91,0.0036513800609143986,0.005629305768565377,0.005,68
gamma,500,0.91,0.0028553098773829006,0.004702408191405673,0.005,69
gamma,500,0.91,0.003984535359598043,0.006083470564773928,0.005,70
gamma,500,0.91,0.0032221854896187295,0.005234587277480981,0.005,71
gamma,500,0.91,0.004604355497434208,0.0064642938047055785,0.005,72
gamma,500,0.91,0.003410047641401473,0.005318009657474566,0.005,73
gamma,500,0.91,0.0031844008630530106,0.004534892907850413,0.005,74
gamma,500,0.91,0.003788562069962774,0.005563166790906024,0.005,75
gamma,500,0.91,0.00278097925866921,0.005176628437164908,0.005,76
gamma,500,0.91,0.003219334513330751,0.005215743322604085,0.005,77
gamma,500,0.91,0.0031151164323848235,0.005386188024628843,0.005,78
gamma,500,0.91,0.00422366101197322,0.005563229497004073,0.005,79
gamma,500,0.91,0.0037109326334414045,0.004996724137354261,0.005,80
gamma,500,0.91,0.00310058560124044,0.005569395052948172,0.005,81
gamma,500,0.91,0.002310467036101088,0.004298790630269967,0.005,82
gamma,500,0.91,0.0030606036234226684,0.004249377581492893,0.005,83
gamma,500,0.91,0.003656796352804331,0.005725710704336876,0.005,84
gamma,500,0.91,0.0035193385929654488,0.005609611872595382,0.005,85
gamma,500,0.91,0.003622598695311826,0.005803081268611561,0.005,86
gamma,500,0.91,0.003470215533312807,0.005435869206864436,0.005,87
gamma,500,0.91,0.003821736570310779,0.005825044162772106,0.005,88
gamma,500,0.91,0.002901557676197068,0.005060998707241297,0.005,89
gamma,500,0.91,0.003858176647568152,0.005981846404706707,0.005,90
gamma,500,0.91,0.0034264382014638595,0.005497240328725307,0.005,91
gamma,500,0.91,0.0036769562799307764,0.005394174126845473,0.005,92
gamma,500,0.91,0.0032802375487883937,0.0047546446861947015,0.005,93
gamma,500,0.91,0.0034558674655057377,0.004696802030311782,0.005,94
gamma,500,0.91,0.004518749805281922,0.006435387494076383,0.005,95
gamma,500,0.91,0.003353944203233582,0.005541376327455271,0.005,96
gamma,500,0.91,0.004627390734977996,0.005642644314216807,0.005,97
gamma,500,0.91,0.004439733858150784,0.0061697639968247165,0.005,98
gamma,500,0.91,0.004347831394631621,0.006425046924989081,0.005,99
gamma,500,0.91,0.0027735434815464597,0.004576815304576054,0.005,100
gamma,500,0.91,0.0034995996491272055,0.005492982270176807,0.005,101
gamma,500,0.91,0.003966640145765811,0.006603618472752758,0.005,102
gamma,500,0.91,0.0034447668925420972,0.005358382875975027,0.005,103
gamma,500,0.91,0.0038454250888776053,0.0055109872816082655,0.005,104
gamma,500,0.91,0.002919257814366018,0.00493322955653572,0.005,105
gamma,500,0.91,0.0040397032332688656,0.005553462149117589,0.005,106
gamma,500,0.91,0.00308199563146382,0.004564854591317382,0.005,107
gamma,500,0.91,0.0034238091138759866,0.00555327185157096,0.005,108
gamma,500,0.91,0.004134792341174464,0.005756799474739363,0.005,109
gamma,500,0.91,0.004422826049042465,0.005683894127618674,0.005,110
gamma,500,0.91,0.003915751609254336,0.00617124820729361,0.005,111
gamma,500,0.91,0.0033310044862712098,0.0052069170710511955,0.005,112
gamma,500,0.91,0.00451167593463877,0.007288880577380761,0.005,113
gamma,500,0.91,0.0033597775842527143,0.005809918673152372,0.005,114
gamma,500,0.91,0.0028022057934526143,0.004718434404266851,0.005,115
gamma,500,0.91,0.0032718165396297236,0.005086016368625814,0.005,116
gamma,500,0.91,0.005074519053018985,0.0071733711160256956,0.005,117
gamma,500,0.91,0.004058414593437136,0.006453956853708963,0.005,118
gamma,500,0.91,0.003944045468426982,0.005764925589662036,0.005,119
gamma,500,0.91,0.003995620062978246,0.00530020100414789,0.005,120
gamma,500,0.91,0.0027675321705132594,0.004820418448012393,0.005,121
gamma,500,0.91,0.0037347353513364507,0.004922144220959532,0.005,122
gamma,500,0.91,0.004058006205603206,0.005213754765958621,0.005,123
gamma,500,0.91,0.0036172660522104964,0.004953394666154592,0.005,124
gamma,500,0.91,0.0034432627172060397,0.005382711435780896,0.005,125
gamma,500,0.91,0.003937844831622885,0.005938569687271583,0.005,126
gamma,500,0.91,0.00274475124914052,0.0051433620992761215,0.005,127
gamma,500,0.91,0.0037234254750193865,0.005392562598857084,0.005,128
