Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,500,0.91,0.003206101922443772,0.004560300796232609,0.005,0
pareto,500,0.91,0.003788748612646204,0.006023576171986792,0.005,1
pareto,500,0.91,0.00435134124567687,0.006682052363865153,0.005,2
pareto,500,0.91,0.003131691749605174,0.00547751678617397,0.005,3
pareto,500,0.91,0.00283418958356219,0.004763570153091532,0.005,4
pareto,500,0.91,0.003285239815493466,0.00537029406308335,0.005,5
pareto,500,0.91,0.004405694487565894,0.006639055290941507,0.005,6
pareto,500,0.91,0.0033259519652580694,0.004528844304778254,0.005,7
pareto,500,0.91,0.0032820196022704767,0.005332969871445956,0.005,8
pareto,500,0.91,0.003522376927259492,0.005738725719393422,0.005,9
pareto,500,0.91,0.00312199717426171,0.005143905185359148,0.005,10
pareto,500,0.91,0.003010912445834406,0.004632989181280495,0.005,11
pareto,500,0.91,0.0033557851584896186,0.005307243217281621,0.005,12
pareto,500,0.91,0.0029324676432571205,0.004859030007996723,0.005,13
pareto,500,0.91,0.003944739813421144,0.006212442068092054,0.005,14
pareto,500,0.91,0.003232066397042774,0.005689924621983857,0.005,15
pareto,500,0.91,0.0038618837821197795,0.00623133709634997,0.005,16
pareto,500,0.91,0.004022088296065336,0.005927029412943854,0.005,17
pareto,500,0.91,0.005966523089018828,0.011294437948343006,0.005,18
pareto,500,0.91,0.0037451069396427354,0.00576756451317043,0.005,19
pareto,500,0.91,0.0038825967570685006,0.0056458621653674,0.005,20
pareto,500,0.91,0.004283302569997321,0.005967129261405191,0.005,21
pareto,500,0.91,0.0036213682790024572,0.006032740107638084,0.005,22
pareto,500,0.91,0.004007900423022345,0.0056761283264228045,0.005,23
pareto,500,0.91,0.004053447312699632,0.0061715610979993655,0.005,24
pareto,500,0.91,0.0037585692508922447,0.005393329676101708,0.005,25
pareto,500,0.91,0.003257120114407814,0.0049314926768705605,0.005,26
pareto,500,0.91,0.0028326994883616586,0.0050608744264367825,0.005,27
pareto,500,0.91,0.003983691258176791,0.0060699894340270856,0.005,28
pareto,500,0.91,0.003773036100440898,0.00608231570901638,0.005,29
pareto,500,0.91,0.004045637901511337,0.006060747465244263,0.005,30
pareto,500,0.91,0.0037689334556579397,0.005637605540445993,0.005,31
pareto,500,0.91,0.004358275394082255,0.0058848860286320305,0.005,32
pareto,500,0.91,0.0037769420979773534,0.006157248541571883,0.005,33
pareto,500,0.91,0.00396012475530459,0.006268390231951044,0.005,34
pareto,500,0.91,0.0037520480495781164,0.0057650388177532185,0.005,35
pareto,500,0.91,0.0035709090971547714,0.0060659053455816,0.005,36
pareto,500,0.91,0.0033545717090595235,0.0050930350776259665,0.005,37
pareto,500,0.91,0.003619734281698034,0.00607094785204768,0.005,38
pareto,500,0.91,0.0036497000947278355,0.005779098452479199,0.005,39
pareto,500,0.91,0.003182969429244596,0.005224434772334898,0.005,40
pareto,500,0.91,0.003542431653324566,0.005826264933040468,0.005,41
pareto,500,0.91,0.003509737949418398,0.005340574678975468,0.005,42
pareto,500,0.91,0.0035520924514664378,0.005818276797636328,0.005,43
pareto,500,0.91,0.004760543332600175,0.007520128014635674,0.005,44
pareto,500,0.91,0.0029046899723688827,0.004710716936625138,0.005,45
pareto,500,0.91,0.003880706613895427,0.005754970129839129,0.005,46
pareto,500,0.91,0.003940746940484719,0.005974330273432003,0.005,47
pareto,500,0.91,0.0028070482183500927,0.004791985737106989,0.005,48
pareto,500,0.91,0.004069872744796003,0.006049284318639114,0.005,49
pareto,500,0.91,0.003679836864069177,0.00628023738246534,0.005,50
pareto,500,0.91,0.003277101738946783,0.0054644226187889056,0.005,51
pareto,500,0.91,0.0034949082733037426,0.004523790119073222,0.005,52
pareto,500,0.91,0.003584648750589819,0.005857285949286631,0.005,53
pareto,500,0.91,0.003781790608956572,0.006089492774602561,0.005,54
pareto,500,0.91,0.0038197893437093224,0.006001475189473745,0.005,55
pareto,500,0.91,0.00406083681920947,0.005220738025494773,0.005,56
pareto,500,0.91,0.003736104720481537,0.006186361301870614,0.005,57
pareto,500,0.91,0.0032255181761950687,0.0052289340937323936,0.005,58
pareto,500,0.91,0.0034000330093096657,0.005262971491792615,0.005,59
pareto,500,0.91,0.003685687112832824,0.005586807469184379,0.005,60
pareto,500,0.91,0.0033363699219639167,0.005579480394018776,0.005,61
pareto,500,0.91,0.004231102897359619,0.005992257790485894,0.005,62
pareto,500,0.91,0.0033532764618648516,0.005596129055725008,0.005,63
pareto,500,0.91,0.0035048353843797446,0.005904663861131543,0.005,64
pareto,500,0.91,0.0035661554354880585,0.005714358798449703,0.005,65
pareto,500,0.91,0.003370959171643362,0.0057218034024856135,0.005,66
pareto,500,0.91,0.004183725389195477,0.006326733767513759,0.005,67
pareto,500,0.91,0.004021099621531569,0.005257842897573555,0.005,68
pareto,500,0.91,0.00360407451778529,0.006001411395314646,0.005,69
pareto,500,0.91,0.003500964064224732,0.005586122076301839,0.005,70
pareto,500,0.91,0.003427393473715303,0.005552087490905129,0.005,71
pareto,500,0.91,0.0037601524118949445,0.00607564845193765,0.005,72
pareto,500,0.91,0.003442845582137345,0.005757749551229945,0.005,73
pareto,500,0.91,0.0027607523881243742,0.00487726609862774,0.005,74
pareto,500,0.91,0.0034867705772338524,0.004875510106658321,0.005,75
pareto,500,0.91,0.0038092155020972435,0.00525395540197406,0.005,76
pareto,500,0.91,0.003095630594213228,0.00513426794968223,0.005,77
pareto,500,0.91,0.00342569304228042,0.0053690641551885215,0.005,78
pareto,500,0.91,0.0035840060454534924,0.00517557278863033,0.005,79
pareto,500,0.91,0.00414132049956621,0.005765669911764674,0.005,80
pareto,500,0.91,0.0030491752341702994,0.005078590340738711,0.005,81
pareto,500,0.91,0.003819049934042229,0.006097882305920847,0.005,82
pareto,500,0.91,0.0033877628471165166,0.005398631801222118,0.005,83
