Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,500,0.93,0.004284036588893236,0.007065567656330007,0.005,0
lognorm,500,0.93,0.003529676912191609,0.005849693334865334,0.005,1
lognorm,500,0.93,0.003657899652423657,0.006513684404287488,0.005,2
lognorm,500,0.93,0.0033014388412865923,0.005477235664422835,0.005,3
lognorm,500,0.93,0.003999710648915177,0.006681086524196561,0.005,4
lognorm,500,0.93,0.00481474904038645,0.0065703959010275734,0.005,5
lognorm,500,0.93,0.003480905223397973,0.006182826134128141,0.005,6
lognorm,500,0.93,0.0036238730958131015,0.005360640356077364,0.005,7
lognorm,500,0.93,0.003846748465340337,0.006394660994990554,0.005,8
lognorm,500,0.93,0.00334327025640551,0.005062566055015138,0.005,9
lognorm,500,0.93,0.00435065909267764,0.00644938448190248,0.005,10
lognorm,500,0.93,0.0033759469554017806,0.005678194881368188,0.005,11
lognorm,500,0.93,0.0035633994458691663,0.006067379112006004,0.005,12
lognorm,500,0.93,0.0037187548371395087,0.006031508805414236,0.005,13
lognorm,500,0.93,0.003914010353409238,0.00636330548785272,0.005,14
lognorm,500,0.93,0.003611217438203857,0.005315499183789671,0.005,15
lognorm,500,0.93,0.0027924743517515173,0.004904970672263638,0.005,16
lognorm,500,0.93,0.0036344423344028516,0.005927835669294265,0.005,17
lognorm,500,0.93,0.003805328144350306,0.006365354166318262,0.005,18
lognorm,500,0.93,0.0032700225413524243,0.005901736978169116,0.005,19
lognorm,500,0.93,0.004128049761218167,0.006494701709276971,0.005,20
lognorm,500,0.93,0.0038401068861139438,0.006092162421943916,0.005,21
lognorm,500,0.93,0.0047308147041163155,0.006495960023042016,0.005,22
lognorm,500,0.93,0.002694972268291452,0.005132043750698668,0.005,23
lognorm,500,0.93,0.003854560273451207,0.0063207545655949325,0.005,24
lognorm,500,0.93,0.0033162153423342416,0.0060091934820551045,0.005,25
lognorm,500,0.93,0.003569066067648226,0.006237461817239782,0.005,26
lognorm,500,0.93,0.004472616674662504,0.007021239030654935,0.005,27
lognorm,500,0.93,0.004199032976129829,0.006846932385788882,0.005,28
lognorm,500,0.93,0.0029194069935775894,0.004800906315397476,0.005,29
lognorm,500,0.93,0.0036414706423702763,0.006615543552641773,0.005,30
lognorm,500,0.93,0.006803506676576505,0.016646719652710862,0.005,31
lognorm,500,0.93,0.0035515913143196434,0.005952196070648608,0.005,32
lognorm,500,0.93,0.0034320782786110312,0.004985721104575359,0.005,33
lognorm,500,0.93,0.0035331654387511647,0.005825541866144442,0.005,34
lognorm,500,0.93,0.0025652041353430464,0.004670188556932115,0.005,35
lognorm,500,0.93,0.003513379360118454,0.0060131034067093135,0.005,36
lognorm,500,0.93,0.004028937770041771,0.006050274982716417,0.005,37
lognorm,500,0.93,0.00400068851115292,0.0062338200046913265,0.005,38
lognorm,500,0.93,0.0040578040557032015,0.006415271934944361,0.005,39
lognorm,500,0.93,0.003971941740586309,0.005697142113325278,0.005,40
lognorm,500,0.93,0.0038397934111901256,0.006032124397314682,0.005,41
lognorm,500,0.93,0.0037974081021005493,0.006198501578068731,0.005,42
lognorm,500,0.93,0.0032006095556344886,0.005407340260735968,0.005,43
lognorm,500,0.93,0.003523832722157013,0.005892421161858335,0.005,44
lognorm,500,0.93,0.0026232980937462985,0.004779791285988432,0.005,45
lognorm,500,0.93,0.0035536549460812306,0.005242985254701747,0.005,46
lognorm,500,0.93,0.0036969640776067006,0.006170638854221891,0.005,47
