Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.99,0.0034917164406623904,0.00820840977602114,0.005,0
gamma,500,0.99,0.0032894804116504997,0.009149154704310618,0.005,1
gamma,500,0.99,0.0041592737978075845,0.009109773977360172,0.005,2
gamma,500,0.99,0.0030795614178697984,0.007515838507600335,0.005,3
gamma,500,0.99,0.001700755370358035,0.00538192875376531,0.005,4
gamma,500,0.99,0.001633982706036818,0.0065823921655617425,0.005,5
gamma,500,0.99,0.003931703143793835,0.008363598926517736,0.005,6
gamma,500,0.99,0.0017778275807701026,0.005896239660299671,0.005,7
gamma,500,0.99,0.002104632665067627,0.006447254798013492,0.005,8
gamma,500,0.99,0.0022812662251172535,0.007233155469081094,0.005,9
gamma,500,0.99,0.0014647824606840532,0.00501214341360486,0.005,10
gamma,500,0.99,0.0015909961480861834,0.0050130433304475175,0.005,11
gamma,500,0.99,0.003408903116139534,0.007902411316713725,0.005,12
gamma,500,0.99,0.001792076395676478,0.005304404684550776,0.005,13
gamma,500,0.99,0.0025429931090327883,0.006154283425895159,0.005,14
gamma,500,0.99,0.002328039422348531,0.007463048084272223,0.005,15
gamma,500,0.99,0.003420964057472361,0.009885181261041468,0.005,16
gamma,500,0.99,0.0017282052471975927,0.005318268551671688,0.005,17
gamma,500,0.99,0.002672950193765167,0.009794538153396194,0.005,18
gamma,500,0.99,0.003737228633131056,0.008518746001679924,0.005,19
gamma,500,0.99,0.002837300056361151,0.007072638795408647,0.005,20
gamma,500,0.99,0.0016124311513330636,0.00521183354353468,0.005,21
gamma,500,0.99,0.002310585594400566,0.007913299743497358,0.005,22
gamma,500,0.99,0.0038967298843352264,0.00812804157179472,0.005,23
gamma,500,0.99,0.0027757863685426544,0.006910373393814418,0.005,24
gamma,500,0.99,0.0025346382718172715,0.007826771328631061,0.005,25
gamma,500,0.99,0.0017735262314757182,0.005689908954681635,0.005,26
gamma,500,0.99,0.00042865762923385067,0.00449593799261769,0.005,27
gamma,500,0.99,0.001559863179917338,0.005400382649118327,0.005,28
gamma,500,0.99,0.004551441926548941,0.009945069146604518,0.005,29
gamma,500,0.99,0.002896143045756941,0.007373429149291998,0.005,30
gamma,500,0.99,0.0024825022819122996,0.006121975974054521,0.005,31
gamma,500,0.99,0.003392732543425923,0.007073535346302408,0.005,32
gamma,500,0.99,0.001562648353891456,0.005610396761220282,0.005,33
gamma,500,0.99,0.0006987658587397439,0.004659213735865082,0.005,34
gamma,500,0.99,0.003344718179581993,0.007786305138103895,0.005,35
gamma,500,0.99,0.0037371654881171103,0.010852208175253985,0.005,36
gamma,500,0.99,0.0038600673250033966,0.008165745397927198,0.005,37
gamma,500,0.99,0.0032485400491963157,0.00701160025982686,0.005,38
gamma,500,0.99,0.002438043622089814,0.005938415809740737,0.005,39
gamma,500,0.99,0.0026319388847305483,0.005998690524997271,0.005,40
gamma,500,0.99,0.002458261502010231,0.0062058899040063125,0.005,41
gamma,500,0.99,0.002024691394642742,0.005321057888497186,0.005,42
gamma,500,0.99,0.001063641600031559,0.004888827202672179,0.005,43
gamma,500,0.99,0.004533563933548716,0.009871987185247635,0.005,44
gamma,500,0.99,0.0028852341679858782,0.006374949909653324,0.005,45
gamma,500,0.99,0.00273990963876502,0.007271344473712523,0.005,46
gamma,500,0.99,0.002935374294802999,0.006924636956001399,0.005,47
gamma,500,0.99,0.0017339680646949085,0.0061003171985684855,0.005,48
gamma,500,0.99,0.00401151469913765,0.010248352011961778,0.005,49
gamma,500,0.99,0.002979348175894813,0.006974781392228541,0.005,50
gamma,500,0.99,0.002281126241194985,0.006345475453787722,0.005,51
gamma,500,0.99,0.002142987322260472,0.005819384371231715,0.005,52
gamma,500,0.99,0.0028992469635187733,0.006827009633664797,0.005,53
gamma,500,0.99,0.0009330627703286999,0.005878791036463734,0.005,54
gamma,500,0.99,0.0035882584810359632,0.008279331223992202,0.005,55
gamma,500,0.99,0.0046069528992882395,0.013599019678317672,0.005,56
gamma,500,0.99,0.0028581473067455627,0.007003620002312782,0.005,57
gamma,500,0.99,0.00019547399577175104,0.0037134361756608666,0.005,58
gamma,500,0.99,0.0026084749238232973,0.008146628018766849,0.005,59
gamma,500,0.99,0.0038157819620068083,0.00899092032240119,0.005,60
gamma,500,0.99,0.0029703295987834315,0.010473730133646606,0.005,61
gamma,500,0.99,0.003563108541543958,0.007512639212317072,0.005,62
gamma,500,0.99,0.0036913326986846694,0.007835813860001612,0.005,63
gamma,500,0.99,0.002185502270411205,0.005679666903076128,0.005,64
gamma,500,0.99,0.0023180194829363287,0.006188741641502071,0.005,65
gamma,500,0.99,0.0032080734795504806,0.007552779248311698,0.005,66
gamma,500,0.99,0.003893787379092849,0.008617234052716373,0.005,67
gamma,500,0.99,0.004095372207131413,0.008211893670586737,0.005,68
gamma,500,0.99,0.0019756170876634583,0.005670927105257662,0.005,69
gamma,500,0.99,0.002043124406536326,0.006067904052403255,0.005,70
gamma,500,0.99,0.0031827093463187815,0.006766561335297274,0.005,71
gamma,500,0.99,0.0036061395847400675,0.007643043883435421,0.005,72
gamma,500,0.99,0.003993074757042418,0.0077742789243868205,0.005,73
gamma,500,0.99,0.003963857595853351,0.008200569371355246,0.005,74
gamma,500,0.99,0.0035625882830243017,0.007801776158506316,0.005,75
gamma,500,0.99,0.005265952503557596,0.012192977165460778,0.005,76
gamma,500,0.99,0.00274783333469545,0.006473040468829963,0.005,77
gamma,500,0.99,0.0010667203606157915,0.004651317853536252,0.005,78
gamma,500,0.99,0.002780032042292478,0.007796726658730157,0.005,79
gamma,500,0.99,0.0032551385905477135,0.007813519918910633,0.005,80
gamma,500,0.99,0.002293430957151102,0.006019330549775373,0.005,81
gamma,500,0.99,0.004327067244608301,0.014098643135318323,0.005,82
gamma,500,0.99,0.0016664905296046183,0.005577510920507786,0.005,83
gamma,500,0.99,0.002543812668662432,0.0066092944367267545,0.005,84
gamma,500,0.99,0.003343061122126656,0.0073777894329465805,0.005,85
gamma,500,0.99,0.001629368782054105,0.005609883827934391,0.005,86
gamma,500,0.99,0.00266919701358767,0.006347213323559256,0.005,87
gamma,500,0.99,0.003023116147909437,0.007135541451921027,0.005,88
gamma,500,0.99,0.0020359110979251372,0.005451975204996234,0.005,89
gamma,500,0.99,0.0028666136078918207,0.0074202780471897545,0.005,90
gamma,500,0.99,0.0009540122987453959,0.005237203693213568,0.005,91
gamma,500,0.99,0.001116430587676448,0.006326975191276324,0.005,92
gamma,500,0.99,0.002497488997844978,0.008735743411514443,0.005,93
gamma,500,0.99,0.002480001518548854,0.006514564007414148,0.005,94
gamma,500,0.99,0.00408197383009806,0.009025126114225583,0.005,95
gamma,500,0.99,0.0027979439818209537,0.0066132033741472486,0.005,96
gamma,500,0.99,0.003858532138029781,0.009531578061192711,0.005,97
gamma,500,0.99,0.003367262146990741,0.007991914105753187,0.005,98
gamma,500,0.99,0.0018995737633875041,0.006408527606716534,0.005,99
gamma,500,0.99,0.0027042135419375396,0.005925864529531709,0.005,100
gamma,500,0.99,0.0030013465290692275,0.006813505261579335,0.005,101
gamma,500,0.99,0.0023496230305694015,0.00688296238168036,0.005,102
gamma,500,0.99,0.0033043499164075764,0.008629859945881965,0.005,103
gamma,500,0.99,0.002985623147316923,0.00696211470566503,0.005,104
gamma,500,0.99,0.001829281347530209,0.005250439956249874,0.005,105
gamma,500,0.99,0.0039148971881113655,0.008803144672281304,0.005,106
gamma,500,0.99,0.0021425522830636145,0.007561506248225804,0.005,107
gamma,500,0.99,0.0029547133099282253,0.007097773527973317,0.005,108
gamma,500,0.99,0.00351739557924887,0.008270075861081149,0.005,109
gamma,500,0.99,0.0,0.0,0.005,110
gamma,500,0.99,0.0029373349970369432,0.007526999380625393,0.005,111
gamma,500,0.99,0.004980685459313179,0.011068542474063388,0.005,112
gamma,500,0.99,0.0030445672805271273,0.007362772656272498,0.005,113
gamma,500,0.99,0.0015074696026146984,0.005249927462738554,0.005,114
gamma,500,0.99,0.0025915503077207805,0.005971743805667819,0.005,115
gamma,500,0.99,0.0027791058237872867,0.009465687292200825,0.005,116
gamma,500,0.99,0.0036860464766436283,0.00822376227643889,0.005,117
gamma,500,0.99,0.00298345270177668,0.0077734719815809525,0.005,118
gamma,500,0.99,0.0019841328434334494,0.006343098680045616,0.005,119
gamma,500,0.99,0.0036671200050168414,0.008809824913171494,0.005,120
gamma,500,0.99,0.0017110390441090373,0.005067094313393127,0.005,121
gamma,500,0.99,0.004166402068060878,0.009818089047337109,0.005,122
gamma,500,0.99,0.001085259552387467,0.0054394448164986975,0.005,123
gamma,500,0.99,0.003679223773239901,0.008284410506000303,0.005,124
gamma,500,0.99,0.0024429355118411335,0.006286339043843566,0.005,125
gamma,500,0.99,0.0015974611663428018,0.005431902380341445,0.005,126
gamma,500,0.99,0.0022061333642694053,0.00874608726413592,0.005,127
gamma,500,0.99,0.0030359297701160826,0.007389868847963424,0.005,128
gamma,500,0.99,0.0027923218968277006,0.007322830177493905,0.005,129
gamma,500,0.99,0.0018625667221311096,0.007375965809281271,0.005,130
gamma,500,0.99,0.0025887798169641533,0.007059635635908928,0.005,131
gamma,500,0.99,0.0032145305497603164,0.007939293116738593,0.005,132
gamma,500,0.99,0.00230367408159265,0.005877736823205739,0.005,133
gamma,500,0.99,0.0030416124507408144,0.007396639596701732,0.005,134
gamma,500,0.99,0.0023932561831884963,0.007778621520229078,0.005,135
gamma,500,0.99,0.004333399984960857,0.008764163972027032,0.005,136
gamma,500,0.99,0.004498709366513041,0.009337283412754246,0.005,137
gamma,500,0.99,0.0029189759075191214,0.008228661713138897,0.005,138
gamma,500,0.99,0.002806727421583027,0.006898684133862219,0.005,139
gamma,500,0.99,0.003251845276131412,0.00804312276296452,0.005,140
gamma,500,0.99,0.0021327295607704144,0.006993127746414309,0.005,141
gamma,500,0.99,0.0025231763058280485,0.006399602121471649,0.005,142
gamma,500,0.99,0.0033865998326953737,0.008763580571877847,0.005,143
gamma,500,0.99,0.0006474793797058678,0.005110227092083156,0.005,144
gamma,500,0.99,0.0029466580062817026,0.007005924809453249,0.005,145
gamma,500,0.99,0.004028409228765306,0.01088460773702098,0.005,146
gamma,500,0.99,0.002474311411435787,0.007074369352516293,0.005,147
gamma,500,0.99,0.001996152865283669,0.005843047189126713,0.005,148
gamma,500,0.99,0.002543004696436081,0.007482105999425905,0.005,149
gamma,500,0.99,0.004628498002685124,0.009423921486076165,0.005,150
gamma,500,0.99,0.0017570813612997104,0.005577843471737345,0.005,151
gamma,500,0.99,0.004441065872041322,0.010719992767762707,0.005,152
gamma,500,0.99,0.0017769120026986628,0.006088818187127904,0.005,153
gamma,500,0.99,0.003894321228571915,0.007903544297827584,0.005,154
gamma,500,0.99,0.0017624788605026065,0.005381960292643923,0.005,155
gamma,500,0.99,0.0015783596242340213,0.005600228616157594,0.005,156
gamma,500,0.99,0.0023876809124203932,0.008142758535834843,0.005,157
gamma,500,0.99,0.0039667803718676535,0.008708637772028533,0.005,158
gamma,500,0.99,0.0035117962656659686,0.01083679665727889,0.005,159
gamma,500,0.99,0.0032476337675682457,0.009918749888709532,0.005,160
gamma,500,0.99,0.0030054929216039605,0.008100266788932504,0.005,161
gamma,500,0.99,0.004698541808692873,0.011240410755529284,0.005,162
gamma,500,0.99,0.0018444624248973886,0.006202473470332591,0.005,163
gamma,500,0.99,0.0021160173763940804,0.006708976882515123,0.005,164
gamma,500,0.99,0.0035295909417793463,0.007551839079091458,0.005,165
gamma,500,0.99,0.00211644165192475,0.00619433238028777,0.005,166
gamma,500,0.99,0.0008863086564575685,0.0059993093738565755,0.005,167
gamma,500,0.99,0.0012882328754060335,0.005813040715682099,0.005,168
gamma,500,0.99,0.0018091181747578206,0.00557687225928049,0.005,169
gamma,500,0.99,0.002634607919933192,0.006080302845211542,0.005,170
gamma,500,0.99,0.003137298721177281,0.006990886203867023,0.005,171
gamma,500,0.99,0.0010911680565740985,0.004838656512165105,0.005,172
gamma,500,0.99,0.0032236856568622313,0.007065320156778162,0.005,173
gamma,500,0.99,0.0025138450425667854,0.007384365606572717,0.005,174
gamma,500,0.99,0.003246595318259283,0.007577567337184861,0.005,175
gamma,500,0.99,0.0033273349129571057,0.007207369206459066,0.005,176
gamma,500,0.99,0.0009417139029709346,0.003910927593646807,0.005,177
gamma,500,0.99,0.002465951790199217,0.006299031936205824,0.005,178
gamma,500,0.99,0.003843460993160637,0.008628599306112936,0.005,179
gamma,500,0.99,0.0037849474762988865,0.0086973046157251,0.005,180
gamma,500,0.99,0.0033974297370972907,0.007234007192527737,0.005,181
gamma,500,0.99,0.003071736466692016,0.007047625805412959,0.005,182
gamma,500,0.99,0.001969581712396743,0.005614811009774927,0.005,183
gamma,500,0.99,0.0038219503989748715,0.012750558618332186,0.005,184
gamma,500,0.99,0.002757887629939105,0.007488209499543031,0.005,185
gamma,500,0.99,0.0033863658168089223,0.008219559377774101,0.005,186
gamma,500,0.99,0.004056789823174125,0.008175669067609212,0.005,187
gamma,500,0.99,0.0029297839504086333,0.007937961595097302,0.005,188
gamma,500,0.99,0.002515698141904663,0.006655990658840976,0.005,189
gamma,500,0.99,0.0015543758452506884,0.005256563606162757,0.005,190
gamma,500,0.99,0.0036361607056579997,0.012249806729877067,0.005,191
gamma,500,0.99,0.0021015654084366115,0.006417562480795483,0.005,192
gamma,500,0.99,0.0010693711402919568,0.005156226703502842,0.005,193
gamma,500,0.99,0.0034370219734508435,0.008551872600417992,0.005,194
gamma,500,0.99,0.0029628351608273003,0.0077654573107915495,0.005,195
gamma,500,0.99,0.0021747779057154303,0.00595092419635317,0.005,196
gamma,500,0.99,0.0019266095205406543,0.005459738637042051,0.005,197
gamma,500,0.99,0.0025967423960297025,0.006679621308213274,0.005,198
gamma,500,0.99,0.002115118012800358,0.005970495679487965,0.005,199
