Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,500,0.99,0.0018264312199146083,0.006205298830047425,0.005,0
pareto,500,0.99,0.002699230448273199,0.007689719626319013,0.005,1
pareto,500,0.99,0.0013240943935239648,0.005948505294070853,0.005,2
pareto,500,0.99,0.0012972624668670437,0.00533712943323495,0.005,3
pareto,500,0.99,0.0027879193222061535,0.007125773837731808,0.005,4
pareto,500,0.99,0.0019925570603538494,0.0062579906113231325,0.005,5
pareto,500,0.99,0.002653015853085327,0.007700402721318906,0.005,6
pareto,500,0.99,0.0009627460886229493,0.006674766348143767,0.005,7
pareto,500,0.99,0.001968074976369651,0.006062169931360426,0.005,8
pareto,500,0.99,0.0035458882725403476,0.008480135047811614,0.005,9
pareto,500,0.99,0.0014535106884829773,0.005353780802283821,0.005,10
pareto,500,0.99,0.002830028189405531,0.006749180800402573,0.005,11
pareto,500,0.99,0.0032339952974738966,0.00780122674362672,0.005,12
pareto,500,0.99,0.0026452332833758413,0.0069502241593028605,0.005,13
pareto,500,0.99,0.003728672691987511,0.008909651724344431,0.005,14
pareto,500,0.99,0.0019516146011177504,0.006421513319121588,0.005,15
pareto,500,0.99,0.002949714793020153,0.007906500333512546,0.005,16
pareto,500,0.99,0.002107193926250792,0.006719434826750182,0.005,17
pareto,500,0.99,0.0023330814232851937,0.006094728810224389,0.005,18
pareto,500,0.99,0.0036424560232339066,0.008713532843052306,0.005,19
pareto,500,0.99,0.002473978883816283,0.007127369349179025,0.005,20
pareto,500,0.99,0.002588171251031107,0.006466297696590173,0.005,21
pareto,500,0.99,0.002452476075861121,0.007281983724848829,0.005,22
pareto,500,0.99,0.0038282564819984623,0.008099130376226706,0.005,23
pareto,500,0.99,0.004054250059589881,0.00919816546805623,0.005,24
pareto,500,0.99,0.0010648202790458875,0.005277681173671142,0.005,25
pareto,500,0.99,0.004139988211590375,0.008759720081531709,0.005,26
pareto,500,0.99,0.000909157224724615,0.004507921307643654,0.005,27
pareto,500,0.99,0.004860846676608709,0.010169838206206245,0.005,28
pareto,500,0.99,0.003784147594152002,0.009034832131935339,0.005,29
pareto,500,0.99,0.0031756232633964486,0.008396801516497349,0.005,30
pareto,500,0.99,0.0048214759229244725,0.00973547977259563,0.005,31
pareto,500,0.99,0.0019500391896049116,0.007710867429640162,0.005,32
