Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.95,0.004182857114244198,0.006918518042474224,0.005,0
gamma,500,0.95,0.0050107931820192984,0.005819429379689559,0.005,1
gamma,500,0.95,0.004063716766793397,0.006390781510291982,0.005,2
gamma,500,0.95,0.00396692300738711,0.006229400602115554,0.005,3
gamma,500,0.95,0.0026123292974429197,0.005486020208978779,0.005,4
gamma,500,0.95,0.0047625105745455025,0.007347437441060392,0.005,5
gamma,500,0.95,0.0038826653585643423,0.006636800906670156,0.005,6
gamma,500,0.95,0.004217334947461326,0.00566868416458466,0.005,7
gamma,500,0.95,0.005196617569697093,0.005949720478350668,0.005,8
gamma,500,0.95,0.0,0.0,0.005,9
gamma,500,0.95,0.0035354239273967802,0.0043748751602136465,0.005,10
gamma,500,0.95,0.004443003466976504,0.005920162999291292,0.005,11
gamma,500,0.95,0.003373108256991017,0.005772651635091577,0.005,12
gamma,500,0.95,0.003625511268619589,0.004556364500155924,0.005,13
gamma,500,0.95,0.0028122536809823302,0.005366243044917834,0.005,14
gamma,500,0.95,0.004585826776489235,0.005944363565364431,0.005,15
gamma,500,0.95,0.005412728424307922,0.006159311519206308,0.005,16
gamma,500,0.95,0.003103836863966,0.006049471345575056,0.005,17
gamma,500,0.95,0.006643563236590078,0.007379987277600713,0.005,18
gamma,500,0.95,0.0045467597288680215,0.007065332400128502,0.005,19
gamma,500,0.95,0.0039769844101481934,0.006552196296303842,0.005,20
gamma,500,0.95,0.004683967134352266,0.00610177980742585,0.005,21
gamma,500,0.95,0.004109237732962634,0.006861979187018874,0.005,22
gamma,500,0.95,0.004561945660943419,0.005716187023645781,0.005,23
gamma,500,0.95,0.004491401625242525,0.006133095213251427,0.005,24
gamma,500,0.95,0.0048429536045427,0.006709973202669069,0.005,25
gamma,500,0.95,0.004397562366515434,0.0051363773152127215,0.005,26
gamma,500,0.95,0.00452763759428784,0.005954901475769383,0.005,27
gamma,500,0.95,0.004026542846213589,0.0051049780999065176,0.005,28
gamma,500,0.95,0.003911825175041219,0.007029382734154173,0.005,29
gamma,500,0.95,0.003917105962491022,0.00664264990652485,0.005,30
gamma,500,0.95,0.002988034690017519,0.0056078633563465515,0.005,31
gamma,500,0.95,0.003083847410612661,0.005375579050161894,0.005,32
gamma,500,0.95,0.004244172758985408,0.005432017568543703,0.005,33
gamma,500,0.95,0.003917578419188271,0.00549968612005829,0.005,34
gamma,500,0.95,0.0039298337021006135,0.006327616016411067,0.005,35
gamma,500,0.95,0.0047683518104454006,0.0065006505394579655,0.005,36
gamma,500,0.95,0.002959853475475636,0.005030322540435397,0.005,37
gamma,500,0.95,0.0032777356679819696,0.005667172688044846,0.005,38
gamma,500,0.95,0.0032740604370394993,0.004491187542155321,0.005,39
gamma,500,0.95,0.0032358643771560115,0.005767676400038707,0.005,40
gamma,500,0.95,0.0036645427491316575,0.004803244020941279,0.005,41
gamma,500,0.95,0.0034653031804899527,0.005181867919153079,0.005,42
gamma,500,0.95,0.004428500055747511,0.005592011779490353,0.005,43
