Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,500,0.99,0.0036987566643237003,0.0036987566643237003,0.005,0
pareto,500,0.99,0.004399202542346822,0.004399202542346822,0.005,1
pareto,500,0.99,0.0001515879004524442,0.0054741327061563205,0.005,2
pareto,500,0.99,-0.0013564024380933388,0.006013351299842079,0.005,3
pareto,500,0.99,0.0038547998888674904,0.0038547998888674904,0.005,4
pareto,500,0.99,0.0035246920085865363,0.0035246920085865363,0.005,5
pareto,500,0.99,0.004342543264158085,0.004342543264158085,0.005,6
pareto,500,0.99,0.0004911405733728166,0.006207688423044962,0.005,7
pareto,500,0.99,0.003303997743269552,0.003303997743269552,0.005,8
pareto,500,0.99,0.005805403189562137,0.005805403189562137,0.005,9
pareto,500,0.99,0.002839901814161512,0.002839901814161512,0.005,10
pareto,500,0.99,0.00436623572915264,0.00436623572915264,0.005,11
pareto,500,0.99,0.004700564641562518,0.004700564641562518,0.005,12
pareto,500,0.99,0.003511370552226882,0.003511370552226882,0.005,13
pareto,500,0.99,0.004809565376727999,0.004809565376727999,0.005,14
pareto,500,0.99,0.0035677852243799846,0.0035677852243799846,0.005,15
pareto,500,0.99,0.004832651377977193,0.004832651377977193,0.005,16
pareto,500,0.99,-7.836208010903591e-05,0.007245391318579379,0.005,17
pareto,500,0.99,0.0037178034818607006,0.0037178034818607006,0.005,18
pareto,500,0.99,0.005268742724803405,0.005268742724803405,0.005,19
pareto,500,0.99,0.0041797806397883466,0.0041797806397883466,0.005,20
pareto,500,0.99,0.003950637078640756,0.003950637078640756,0.005,21
pareto,500,0.99,0.004066131646918558,0.004066131646918558,0.005,22
pareto,500,0.99,0.005416805949438188,0.005416805949438188,0.005,23
pareto,500,0.99,0.005408797116856112,0.005408797116856112,0.005,24
pareto,500,0.99,0.00016554390479072483,0.005154273583404021,0.005,25
pareto,500,0.99,0.005386673424802315,0.005386673424802315,0.005,26
pareto,500,0.99,-0.004227927598841331,0.008424849754345017,0.005,27
pareto,500,0.99,0.006675260441017009,0.006675260441017009,0.005,28
pareto,500,0.99,0.0050130683758786735,0.0050130683758786735,0.005,29
pareto,500,0.99,0.005346919156049741,0.005346919156049741,0.005,30
pareto,500,0.99,0.006393643174011182,0.006393643174011182,0.005,31
pareto,500,0.99,0.0013366238413192097,0.007185471578918766,0.005,32
pareto,500,0.99,0.0035836874097135993,0.0035836874097135993,0.005,33
pareto,500,0.99,0.0040960076342259075,0.0040960076342259075,0.005,34
pareto,500,0.99,0.0071844710419103125,0.0071844710419103125,0.005,35
pareto,500,0.99,-0.00018974300736334418,0.005228284130096938,0.005,36
pareto,500,0.99,0.003692065011403411,0.003692065011403411,0.005,37
pareto,500,0.99,0.004072554371195018,0.004072554371195018,0.005,38
pareto,500,0.99,0.002853216260891046,0.002853216260891046,0.005,39
pareto,500,0.99,0.004407014250679575,0.004407014250679575,0.005,40
pareto,500,0.99,0.0053169137938526715,0.0053169137938526715,0.005,41
pareto,500,0.99,0.005434211848697407,0.005434211848697407,0.005,42
pareto,500,0.99,-0.010776036803101031,0.017382023827395208,0.005,43
pareto,500,0.99,0.00041312794053496486,0.0057182712030173334,0.005,44
pareto,500,0.99,0.004067026023949161,0.004067026023949161,0.005,45
pareto,500,0.99,-0.002975170923052862,0.010148845077998818,0.005,46
pareto,500,0.99,0.005424101672228954,0.005424101672228954,0.005,47
pareto,500,0.99,0.002686775812372993,0.002686775812372993,0.005,48
pareto,500,0.99,0.004720871675164662,0.004720871675164662,0.005,49
pareto,500,0.99,0.0045710421888435614,0.0045710421888435614,0.005,50
pareto,500,0.99,0.0033595366967937943,0.0033595366967937943,0.005,51
pareto,500,0.99,0.0014024798809706591,0.008212575831264073,0.005,52
pareto,500,0.99,0.004283012876743585,0.004283012876743585,0.005,53
pareto,500,0.99,0.0035597355351400894,0.0035597355351400894,0.005,54
pareto,500,0.99,0.005343363869893707,0.005343363869893707,0.005,55
pareto,500,0.99,0.0021324109197268524,0.008285712628591587,0.005,56
pareto,500,0.99,-0.0011038927496636048,0.0076531997543906275,0.005,57
pareto,500,0.99,0.0031782648364013064,0.0031782648364013064,0.005,58
pareto,500,0.99,0.005729492195926342,0.005729492195926342,0.005,59
pareto,500,0.99,0.0049321138892246385,0.0049321138892246385,0.005,60
pareto,500,0.99,0.0036156247920047504,0.0036156247920047504,0.005,61
pareto,500,0.99,-5.717258779437096e-05,0.012306772223154227,0.005,62
pareto,500,0.99,0.0043252481348471155,0.0043252481348471155,0.005,63
pareto,500,0.99,0.0037811098053825657,0.0037811098053825657,0.005,64
pareto,500,0.99,0.005769742149929089,0.005769742149929089,0.005,65
pareto,500,0.99,0.0032901732234830155,0.0032901732234830155,0.005,66
pareto,500,0.99,0.004517758609438016,0.004517758609438016,0.005,67
pareto,500,0.99,0.005484326565771447,0.005484326565771447,0.005,68
