Data Source,nData,percentageLHS,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,500,0.9,0.004665804771880997,0.005688335275041112,0.005,0
gamma,500,0.9,0.0039662845258289555,0.004983558284068042,0.005,1
gamma,500,0.9,0.0047604024657848945,0.005460392627051376,0.005,2
gamma,500,0.9,0.004233604151296661,0.005147766408499124,0.005,3
gamma,500,0.9,0.003983515515373222,0.005504728255183872,0.005,4
gamma,500,0.9,0.004704014664709153,0.005619666297085668,0.005,5
gamma,500,0.9,0.00480832068394638,0.006120204830387397,0.005,6
gamma,500,0.9,0.004762144005041758,0.006243960020028123,0.005,7
gamma,500,0.9,0.00483860125426098,0.006374044556022338,0.005,8
gamma,500,0.9,0.004561576275070537,0.005671443693309566,0.005,9
gamma,500,0.9,0.003858873345218893,0.005454742634693076,0.005,10
gamma,500,0.9,0.005755282967299387,0.00853857624573666,0.005,11
gamma,500,0.9,0.004162604107533129,0.004822205272127829,0.005,12
gamma,500,0.9,0.00387397627863215,0.005447158563843829,0.005,13
gamma,500,0.9,0.00374361276284935,0.00519703830226162,0.005,14
gamma,500,0.9,0.00422285358265485,0.0052526265580455115,0.005,15
gamma,500,0.9,0.003938750815682239,0.007518510671157615,0.005,16
gamma,500,0.9,0.004607442543627482,0.005711067463843588,0.005,17
gamma,500,0.9,0.004619351796287265,0.0056925228343125064,0.005,18
gamma,500,0.9,0.005164893829804661,0.005954317445876473,0.005,19
gamma,500,0.9,0.004698522389957284,0.006180088507403726,0.005,20
gamma,500,0.9,0.003947185513234989,0.009090797994924554,0.005,21
gamma,500,0.9,0.0036974678913720875,0.0059206400703369945,0.005,22
gamma,500,0.9,0.004340167018822883,0.005700135909526238,0.005,23
gamma,500,0.9,0.004371309495531739,0.005854512478931307,0.005,24
gamma,500,0.9,0.004997130182563709,0.007094541427281179,0.005,25
gamma,500,0.9,0.004113116075311469,0.005670347502845756,0.005,26
gamma,500,0.9,0.005002837013148296,0.006001327145376619,0.005,27
gamma,500,0.9,0.004535969054739229,0.005738332933828269,0.005,28
gamma,500,0.9,0.0047782424016775986,0.005465622054491667,0.005,29
gamma,500,0.9,0.004373649419252999,0.00559731112863681,0.005,30
gamma,500,0.9,0.003937491919843907,0.00539434149302538,0.005,31
gamma,500,0.9,0.0037373889762667193,0.0051165136719687815,0.005,32
gamma,500,0.9,0.004275062686884332,0.005290085166137822,0.005,33
gamma,500,0.9,0.004546741362584845,0.0052568128799358,0.005,34
gamma,500,0.9,0.004815323389099432,0.005669637745724151,0.005,35
gamma,500,0.9,0.0033102061547045348,0.005359831696607669,0.005,36
gamma,500,0.9,0.004148544705304852,0.005455285171526296,0.005,37
gamma,500,0.9,0.004003346012248827,0.005417284754953374,0.005,38
gamma,500,0.9,0.003578341994895229,0.004957536866756691,0.005,39
gamma,500,0.9,0.003921604502748554,0.005388580735130435,0.005,40
gamma,500,0.9,0.004383093768200337,0.005557358259998938,0.005,41
gamma,500,0.9,0.004834952692149789,0.0074426955285891525,0.005,42
gamma,500,0.9,0.004415347713282322,0.006027400404153873,0.005,43
gamma,500,0.9,0.005065618360023314,0.0061335879858378265,0.005,44
gamma,500,0.9,0.0038857143608761638,0.004762325782608777,0.005,45
gamma,500,0.9,0.004557709060089348,0.00524987274567168,0.005,46
gamma,500,0.9,0.005195036605150949,0.006127032127774531,0.005,47
gamma,500,0.9,0.0051817903436865605,0.006207852324133832,0.005,48
gamma,500,0.9,0.0033781836566465044,0.005067957009127319,0.005,49
gamma,500,0.9,0.004298956250321731,0.005728105024014216,0.005,50
gamma,500,0.9,0.004210894109631012,0.0055519218322178515,0.005,51
gamma,500,0.9,0.0037861506919916743,0.005244606595002083,0.005,52
gamma,500,0.9,0.0042782155096939035,0.005767924060357247,0.005,53
gamma,500,0.9,0.005449967197822992,0.006462511700935628,0.005,54
gamma,500,0.9,0.005875113637989113,0.008353981660793828,0.005,55
gamma,500,0.9,0.002708060965280322,0.004695229085058116,0.005,56
gamma,500,0.9,0.005094683311024071,0.005988125728663472,0.005,57
gamma,500,0.9,0.004035632699276148,0.005329371595140395,0.005,58
gamma,500,0.9,0.004468834944272595,0.005192210239801828,0.005,59
gamma,500,0.9,0.004828434231485287,0.005937770951423439,0.005,60
gamma,500,0.9,0.002353452654304224,0.00468755169280219,0.005,61
gamma,500,0.9,0.0038574649495016302,0.005159517961305939,0.005,62
gamma,500,0.9,0.004133591844080455,0.005471940270359565,0.005,63
gamma,500,0.9,0.003941587536668539,0.005328436395464756,0.005,64
gamma,500,0.9,0.004321197972309781,0.005881134682844708,0.005,65
gamma,500,0.9,0.00403392372947012,0.005183000341283998,0.005,66
gamma,500,0.9,0.00559797033284987,0.006799312711477971,0.005,67
gamma,500,0.9,0.004184028501933288,0.00553003704735562,0.005,68
gamma,500,0.9,0.003958096726449811,0.004826631382856456,0.005,69
gamma,500,0.9,0.004523277275201444,0.006013385068654348,0.005,70
gamma,500,0.9,0.003787852896066349,0.0052273083275402215,0.005,71
gamma,500,0.9,0.00566733187518671,0.006712545317465869,0.005,72
gamma,500,0.9,0.003953159427039894,0.005335174891157663,0.005,73
gamma,500,0.9,0.003874990061320038,0.004610008722401075,0.005,74
gamma,500,0.9,0.004248937191386216,0.005604254405207266,0.005,75
gamma,500,0.9,0.003042102729053102,0.005347501581268114,0.005,76
gamma,500,0.9,0.0038754071719790534,0.005300494367469548,0.005,77
gamma,500,0.9,0.0036351053050867966,0.005213528749259886,0.005,78
gamma,500,0.9,0.004881736695436088,0.005587935457867797,0.005,79
gamma,500,0.9,0.00439590441938153,0.0050697434669649995,0.005,80
gamma,500,0.9,0.004085961039746748,0.005610088888748537,0.005,81
gamma,500,0.9,0.002593718064729384,0.004449157577424788,0.005,82
gamma,500,0.9,0.003589648804431315,0.004331931192489669,0.005,83
gamma,500,0.9,0.0042255025134574735,0.005698147490871018,0.005,84
gamma,500,0.9,0.004057026334740752,0.005464975452957358,0.005,85
gamma,500,0.9,0.004308710414415847,0.0058860737719999695,0.005,86
gamma,500,0.9,0.003974303521940342,0.005456566983201625,0.005,87
gamma,500,0.9,0.00431258358276962,0.005717994649873351,0.005,88
gamma,500,0.9,0.003969997568578035,0.00522569713591858,0.005,89
gamma,500,0.9,0.004915327760330438,0.0061296656082946085,0.005,90
gamma,500,0.9,0.00417287196173582,0.005369215865051943,0.005,91
gamma,500,0.9,0.004076633211087039,0.0055557108117228185,0.005,92
gamma,500,0.9,0.0034556469343479906,0.004737147267896429,0.005,93
gamma,500,0.9,0.004111421834155891,0.004832401451475059,0.005,94
gamma,500,0.9,0.005039491914058943,0.006264995967820492,0.005,95
gamma,500,0.9,0.00406253804951529,0.005538804115445957,0.005,96
gamma,500,0.9,0.004944517396224107,0.005612395325164365,0.005,97
gamma,500,0.9,0.00498514673210333,0.006207644115481799,0.005,98
gamma,500,0.9,0.0052397914498721965,0.00655467624305578,0.005,99
gamma,500,0.9,0.003501307289155916,0.004793299417461689,0.005,100
gamma,500,0.9,0.004171705831887577,0.00552473602462525,0.005,101
gamma,500,0.9,0.004930394274058548,0.006407131574475088,0.005,102
gamma,500,0.9,0.0038639900623461754,0.00567444233966637,0.005,103
gamma,500,0.9,0.004643130466275809,0.006090000416200554,0.005,104
gamma,500,0.9,0.0035809015508492244,0.00507084875861234,0.005,105
gamma,500,0.9,0.0045608399191178345,0.005541384265473222,0.005,106
gamma,500,0.9,0.003552326838622287,0.004664086941090962,0.005,107
gamma,500,0.9,0.004118150098741199,0.00554089766264573,0.005,108
gamma,500,0.9,0.004884075959034001,0.005924153099285596,0.005,109
gamma,500,0.9,0.004556947692431618,0.0055971483812963675,0.005,110
gamma,500,0.9,0.0047581867274995165,0.0060849094434647045,0.005,111
gamma,500,0.9,0.0037392510251271216,0.005332211256725236,0.005,112
gamma,500,0.9,0.005460328009999277,0.008213398140459198,0.005,113
gamma,500,0.9,0.004101063839596817,0.005690658266293471,0.005,114
gamma,500,0.9,0.0034082477470928465,0.004765606933839039,0.005,115
gamma,500,0.9,0.0037600451837601244,0.005221814163224563,0.005,116
gamma,500,0.9,0.0058950435716689864,0.007870392268890586,0.005,117
gamma,500,0.9,0.00566196236906627,0.006554671655384426,0.005,118
gamma,500,0.9,0.0046117940544450585,0.005838691287496602,0.005,119
gamma,500,0.9,0.004618278633122833,0.005301800303912081,0.005,120
gamma,500,0.9,0.003335757410909118,0.004776425266284076,0.005,121
gamma,500,0.9,0.004255239012850298,0.004858941575160755,0.005,122
gamma,500,0.9,0.00459865903313304,0.005284065047960346,0.005,123
gamma,500,0.9,0.004277240126777897,0.004994905108163877,0.005,124
gamma,500,0.9,0.004225182957017135,0.005469967655850234,0.005,125
gamma,500,0.9,0.004575968278344461,0.005941872017702492,0.005,126
gamma,500,0.9,0.0029689752478803053,0.005301843639445381,0.005,127
gamma,500,0.9,0.004313602713464299,0.005576238952489189,0.005,128
gamma,500,0.9,0.0049014340959810995,0.006296910809124764,0.005,129
gamma,500,0.9,0.0032030181832300455,0.005806956901709685,0.005,130
gamma,500,0.9,0.004769810886123013,0.006087939473077909,0.005,131
gamma,500,0.9,0.004623858816767071,0.00589398142119574,0.005,132
gamma,500,0.9,0.0037225194408460702,0.0052011730034352424,0.005,133
gamma,500,0.9,0.004378040401753701,0.005324545813797051,0.005,134
gamma,500,0.9,0.0035820430466170657,0.004853363938448254,0.005,135
gamma,500,0.9,0.0044558537000236355,0.005776125647244157,0.005,136
gamma,500,0.9,0.004519583807462641,0.0052096742973015316,0.005,137
gamma,500,0.9,0.0038072203338711487,0.004511104350382702,0.005,138
gamma,500,0.9,0.004228459293245652,0.00508802462645226,0.005,139
gamma,500,0.9,0.004332745341124688,0.006130092150126363,0.005,140
gamma,500,0.9,0.004645241191212632,0.0054295777382094785,0.005,141
gamma,500,0.9,0.004086827627352961,0.005581882014168017,0.005,142
gamma,500,0.9,0.004179986012295684,0.005007724651511911,0.005,143
gamma,500,0.9,0.004376021498249476,0.005538868930055332,0.005,144
gamma,500,0.9,0.004113008838761094,0.005414265413093502,0.005,145
gamma,500,0.9,0.004405586277451748,0.005259917582910388,0.005,146
gamma,500,0.9,0.0047221656738178535,0.005991972074104453,0.005,147
gamma,500,0.9,0.004381822978264365,0.005992273874216498,0.005,148
