region,quantile,"(2, CHI)",pot_bt,pl,bayesian,pwm,ranks
ECUADOR,0.95,"[0, 1.56E-01]","[0, 1.72E-01]","[3.36E-02, 1.29E-01]","[1.83E-02, 1.45E-01]","[2.38E-02, 1.19E-01]",4|5|2|3|1
ECUADOR,0.99,"[0, 5.74E-02]","[0, 8.26E-02]","[3.64E-03, 5.35E-02]","[2.16E-03, 7.77E-02]","[0, 4.69E-02]",3|5|2|4|1
ECUADOR,0.995,"[0, 3.81E-02]","[0, 5.65E-02]","[9.10E-04, 4.13E-02]","[3.95E-04, 6.03E-02]","[0, 3.45E-02]",2|4|3|5|1
OFF_COAST_OF_NORTHERN_CA,0.95,"[0, 1.08E-01]","[0, 1.14E-01]","[1.32E-02, 8.18E-02]","[7.04E-03, 9.48E-02]","[3.96E-03, 7.14E-02]",4|5|2|3|1
OFF_COAST_OF_NORTHERN_CA,0.99,"[0, 5.67E-02]","[0, 7.56E-02]","[2.28E-03, 6.12E-02]","[1.15E-03, 6.82E-02]","[0, 4.88E-02]",2|5|3|4|1
OFF_COAST_OF_NORTHERN_CA,0.995,"[0, 4.93E-02]","[0, 6.95E-02]","[1.05E-03, 5.83E-02]","[5.57E-04, 6.65E-02]","[0, 4.56E-02]",2|5|3|4|1
TURKEY,0.95,"[4.97E-03, 1.29E-01]","[1.56E-02, 9.78E-02]","[3.73E-02, 8.08E-02]","[3.05E-02, 8.44E-02]","[3.36E-02, 7.69E-02]",5|4|2|3|1
TURKEY,0.99,"[0, 2.66E-02]","[0, 2.60E-02]","[2.23E-03, 2.16E-02]","[7.03E-04, 2.53E-02]","[0, 1.74E-02]",5|4|2|3|1
TURKEY,0.995,"[0, 2.05E-02]","[0, 2.15E-02]","[1.33E-03, 1.87E-02]","[6.34E-04, 2.26E-02]","[0, 1.45E-02]",3|4|2|5|1
HOKKAIDO_JAPAN_REGION,0.95,"[4.21E-03, 1.06E-01]","[1.96E-02, 9.28E-02]","[3.96E-02, 7.62E-02]","[2.51E-02, 8.07E-02]","[3.75E-02, 7.44E-02]",5|4|1|3|2
HOKKAIDO_JAPAN_REGION,0.99,"[0, 3.96E-02]","[0, 3.67E-02]","[6.85E-03, 2.60E-02]","[3.09E-03, 3.07E-02]","[4.49E-03, 2.39E-02]",5|4|1|3|2
HOKKAIDO_JAPAN_REGION,0.995,"[0, 2.02E-02]","[0, 1.91E-02]","[1.65E-03, 1.45E-02]","[5.60E-04, 1.77E-02]","[0, 1.22E-02]",5|4|2|3|1
BANDA_SEA,0.95,"[1.24E-02, 8.39E-02]","[2.54E-02, 7.40E-02]","[3.87E-02, 6.24E-02]","[3.03E-02, 6.36E-02]","[3.74E-02, 6.08E-02]",5|4|2|3|1
BANDA_SEA,0.99,"[0, 2.13E-02]","[0, 2.15E-02]","[4.57E-03, 1.51E-02]","[3.23E-03, 1.60E-02]","[3.96E-03, 1.53E-02]",4|5|1|3|2
BANDA_SEA,0.995,"[0, 1.41E-02]","[0, 1.36E-02]","[1.72E-03, 9.86E-03]","[7.96E-04, 1.13E-02]","[9.51E-04, 1.00E-02]",5|4|1|3|2
KURIL_ISLANDS,0.95,"[2.14E-02, 9.08E-02]","[3.19E-02, 7.78E-02]","[4.48E-02, 6.62E-02]","[3.64E-02, 6.75E-02]","[4.42E-02, 6.57E-02]",5|4|1|3|2
KURIL_ISLANDS,0.99,"[0, 2.13E-02]","[0, 1.87E-02]","[4.99E-03, 1.37E-02]","[3.34E-03, 1.46E-02]","[3.29E-03, 1.25E-02]",5|4|1|3|2
KURIL_ISLANDS,0.995,"[0, 1.63E-02]","[0, 1.41E-02]","[3.07E-03, 1.04E-02]","[1.82E-03, 1.14E-02]","[1.44E-03, 9.20E-03]",5|4|1|3|2
SOLOMON_ISLANDS,0.95,"[2.18E-02, 8.06E-02]","[4.13E-02, 6.09E-02]","[4.38E-02, 5.81E-02]","[3.93E-02, 5.79E-02]","[4.32E-02, 5.83E-02]",5|4|1|3|2
SOLOMON_ISLANDS,0.99,"[0, 2.16E-02]","[8.85E-04, 2.11E-02]","[7.44E-03, 1.56E-02]","[5.87E-03, 1.68E-02]","[6.91E-03, 1.52E-02]",5|4|1|3|2
SOLOMON_ISLANDS,0.995,"[0, 1.05E-02]","[0, 9.98E-03]","[1.77E-03, 6.70E-03]","[1.09E-03, 7.73E-03]","[9.35E-04, 6.44E-03]",5|4|1|3|2
FIJI_ISLANDS_REGION,0.95,"[1.47E-02, 7.39E-02]","[2.78E-02, 6.35E-02]","[3.82E-02, 5.41E-02]","[3.48E-02, 5.51E-02]","[3.78E-02, 5.36E-02]",5|4|2|3|1
FIJI_ISLANDS_REGION,0.99,"[0, 2.12E-02]","[7.62E-04, 1.81E-02]","[6.27E-03, 1.39E-02]","[3.98E-03, 1.45E-02]","[5.46E-03, 1.34E-02]",5|4|1|3|2
FIJI_ISLANDS_REGION,0.995,"[0, 1.38E-02]","[0, 1.15E-02]","[3.02E-03, 8.78E-03]","[2.16E-03, 9.17E-03]","[2.23E-03, 8.34E-03]",5|4|1|3|2
