,method,region,quantile,lb,ub
0,opt,ECUADOR,0.95,0.0,0.13419642900506074
1,opt,ECUADOR,0.95,0.0026236685681476635,0.1679985719084712
2,opt,ECUADOR,0.95,0.008041170375147844,0.22833359551620486
3,opt,ECUADOR,0.95,0.0,0.1046778160491328
4,opt,ECUADOR,0.95,0.0,0.07425235294347199
5,opt,ECUADOR,0.95,0.014518075666905772,0.18700412076375472
6,opt,ECUADOR,0.95,0.0,0.1958318457317033
7,opt,ECUADOR,0.95,0.004952075373766948,0.18738669932377264
8,opt,ECUADOR,0.95,0.0,0.0694100950077007
9,opt,ECUADOR,0.95,0.035098440947232315,0.16964921117693987
10,opt,ECUADOR,0.95,0.0015115841985112247,0.16338541067358878
11,opt,ECUADOR,0.95,0.015612396323751832,0.1927524649486746
12,opt,ECUADOR,0.95,0.0,0.11215819978442458
13,opt,ECUADOR,0.95,0.0002579991117658345,0.08208271109177423
14,opt,ECUADOR,0.95,0.0,0.13510835450297123
15,opt,ECUADOR,0.95,0.0,0.12340960209807109
16,opt,ECUADOR,0.95,0.0,0.14508416768996021
17,opt,ECUADOR,0.95,2.5451439607727944e-05,0.1806778721334133
18,opt,ECUADOR,0.95,0.0,0.10250195558944386
19,opt,ECUADOR,0.95,0.0,0.14017174593827497
20,opt,ECUADOR,0.95,0.0,0.17788940882980325
21,opt,ECUADOR,0.95,0.0,0.08554743703516865
22,opt,ECUADOR,0.95,5.33359211733718e-05,0.06167155077497467
23,opt,ECUADOR,0.95,0.0021443113139104977,0.16350472666506405
24,opt,ECUADOR,0.95,0.0,0.15606369929755137
25,opt,ECUADOR,0.95,0.005475967802918508,0.15622004217304958
26,opt,ECUADOR,0.95,0.0,0.1627124252417128
27,opt,ECUADOR,0.95,6.98749498355064e-05,0.1416806626226504
28,opt,ECUADOR,0.95,0.003189897673288547,0.07514839574464353
29,opt,ECUADOR,0.95,0.012771644096650783,0.20426428453173173
30,opt,ECUADOR,0.95,0.0,0.10493893162332571
31,opt,ECUADOR,0.95,0.0,0.1386535419211095
32,opt,ECUADOR,0.95,0.0,0.12363154895357047
33,opt,ECUADOR,0.95,0.0,0.1714341390939973
34,opt,ECUADOR,0.95,0.0,0.19409497665859954
35,opt,ECUADOR,0.95,0.010312777298917691,0.18046983915658274
36,opt,ECUADOR,0.95,0.0,0.15912033829513378
37,opt,ECUADOR,0.95,0.0,0.0714622762980734
38,opt,ECUADOR,0.95,0.0,0.1017042539176374
39,opt,ECUADOR,0.95,0.026217316705828955,0.13661178681572847
40,opt,ECUADOR,0.95,0.0,0.14286123875588252
41,opt,ECUADOR,0.95,0.0,0.08890590165301122
42,opt,ECUADOR,0.95,0.00035054574132053345,0.0811442449995329
43,opt,ECUADOR,0.95,0.0018339320628430883,0.16434785756049158
44,opt,ECUADOR,0.95,0.0,0.09266501718911456
45,opt,ECUADOR,0.95,0.0,0.15583836637510393
46,opt,ECUADOR,0.95,0.0,0.14374300152690977
47,opt,ECUADOR,0.95,0.0,0.08415073980807546
48,opt,ECUADOR,0.95,0.0,0.08701289989108257
49,opt,ECUADOR,0.95,0.0,0.14046604607742305
50,opt,ECUADOR,0.95,0.004287016630317261,0.1920082751792831
51,opt,ECUADOR,0.95,0.0,0.08459424379239161
52,opt,ECUADOR,0.95,0.0,0.19722886794602343
53,opt,ECUADOR,0.95,0.0,0.1487950522036922
54,opt,ECUADOR,0.95,0.0,0.05806544907766812
55,opt,ECUADOR,0.95,0.0,0.13521240739612367
56,opt,ECUADOR,0.95,0.0024351666482211667,0.15189041335802267
57,opt,ECUADOR,0.95,0.0,0.17339609648855475
58,opt,ECUADOR,0.95,0.002169592065402008,0.19626908383882108
59,opt,ECUADOR,0.95,0.0,0.04020672591196615
60,opt,ECUADOR,0.95,0.009517208490439036,0.18117153515386866
61,opt,ECUADOR,0.95,0.0,0.10134107489616007
62,opt,ECUADOR,0.95,0.0,0.06986697043581178
63,opt,ECUADOR,0.95,0.006983770616360366,0.19851074623818826
64,opt,ECUADOR,0.95,0.0013224661354675968,0.14388363712027846
65,opt,ECUADOR,0.95,0.0007634342047473028,0.1787823198755102
66,opt,ECUADOR,0.95,0.0,0.08859967677056095
67,opt,ECUADOR,0.95,8.876257177401446e-06,0.18118957163194585
68,opt,ECUADOR,0.95,0.0,0.14218683762590534
69,opt,ECUADOR,0.95,0.0,0.04536885555035907
70,opt,ECUADOR,0.95,,0.0
71,opt,ECUADOR,0.95,0.0,0.16736050644048545
72,opt,ECUADOR,0.95,0.0,0.05074858690522954
73,opt,ECUADOR,0.95,0.0,0.07138231886435821
74,opt,ECUADOR,0.95,0.0,0.15330740113644312
75,opt,ECUADOR,0.95,0.0,0.16367463407143806
76,opt,ECUADOR,0.95,0.0,0.14785191137326034
77,opt,ECUADOR,0.95,0.0,0.11256424130498838
78,opt,ECUADOR,0.95,0.006517953721185549,0.18920914830534408
79,opt,ECUADOR,0.95,0.0,0.15327624980218985
80,opt,ECUADOR,0.95,0.019882834344732744,0.22365388677812598
81,opt,ECUADOR,0.95,0.00019626131704844618,0.17936136034477274
82,opt,ECUADOR,0.95,0.0,0.16358660274007153
83,opt,ECUADOR,0.95,0.005118672826305917,0.14578495283598084
84,opt,ECUADOR,0.95,0.0,0.08555629694066812
85,opt,ECUADOR,0.95,0.0,0.19623740454562444
86,opt,ECUADOR,0.95,0.0,0.06926819865470393
87,opt,ECUADOR,0.95,0.0,0.06786636400287917
88,opt,ECUADOR,0.95,0.0,0.08886393442645882
89,opt,ECUADOR,0.95,0.003606732122935309,0.1930058427178044
90,opt,ECUADOR,0.95,0.0,0.11374377631935081
91,opt,ECUADOR,0.95,0.012627978814985147,0.14309298247608002
92,opt,ECUADOR,0.95,0.00834111824165773,0.15168043433818557
93,opt,ECUADOR,0.95,0.0,0.13407908097116997
94,opt,ECUADOR,0.95,0.005571065741092215,0.15399429794880276
95,opt,ECUADOR,0.95,,0.0
96,opt,ECUADOR,0.95,0.0,0.1443879253020267
97,opt,ECUADOR,0.95,0.0,0.1447250101528873
