Data Source,nData,percentile,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,30,0,0.0,0.0,0.005,0
pareto,30,0,-0.016047155328731365,0.019065103219408783,0.005,1
pareto,30,0,-0.0018188677506330493,0.0019867659757788507,0.005,2
pareto,30,0,-0.008549753301178251,0.015692798733128305,0.005,3
pareto,30,0,0.0,0.0,0.005,4
pareto,30,0,-0.0012568199326278124,0.0014232676874551826,0.005,5
pareto,30,0,-0.008962819969922521,0.010945418492720349,0.005,6
pareto,30,0,-0.0071394432462743174,0.009326796336115422,0.005,7
pareto,30,0,-0.011851327466217391,0.034867505605904694,0.005,8
pareto,30,0,0.0,0.0,0.005,9
pareto,30,0,-0.008709639997262835,0.0132227397917876,0.005,10
pareto,30,0,-0.006587533859458539,0.017524170019668883,0.005,11
pareto,30,0,-0.008009239516981645,0.02207645180789805,0.005,12
pareto,30,0,0.0,0.0,0.005,13
pareto,30,0,-0.009972358441960281,0.028073592623976424,0.005,14
pareto,30,0,-0.00713631920906995,0.021390801741391727,0.005,15
pareto,30,0,-0.010265753346394698,0.013826844164685433,0.005,16
pareto,30,0,-0.003885484486927736,0.004438542516829711,0.005,17
pareto,30,0,-0.013056420369922037,0.030355844016337896,0.005,18
pareto,30,0,-0.012792277387665097,0.02609385056878201,0.005,19
pareto,30,0,-0.010927070646718329,0.015462004721394907,0.005,20
pareto,30,0,-0.010672901108387894,0.01722364281378403,0.005,21
pareto,30,0,0.0,0.0,0.005,22
pareto,30,0,-0.00994406148996868,0.022839054936980446,0.005,23
pareto,30,0,-0.009993267091318082,0.03441777960024506,0.005,24
pareto,30,0,-0.0018719441667539105,0.00204927406537145,0.005,25
pareto,30,0,-0.006296692647508856,0.01681984855240178,0.005,26
pareto,30,0,-0.002431872853279797,0.002710422121593429,0.005,27
pareto,30,0,0.0,0.0,0.005,28
pareto,30,0,-0.01482696469267728,0.02953039676263611,0.005,29
pareto,30,0,-0.007989577344695459,0.02983342475283723,0.005,30
pareto,30,0,-0.003566816683601951,0.04308437668860774,0.005,31
pareto,30,0,-0.009423345161505229,0.015477188763048422,0.005,32
pareto,30,0,-8.105687415514217e-05,8.319181067118274e-05,0.005,33
pareto,30,0,0.0,0.0,0.005,34
pareto,30,0,-0.0038193063652780896,0.03550042031789002,0.005,35
pareto,30,0,-0.011089069030873006,0.025292943021197084,0.005,36
pareto,30,0,-0.00639121846202626,0.023584680243090253,0.005,37
pareto,30,0,0.0,0.0,0.005,38
pareto,30,0,-0.011025110325663494,0.014426914175696552,0.005,39
pareto,30,0,-0.004551270320203718,0.020832192071753276,0.005,40
pareto,30,0,-0.015940154279211347,0.031163615195567748,0.005,41
pareto,30,0,-0.012006005552185945,0.029981247820586924,0.005,42
