Data Source,nData,thres_pct,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,30,0.6,0.00020166242442401887,0.004734857614859357,0.005,0
lognorm,30,0.6,-9.381029604511975e-05,0.003209686159623696,0.005,1
lognorm,30,0.6,0.007689670281721681,0.012103039728394696,0.005,2
lognorm,30,0.6,0.00041191270725917387,0.005091759356009188,0.005,3
lognorm,30,0.6,0.0010169261741078816,0.0075711834079069985,0.005,4
lognorm,30,0.6,0.00436264831291067,0.010850628488369415,0.005,5
lognorm,30,0.6,0.0015285771708942915,0.008129632229284095,0.005,6
lognorm,30,0.6,0.0008623380311235528,0.006622444232788941,0.005,7
lognorm,30,0.6,0.0021982675336714177,0.007599711461901824,0.005,8
lognorm,30,0.6,0.0004972993459341657,0.006185395240387349,0.005,9
lognorm,30,0.6,0.0005860371936933402,0.00692960560685632,0.005,10
lognorm,30,0.6,0.009801951254359379,0.014481952444102606,0.005,11
lognorm,30,0.6,0.002830506144528037,0.008402586866647084,0.005,12
lognorm,30,0.6,0.004519827237109464,0.004519827237109464,0.005,13
lognorm,30,0.6,0.0023023163293381835,0.009427240213035572,0.005,14
lognorm,30,0.6,0.0012878973851406035,0.00708194169462407,0.005,15
lognorm,30,0.6,0.0010753726949272568,0.0010753726949272568,0.005,16
lognorm,30,0.6,0.0026081516512897925,0.009369718902272771,0.005,17
lognorm,30,0.6,0.0030365662491662958,0.015295594151292237,0.005,18
lognorm,30,0.6,0.0010688192398908079,0.006890183829948646,0.005,19
lognorm,30,0.6,0.0042618669826569216,0.010946207052616256,0.005,20
lognorm,30,0.6,0.0013179903932012107,0.007342221596374262,0.005,21
lognorm,30,0.6,0.0021095770509715894,0.0021095770509715894,0.005,22
lognorm,30,0.6,0.003882534395092381,0.008049328484161582,0.005,23
lognorm,30,0.6,0.004001798495634839,0.008906456675169833,0.005,24
lognorm,30,0.6,-0.00023683103817116332,0.010792564919682016,0.005,25
lognorm,30,0.6,0.004622421573058838,0.007612603743314423,0.005,26
lognorm,30,0.6,0.0021981318425590424,0.00811060112919601,0.005,27
lognorm,30,0.6,0.0014756195342174206,0.0014756195342174206,0.005,28
lognorm,30,0.6,0.0003047502807019854,0.00522221850974229,0.005,29
lognorm,30,0.6,0.00409967337152597,0.0101230283694558,0.005,30
lognorm,30,0.6,0.0004679103054718602,0.006752526329534117,0.005,31
lognorm,30,0.6,-0.004060093457620585,0.013406383769781061,0.005,32
lognorm,30,0.6,0.0025148134692233094,0.0025148134692233094,0.005,33
lognorm,30,0.6,0.003711741749945339,0.010041405569033005,0.005,34
lognorm,30,0.6,0.006554818601611068,0.006554818601611068,0.005,35
lognorm,30,0.6,0.0008734432628005316,0.007460687203352436,0.005,36
lognorm,30,0.6,0.0010863240506691074,0.008094100760413303,0.005,37
lognorm,30,0.6,-0.00010402329883936919,0.003985507133055773,0.005,38
lognorm,30,0.6,0.0035774273936450733,0.009465037872716985,0.005,39
lognorm,30,0.6,0.001314163514428025,0.007153623205454995,0.005,40
lognorm,30,0.6,0.005247976968391344,0.008412298638431492,0.005,41
lognorm,30,0.6,-0.007900796083084994,0.017729214201613316,0.005,42
lognorm,30,0.6,-0.00137403365765122,0.01085809557614107,0.005,43
lognorm,30,0.6,0.0014330328725420444,0.007105938852712596,0.005,44
lognorm,30,0.6,0.0001403052687996273,0.014082671503983651,0.005,45
lognorm,30,0.6,0.001205062715111005,0.001205062715111005,0.005,46
lognorm,30,0.6,0.0031685262894214136,0.01171333876900358,0.005,47
lognorm,30,0.6,0.003411441739596244,0.003411441739596244,0.005,48
lognorm,30,0.6,-0.00027023881075288677,0.00501935476159273,0.005,49
lognorm,30,0.6,-5.509471605983224e-05,0.004359370232342107,0.005,50
lognorm,30,0.6,0.004297133950899939,0.010337766295175028,0.005,51
lognorm,30,0.6,0.001332899977030655,0.008086046384514978,0.005,52
lognorm,30,0.6,0.0014727620498791553,0.006982115499079106,0.005,53
lognorm,30,0.6,0.0007413582643856408,0.00657428125073167,0.005,54
lognorm,30,0.6,0.0007039390570915301,0.006379756039550754,0.005,55
lognorm,30,0.6,0.004772782375110318,0.009372866696659333,0.005,56
