method,region,quantile,lb,ub
bayesian,BANDA_SEA,0.995,0.0004676923206398235,0.008316874502644086
bayesian,BANDA_SEA,0.995,0.0008670146717554858,0.010605069590396057
bayesian,BANDA_SEA,0.995,0.0003338172962041719,0.010107940954323975
bayesian,BANDA_SEA,0.995,0.001119862361270975,0.010678555402752147
bayesian,BANDA_SEA,0.995,0.0015695581239918398,0.013798714133544063
bayesian,BANDA_SEA,0.995,0.002190160238311476,0.015086724408967035
bayesian,BANDA_SEA,0.995,0.0006622977138421595,0.008894894763036598
bayesian,BANDA_SEA,0.995,0.0005169086168778754,0.009158188329898695
bayesian,BANDA_SEA,0.995,0.0001564973594629873,0.006039173086393643
bayesian,BANDA_SEA,0.995,0.0005768253246598329,0.008848828520148505
bayesian,BANDA_SEA,0.995,0.0008301959179963608,0.010572436514573229
bayesian,BANDA_SEA,0.995,0.00115525839850511,0.014704542160023901
bayesian,BANDA_SEA,0.995,0.0005980976934749075,0.010131137255341939
bayesian,BANDA_SEA,0.995,0.0008777729268661899,0.0108615965961503
bayesian,BANDA_SEA,0.995,0.0011882200735331223,0.011604334549587387
bayesian,BANDA_SEA,0.995,0.0005177408793925234,0.009673958629624469
bayesian,BANDA_SEA,0.995,0.0011183449989458597,0.011798463188124626
bayesian,BANDA_SEA,0.995,0.0015742638538227816,0.013232794215803518
bayesian,BANDA_SEA,0.995,0.0013336869603651613,0.012970113223597517
bayesian,BANDA_SEA,0.995,0.0004675534463869383,0.008535844894552159
bayesian,BANDA_SEA,0.995,0.0005980269435326203,0.009122130045725884
bayesian,BANDA_SEA,0.995,0.0003785563708738137,0.008941788988104974
bayesian,BANDA_SEA,0.995,0.0015645165402554742,0.014231721610853773
bayesian,BANDA_SEA,0.995,0.00016115935573173882,0.006865897566089646
bayesian,BANDA_SEA,0.995,0.0010842769238388703,0.011521404658157701
bayesian,BANDA_SEA,0.995,0.0004296459484828792,0.00814210074523371
bayesian,BANDA_SEA,0.995,0.0008887097834505497,0.010969026196856226
bayesian,BANDA_SEA,0.995,0.0018794006609831567,0.012536528554553712
bayesian,BANDA_SEA,0.995,0.00030923992135579466,0.008688046321772499
bayesian,BANDA_SEA,0.995,0.0002126995603892045,0.007100294169177191
bayesian,BANDA_SEA,0.995,0.00039770300534420935,0.009860118288645619
bayesian,BANDA_SEA,0.995,0.0005560809510017215,0.009206771781175582
bayesian,BANDA_SEA,0.995,0.0009023623806740784,0.01087686838745154
bayesian,BANDA_SEA,0.995,0.00020553004836559096,0.008888974780895247
bayesian,BANDA_SEA,0.995,0.0005946942563945801,0.009147831624707458
bayesian,BANDA_SEA,0.995,0.00032275780017586373,0.008375481109938335
bayesian,BANDA_SEA,0.995,0.0011935524145840445,0.012137690384883309
bayesian,BANDA_SEA,0.995,0.0005777448259211453,0.009302739326560795
bayesian,BANDA_SEA,0.995,0.0011410684226363743,0.010576076083440107
bayesian,BANDA_SEA,0.995,0.0006647827163695994,0.009657794056265672
bayesian,BANDA_SEA,0.995,0.001038298224319504,0.013354975342370243
bayesian,BANDA_SEA,0.995,0.0012474534555403727,0.013067254771293816
bayesian,BANDA_SEA,0.995,0.0003524292670933311,0.008704752164060473
bayesian,BANDA_SEA,0.995,0.0009452057472212682,0.010709423533118686
bayesian,BANDA_SEA,0.995,0.0011251949805632679,0.012515806228190469
bayesian,BANDA_SEA,0.995,0.0012107281384840945,0.011659533141102527
bayesian,BANDA_SEA,0.995,0.0010836265292240872,0.013158714004835488
bayesian,BANDA_SEA,0.995,0.0007211502123063014,0.01113639142984022
bayesian,BANDA_SEA,0.995,0.0007299658539853004,0.009239333606032227
bayesian,BANDA_SEA,0.995,0.0012739820362385964,0.011944452195827572
bayesian,BANDA_SEA,0.995,0.00032683494253735483,0.009716034119530327
bayesian,BANDA_SEA,0.995,0.001264439726056251,0.012724273403129547
bayesian,BANDA_SEA,0.995,0.0007793220847293989,0.011014606937961961
bayesian,BANDA_SEA,0.995,0.0008389173635521412,0.011798495628169335
bayesian,BANDA_SEA,0.995,0.0018661284675570455,0.013962657868094934
bayesian,BANDA_SEA,0.995,0.0013556715558001016,0.013599396818631171
bayesian,BANDA_SEA,0.995,0.00040580467908371223,0.010321322876266435
bayesian,BANDA_SEA,0.995,0.0036712102606908017,0.017761683374528995
bayesian,BANDA_SEA,0.995,0.00172490878403785,0.01459808928431123
bayesian,BANDA_SEA,0.995,0.0003100979929169625,0.00985611317922348
bayesian,BANDA_SEA,0.995,0.0019844601885449994,0.013678013090160788
bayesian,BANDA_SEA,0.995,0.0011694421841120354,0.012560538399882946
bayesian,BANDA_SEA,0.995,0.0012083855591746974,0.011811724101179043
bayesian,BANDA_SEA,0.995,0.0011874422678262893,0.010878242296143046
bayesian,BANDA_SEA,0.995,0.0009339853189313709,0.009464255211165371
bayesian,BANDA_SEA,0.995,0.00030327950579565454,0.00620534787423197
bayesian,BANDA_SEA,0.995,4.341722042601599e-05,0.0037113009110370694
bayesian,BANDA_SEA,0.995,0.0017628454301416715,0.013481085233074508
bayesian,BANDA_SEA,0.995,0.00040236413651740453,0.00926657404541561
bayesian,BANDA_SEA,0.995,7.074708686640334e-05,0.007014042032593435
bayesian,BANDA_SEA,0.995,0.0011971142765605978,0.012180112619795796
bayesian,BANDA_SEA,0.995,0.0006141154367602835,0.010152492866866944
bayesian,BANDA_SEA,0.995,0.0007902206680990613,0.011030662533553398
bayesian,BANDA_SEA,0.995,0.0009562398625992698,0.011372553260383902
bayesian,BANDA_SEA,0.995,0.0006036527031232514,0.009278553324540391
bayesian,BANDA_SEA,0.995,0.000614014750813466,0.00899375900539862
bayesian,BANDA_SEA,0.995,0.002331096778482289,0.014524810895914283
bayesian,BANDA_SEA,0.995,0.0007605069807256092,0.010118455618110443
bayesian,BANDA_SEA,0.995,0.0005307486460274769,0.009881867263575757
bayesian,BANDA_SEA,0.995,0.0008843370048025402,0.010397568436402094
bayesian,BANDA_SEA,0.995,0.0004115433696354119,0.009006991397639476
bayesian,BANDA_SEA,0.995,0.0008454521171509424,0.010420725044149285
bayesian,BANDA_SEA,0.995,0.0012765840919609405,0.012571672810956915
bayesian,BANDA_SEA,0.995,0.00015265974703869631,0.007895012875598278
bayesian,BANDA_SEA,0.995,0.0006115336740902536,0.009205995341206544
bayesian,BANDA_SEA,0.995,0.00044488964788044663,0.009107296534084468
bayesian,BANDA_SEA,0.995,0.0014189073476881923,0.012935429013378553
bayesian,BANDA_SEA,0.995,0.00047215946810541797,0.01075814018480499
bayesian,BANDA_SEA,0.995,0.0014822505652215615,0.013287938092829582
bayesian,BANDA_SEA,0.995,0.001466271292198724,0.01135971925386669
bayesian,BANDA_SEA,0.995,0.0007246397677167628,0.00954918607820131
bayesian,BANDA_SEA,0.995,0.0025426770461522714,0.014595419283542042
bayesian,BANDA_SEA,0.995,0.0010758434391151233,0.010741447359990641
bayesian,BANDA_SEA,0.995,0.001206604702781914,0.011685723989346312
bayesian,BANDA_SEA,0.995,0.00032944648605912866,0.008170420061399683
bayesian,BANDA_SEA,0.995,0.0012735606603561233,0.012504217150815775
bayesian,BANDA_SEA,0.995,0.0011154203705248103,0.012432389022023855
bayesian,BANDA_SEA,0.995,0.0007748829980209159,0.011082948510463311
bayesian,BANDA_SEA,0.995,0.0004710127601741517,0.009165768472929277
bayesian,BANDA_SEA,0.995,0.0005409561622299833,0.009117171264012236
